Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
Shares Outstanding (Basic),13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,11,9,9,9,9,9,9
Shares Outstanding (Diluted),14,14,14,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,-
Shares Change,1.00%,7.21%,8.67%,7.89%,8.73%,3.29%,2.26%,2.21%,1.52%,0.66%,-0.06%,-0.10%,0.20%,-0.62%,4.98%,31.42%,31.75%,32.88%,25.67%,0.52%,0.28%,-,-,-,-
EPS (Basic),0.94,1.01,0.86,0.79,0.48,0.60,0.56,0.59,0.50,0.39,0.34,0.31,0.23,0.30,0.30,0.28,0.24,0.26,0.23,0.24,0.20,0.04,0.21,0.20,-
EPS (Diluted),0.91,0.97,0.82,0.76,0.46,0.58,0.54,0.56,0.49,0.38,0.34,0.30,0.22,0.29,0.29,0.27,0.23,0.25,0.22,0.24,0.20,0.04,0.21,0.20,-
EPS Growth,97.83%,67.24%,51.85%,35.71%,-6.12%,52.63%,58.82%,86.67%,122.73%,31.03%,17.24%,11.11%,-4.35%,16.00%,31.82%,12.50%,15.00%,525.00%,4.76%,20.00%,-,-,-,-,-
Free Cash Flow Per Share,3.51,1.91,1.62,0.91,0.52,0.51,1.01,0.09,0.66,0.49,0.36,0.02,0.30,0.34,0.35,0.20,0.17,0.41,0.36,0.19,0.28,0.16,0.23,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,25.69%,24.81%,21.59%,25.57%,20.61%,29.79%,34.65%,40.39%,38.06%,35.97%,34.86%,34.15%,27.60%,36.25%,36.38%,35.07%,31.66%,35.06%,33.14%,30.36%,27.64%,30.64%,33.00%,33.73%,-
Profit Margin,20.62%,20.94%,17.04%,19.84%,16.26%,24.32%,27.08%,30.45%,30.18%,28.45%,27.56%,27.03%,21.87%,28.71%,28.83%,27.81%,25.05%,27.61%,26.32%,24.12%,21.98%,4.11%,21.96%,22.76%,-
Free Cash Flow Margin,77.12%,39.68%,32.11%,23.01%,17.44%,20.54%,48.91%,4.71%,39.81%,35.49%,29.24%,1.39%,29.06%,32.11%,33.92%,19.73%,17.58%,44.34%,40.81%,19.09%,30.67%,17.98%,24.18%,-,-
Effective Tax Rate,19.74%,15.61%,21.07%,22.41%,21.11%,18.37%,21.86%,24.61%,20.71%,20.91%,20.92%,20.85%,20.77%,20.79%,20.74%,20.69%,20.88%,21.24%,20.57%,20.54%,20.46%,86.58%,33.45%,32.54%,-
EBITDA,15.9,16.02,14.56,13.54,8.32,9.35,8.92,9.69,8.01,6.28,5.52,4.95,3.75,4.89,4.73,4.43,3.85,4.16,3.54,3.04,2.57,2.83,3.12,-,-
EBITDA Margin,26.46%,25.56%,22.34%,26.40%,21.71%,31.18%,36.14%,42.06%,40.15%,38.36%,37.18%,36.44%,30.08%,38.91%,38.85%,37.63%,34.37%,37.64%,35.82%,33.29%,30.67%,33.90%,36.01%,-,-
Depreciation & Amortization,0.47,0.47,0.49,0.43,0.42,0.42,0.37,0.39,0.42,0.39,0.35,0.31,0.31,0.33,0.3,0.3,0.3,0.29,0.27,0.27,0.25,0.27,0.26,-,-
EBIT,15.44,15.54,14.07,13.12,7.9,8.93,8.55,9.3,7.59,5.89,5.17,4.64,3.44,4.56,4.43,4.13,3.55,3.88,3.28,2.77,2.32,2.56,2.86,2.78,-
EBIT Margin,25.69%,24.81%,21.59%,25.57%,20.61%,29.79%,34.65%,40.39%,38.06%,35.97%,34.86%,34.15%,27.60%,36.25%,36.38%,35.07%,31.66%,35.06%,33.14%,30.36%,27.64%,30.64%,33.00%,33.73%,-
