Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31
Pretax Income,7.68,-11.79,0.43,-14.41,5.71,13.85,38.86,11.99,11.86,4.76,14.44,21.22,-5.12,5.64,-8.81,23.86,11.07,9.32,10.91,8.4,7.94,3.85,3.68,7.92,3.78,6.95,11.44,0,-7.26,0.02,5.72,7.05,2.74,4.78,4.67,4.83,1.94
Net Income,7.68,-11.79,0.43,-14.41,5.71,13.85,38.86,11.99,11.86,4.76,14.44,21.22,-5.12,5.64,-8.81,23.86,11.07,9.32,10.91,8.4,7.94,3.85,3.68,7.92,3.78,6.95,11.44,0,-7.26,0.02,5.72,7.05,2.74,4.78,4.67,4.83,1.94
Net Income Growth,34.60%,-,-98.89%,-,-51.89%,191.09%,169.04%,-43.52%,-,-15.62%,-,-11.06%,-,-39.45%,-,184.23%,39.36%,141.95%,196.52%,5.98%,110.30%,-44.56%,-67.83%,263933.33%,-,36452.63%,100.09%,-99.96%,-,-99.60%,22.30%,45.83%,40.97%,-,-,-,-
Shares Outstanding (Basic),35,35,33,31,31,31,31,31,31,31,31,31,30,25,25,25,25,20,22,18,18,17,16,16,16,16,16,16,16,17,17,17,10,10,10,10,10
Shares Outstanding (Diluted),35,35,33,31,31,31,31,31,31,31,31,31,30,25,25,25,25,20,22,18,18,17,16,16,16,16,16,16,16,17,17,17,10,10,10,10,10
Shares Change,13.99%,13.95%,7.81%,0.39%,0.42%,0.49%,0.53%,0.55%,3.34%,23.85%,23.84%,23.85%,20.58%,21.54%,14.90%,39.84%,39.77%,18.48%,35.06%,10.96%,10.94%,8.36%,-0.42%,-1.77%,-1.97%,-3.81%,-3.35%,-1.69%,58.50%,67.66%,68.63%,68.25%,4.50%,-,-,-,-
EPS (Basic),0.22,-0.35,0.01,-0.46,0.18,0.44,1.26,0.39,0.38,0.16,0.47,0.69,-0.17,0.23,-0.35,0.96,0.45,0.35,0.50,0.47,0.45,0.22,0.23,0.50,0.24,0.43,0.71,-,-0.45,-0.04,0.34,0.43,0.27,0.49,0.47,0.49,0.20
EPS (Diluted),0.22,-0.35,0.01,-0.46,0.18,0.44,1.26,0.39,0.38,0.16,0.47,0.69,-0.17,0.23,-0.35,0.96,0.45,0.35,0.50,0.47,0.45,0.22,0.23,0.50,0.24,0.43,0.71,-,-0.45,-0.04,0.34,0.43,0.27,0.49,0.47,0.49,0.20
EPS Growth,22.22%,-,-99.21%,-,-52.63%,175.00%,168.09%,-43.48%,-,-30.43%,-,-28.13%,-,-34.29%,-,104.26%,0%,59.09%,117.39%,-6.00%,87.50%,-48.84%,-67.61%,-,-,-,108.82%,-,-,-,-27.66%,-12.24%,35.00%,-,-,-,-
Free Cash Flow Per Share,-0.93,0.18,-2.52,-2.49,1.75,-2.20,-2.74,0.09,0.17,0.95,1.93,1.53,-2.42,-4.70,-1.61,-0.53,-0.70,-0.80,0.18,0.84,-1.15,-3.26,-3.28,5.24,3.14,-3.61,0.15,-1.09,-1.18,-0.59,-0.92,1.44,0.14,-0.44,-3.80,-19.97,-9.14
Dividend Per Share,0.400,0.470,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.460,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.460,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.510,0.320,0.390,-
Dividend Growth,11.11%,30.56%,0%,0%,0%,-21.74%,0%,0%,0%,27.78%,0%,0%,0%,-21.74%,0%,0%,0%,27.78%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-29.41%,12.50%,-7.69%,-,-,-,-,-
Gross Margin,87.18%,87.97%,86.42%,74.25%,74.02%,74.91%,73.39%,72.95%,74.21%,75.03%,72.33%,74.29%,86.69%,82.01%,74.41%,75.68%,75.76%,75.95%,75.39%,76.03%,76.11%,76.97%,74.73%,76.74%,78.71%,75.06%,76.45%,85.81%,87.68%,75.25%,82.04%,74.33%,76.34%,76.92%,77.25%,84.74%,88.99%
Operating Margin,82.74%,82.63%,80.86%,68.47%,68.18%,68.39%,65.89%,66.63%,66.38%,65.69%,67.95%,66.60%,78.69%,70.97%,65.74%,69.34%,69.28%,68.10%,68.74%,68.46%,67.08%,66.18%,64.05%,70.02%,72.18%,65.32%,68.24%,72.95%,76.92%,68.60%,68.44%,64.53%,67.18%,69.78%,62.26%,64.04%,55.28%
Profit Margin,22.83%,-33.75%,1.45%,-52.55%,20.86%,53.55%,183.07%,58.98%,59.37%,20.32%,62.46%,89.18%,-24.56%,26.52%,-56.16%,125.98%,63.28%,52.33%,61.71%,50.72%,62.94%,34.67%,35.31%,50.51%,26.41%,65.22%,91.47%,0.03%,-65.50%,0.17%,61.82%,60.73%,27.93%,44.75%,59.47%,71.10%,148.55%
Free Cash Flow Margin,-98.01%,18.34%,-283.20%,-282.21%,198.22%,-263.59%,-399.08%,14.08%,26.85%,125.58%,256.67%,198.02%,-346.54%,-550.82%,-255.19%,-68.81%,-99.12%,-91.71%,22.66%,90.16%,-161.87%,-507.02%,-504.98%,534.85%,350.57%,-540.64%,19.94%,-188.42%,-173.40%,-85.50%,-166.08%,205.45%,14.49%,-40.49%,-477.07%,-2892.73%,-6877.91%
EBITDA,16.92,-3.41,7.59,-8.29,10.8,18.64,42.96,16.12,16.21,8.27,17.95,25.53,-0.96,9.63,-5.61,26.87,13.27,11.2,13.05,10.93,10.46,6.05,5.99,10.07,6.18,9.07,13.47,1.91,-5.46,1.81,7.37,8.24,4.38,6.38,6.04,5.76,2.1
EBITDA Margin,50.33%,-9.76%,25.54%,-30.21%,39.50%,72.04%,202.38%,79.34%,81.16%,35.31%,77.63%,107.30%,-4.59%,45.29%,-35.76%,141.87%,75.88%,62.95%,73.82%,66.02%,82.90%,54.48%,57.44%,64.22%,43.22%,85.18%,107.75%,20.27%,-49.31%,15.84%,79.73%,71.01%,44.69%,59.69%,76.90%,84.79%,160.32%
EBIT,16.92,-3.41,7.59,-8.29,10.8,18.64,42.96,16.12,16.21,8.27,17.95,25.53,-0.96,9.63,-5.61,26.87,13.27,11.2,13.05,10.93,10.46,6.05,5.99,10.07,6.18,9.07,13.47,1.91,-5.46,1.81,7.37,8.24,4.38,6.38,6.04,5.76,2.1
EBIT Margin,50.33%,-9.76%,25.54%,-30.21%,39.50%,72.04%,202.38%,79.34%,81.16%,35.31%,77.63%,107.30%,-4.59%,45.29%,-35.76%,141.87%,75.88%,62.95%,73.82%,66.02%,82.90%,54.48%,57.44%,64.22%,43.22%,85.18%,107.75%,20.27%,-49.31%,15.84%,79.73%,71.01%,44.69%,59.69%,76.90%,84.79%,160.32%
