Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Net Income,490.1,-647.95,-61.32,-142.8,-65.06,-94.17,269.95,478.36,673.87,592.26,179.16,-486.48,127.87,"1,043.39","1,143.41",949.62,767.53,683.78,724.19,315.82,540.09,650.71,508.53,465.13,-,154.29,-
Net Income Growth,-,-,-,-,-,-,50.67%,-,426.99%,-43.24%,-84.33%,-,-83.34%,52.59%,57.89%,200.69%,42.11%,5.08%,42.41%,-32.10%,-,321.75%,-,-,-,-,-
Shares Outstanding (Basic),246,245,248,254,253,254,253,253,254,254,254,254,279,279,284,297,319,318,328,326,126,72,75,79,79,79,79
Shares Outstanding (Diluted),246,245,254,259,266,266,267,267,274,269,272,254,300,320,286,298,322,320,330,331,305,296,299,303,-,302,-
Shares Change,-7.61%,-7.97%,-5.04%,-2.82%,-2.93%,-0.85%,-1.92%,5.03%,-8.69%,-16.04%,-4.74%,-14.73%,-6.68%,-0.11%,-13.43%,-10.17%,5.48%,8.27%,10.50%,9.25%,284.87%,-1.93%,276.63%,-,-,-,-
EPS (Basic),1.98,-2.64,-0.25,-0.56,-0.27,-0.37,1.07,1.89,2.65,2.34,0.71,-1.92,0.75,3.74,4.03,3.20,2.49,2.15,2.21,0.97,-4.64,9.07,6.83,5.87,-,1.95,-
EPS (Diluted),1.98,-2.64,-0.25,-0.56,-0.20,-0.37,1.03,1.81,2.61,2.22,0.68,-1.92,0.46,3.29,4.00,3.19,2.47,2.13,2.19,0.95,1.66,2.20,1.70,1.53,-,0.51,-
EPS Growth,-,-,-,-,-,-,51.47%,-,467.39%,-32.52%,-83.00%,-,-81.38%,54.46%,82.65%,235.79%,48.80%,-3.18%,28.82%,-37.91%,-,331.37%,-,-,-,-,-
Free Cash Flow Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.98,-,-,-,1.16,3.58,-,-,-,6.92,-,-
Gross Margin,53.99%,-114.44%,61.04%,84.08%,89.90%,69.90%,84.25%,82.35%,71.75%,76.60%,68.61%,90.02%,92.29%,92.04%,87.12%,87.58%,77.67%,63.79%,57.76%,60.01%,79.52%,82.16%,80.54%,85.35%,-,80.77%,-
Operating Margin,41.28%,-272.15%,-27.84%,-32.92%,12.63%,23.84%,79.41%,90.13%,104.62%,90.39%,26.77%,-100.34%,14.79%,44.80%,56.93%,54.28%,49.16%,36.44%,34.49%,19.02%,37.49%,47.95%,60.89%,66.89%,-,54.45%,-
Profit Margin,306.18%,-588.20%,-58.15%,-70.76%,-17.17%,-27.11%,65.51%,92.76%,94.43%,69.73%,15.35%,-50.79%,6.62%,40.27%,51.49%,45.29%,42.57%,35.45%,32.28%,18.40%,36.22%,44.85%,50.93%,55.72%,-,43.38%,-
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.29%,-,-,-,22.03%,30.32%,-,-,-,-,-,-
Effective Tax Rate,13.05%,-,-,-,-,-,21.85%,14.20%,10.19%,18.14%,31.50%,-,41.51%,15.03%,11.78%,17.27%,9.07%,-1.17%,9.99%,2.68%,3.36%,6.59%,16.29%,16.50%,-,20.02%,-
EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,152.93",-,-,-,325.06,564.64,-,-,-,-,-,-
EBITDA Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.98%,-,-,-,18.94%,37.86%,-,-,-,-,-,-
Depreciation & Amortization,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.07,-,-,-,0.56,5.79,-,-,-,1.5,-,-
EBIT,563.64,-730.26,-54.23,-48.68,-9.56,-43.82,345.4,557.54,750.33,723.53,261.53,-514.59,218.63,"1,228","1,296.03","1,147.87",844.04,675.89,804.61,324.51,558.84,696.64,607.5,557.01,-,192.9,-
EBIT Margin,352.12%,-662.92%,-51.43%,-24.12%,-2.52%,-12.62%,83.82%,108.11%,105.14%,85.18%,22.41%,-53.72%,11.32%,47.40%,58.36%,54.74%,46.81%,35.04%,35.86%,18.90%,37.48%,48.01%,60.85%,66.73%,-,54.24%,-
