Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
EPS Growth,51.06%,194.44%,22.58%,164.71%,123.81%,38.46%,55.00%,-51.43%,-,0%,53.85%,-22.22%,-,-86.02%,-,-,-,1760.00%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,3.90,-0.06,-6.08,-0.06,25.23,-0.02,-0.06,-0.01,3.35,-,-0.00,-,-
Dividend Per Share,-,0.010,0.010,0.200,-,-,0.160,0.170,-,-,0.090,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,-,-,-93.75%,17.65%,-,-,77.78%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,59.32%,44.36%,61.89%,59.93%,69.24%,53.26%,49.67%,43.09%,49.94%,40.19%,41.06%,51.90%,53.72%,37.63%,51.11%,46.48%,-,48.96%,-,-,-,40.76%,-,-,-,-
Operating Margin,29.58%,9.93%,26.17%,26.45%,30.43%,18.37%,15.02%,9.00%,15.31%,3.56%,6.00%,11.40%,18.54%,-6.92%,10.56%,8.39%,-,14.25%,-,-,-,-4.40%,-,-,-,-
Profit Margin,28.73%,26.44%,19.31%,22.82%,24.13%,10.67%,17.65%,9.62%,12.39%,8.85%,12.96%,22.74%,-1.31%,7.51%,7.96%,13.78%,-,12.38%,-,-,-,4.80%,-,-,-,-
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,38.13%,-0.67%,-33.27%,-,37.31%,-,-,-,8.57%,-,-,-,-
Effective Tax Rate,6.61%,6.76%,2.11%,-3.33%,3.90%,3.64%,-3.21%,7.13%,11.30%,12.96%,6.86%,6.28%,-,25.42%,-,0.17%,21.11%,3.38%,20.96%,20.77%,-,-0.21%,-,-,-,-
EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,7.81,4.3,15.36,0.81,47.78,0.63,0.58,0.01,8.52,-0,-0,-0.01,-
EBITDA Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,13.43%,7.96%,14.84%,-,13.84%,-,-,-,5.80%,-,-,-,-
Depreciation & Amortization,-,-,-,-,-,-,-,-,-,-,-,-,-,1.96,0,1.08,0,3.56,0,0,0,1.49,0,0,0,-
EBIT,36.3,27.53,19,21.16,23.1,9.54,15.6,8.86,11.5,7.53,10.2,16.44,-1.5,5.85,4.3,14.28,0.81,44.22,0.63,0.58,0.01,7.03,-0,-0,-0.01,-
EBIT Margin,30.76%,28.36%,19.73%,22.08%,25.11%,11.07%,17.11%,10.36%,13.97%,10.17%,13.92%,24.27%,-2.19%,10.07%,7.96%,13.80%,-,12.81%,-,-,-,4.79%,-,-,-,-
