Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
Pretax Income,61.87,69.15,85.35,105,90.54,85.52,92.36,89.9,82.86,72.58,72.77,59.21,73.99,48.44,34.05,18.86,19.33,18.69,27.15,24.99,14.08,14.52,12.98,3.68,7.28,-,-
Income Tax,12.6,16.88,12.58,25.79,19.27,15.78,18.18,20.63,17.66,17.68,17.03,14.49,16.82,10.85,8.06,4.48,4.81,4.78,6.56,6.31,3.56,3.31,5.13,1.33,2.87,-,-
Net Income,49.27,52.27,72.76,79.21,71.27,69.74,74.18,69.27,65.2,54.9,55.74,44.72,57.17,37.59,25.99,14.38,14.53,13.92,20.59,18.68,10.52,11.21,7.85,2.35,4.41,-,-
Net Income Growth,-30.87%,-25.05%,-1.90%,14.34%,9.31%,27.05%,33.07%,54.90%,14.06%,46.04%,114.45%,210.92%,293.52%,170.13%,26.24%,-22.98%,38.04%,24.14%,162.29%,693.33%,138.48%,-,-,-,-,-,-
Shares Outstanding (Basic),67,68,69,69,69,68,68,68,68,67,68,68,68,68,68,68,68,68,68,68,62,55,55,55,55,50,46
Shares Outstanding (Diluted),70,71,72,73,74,74,74,74,74,74,73,73,74,74,74,74,72,72,72,72,66,60,60,59,59,-,-
Shares Change,-5.33%,-4.65%,-2.94%,-1.75%,-0.62%,0.48%,0.84%,1.31%,-0.33%,-0.27%,-0.32%,-0.43%,2.86%,3.39%,2.51%,1.92%,9.05%,19.72%,20.30%,22.29%,12.83%,19.47%,28.72%,-,-,-,-
EPS (Basic),0.73,0.77,1.06,1.16,1.04,1.02,1.09,1.02,0.96,0.81,0.82,0.66,0.84,0.56,0.38,0.21,0.22,0.20,0.30,0.27,0.17,0.20,0.14,0.04,0.08,-,-
EPS (Diluted),0.71,0.74,1.01,1.09,0.97,0.94,1.00,0.93,0.88,0.74,0.76,0.61,0.77,0.51,0.35,0.20,0.20,0.19,0.29,0.26,0.16,0.18,0.13,0.04,0.08,-,-
EPS Growth,-26.80%,-21.28%,1.00%,17.20%,10.23%,27.03%,31.58%,52.46%,14.29%,45.10%,117.14%,205.00%,285.00%,168.42%,20.69%,-23.08%,25.00%,5.56%,123.08%,550.00%,100.00%,-,-,-,-,-,-
Free Cash Flow Per Share,0.94,0.97,1.48,1.29,1.07,1.58,1.43,1.17,1.17,0.99,0.89,0.95,0.76,0.85,1.72,0.46,0.26,0.50,0.59,0.49,0.41,0.65,0.58,0.32,0.16,-,-
Dividend Per Share,0.320,0.250,0.250,0.250,0.250,0.170,0.150,0.120,0.090,0.070,0.060,0.050,0.050,0.050,0.050,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,28.00%,47.06%,66.67%,108.33%,177.78%,142.86%,150.00%,140.00%,80.00%,40.00%,20.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,52.68%,52.12%,53.74%,54.42%,52.84%,52.98%,55.50%,54.18%,52.52%,53.50%,54.15%,50.11%,49.89%,48.90%,47.55%,43.38%,42.54%,42.65%,42.36%,41.31%,40.97%,40.79%,40.52%,39.00%,37.88%,-,-
Operating Margin,37.04%,39.50%,47.59%,55.24%,44.14%,39.20%,43.75%,42.93%,42.15%,38.77%,42.72%,36.18%,44.33%,29.37%,25.85%,24.87%,25.29%,26.84%,29.43%,28.43%,25.98%,25.49%,23.68%,19.26%,19.43%,-,-
Profit Margin,24.47%,25.94%,35.11%,36.67%,30.99%,30.44%,32.78%,31.22%,30.62%,27.39%,29.55%,24.59%,27.96%,17.20%,12.09%,15.74%,16.61%,14.50%,19.05%,17.89%,10.03%,10.61%,7.67%,2.33%,4.38%,-,-
Free Cash Flow Margin,31.58%,32.82%,49.06%,40.97%,32.01%,47.03%,42.94%,35.77%,37.21%,33.38%,31.83%,35.42%,25.05%,26.25%,54.13%,33.86%,19.95%,35.06%,36.89%,31.72%,23.98%,33.69%,31.05%,17.51%,8.95%,-,-
Effective Tax Rate,20.36%,24.41%,14.74%,24.56%,21.28%,18.45%,19.69%,22.95%,21.31%,24.36%,23.40%,24.47%,22.74%,22.41%,23.67%,23.74%,24.86%,25.56%,24.17%,25.26%,25.26%,22.81%,39.50%,36.07%,39.37%,-,-
EBITDA,87.7,93.57,107.58,125.78,110.48,96.71,102.59,100.75,94.09,84.51,84.89,73.08,89.45,68.96,58.67,28.64,29.18,28.49,37.18,35.62,27.59,31.4,31.72,25.66,28.06,-,-
EBITDA Margin,43.56%,46.44%,51.90%,58.23%,48.03%,42.21%,45.33%,45.40%,44.19%,42.17%,45.00%,40.18%,43.76%,31.55%,27.29%,31.35%,33.36%,29.69%,34.40%,34.12%,26.28%,29.72%,30.98%,25.42%,27.88%,-,-
Depreciation & Amortization,11.59,11.1,10.75,10.86,10.7,5.38,4.38,4.69,4.39,4.23,3.94,4.17,4.05,5.62,7.77,5.26,5.22,5.36,5.57,5.93,6.41,6.57,7.06,8.13,8.15,-,-
EBIT,76.11,82.48,96.83,114.92,99.78,91.32,98.21,96.05,89.71,80.28,80.96,68.92,85.4,63.34,50.91,23.38,23.96,23.13,31.61,29.69,21.17,24.83,24.66,17.53,19.91,-,-
EBIT Margin,37.80%,40.93%,46.72%,53.20%,43.38%,39.86%,43.40%,43.29%,42.13%,40.06%,42.91%,37.89%,41.78%,28.98%,23.68%,25.59%,27.39%,24.10%,29.25%,28.44%,20.17%,23.50%,24.09%,17.36%,19.78%,-,-
