Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Net Income Growth,36.40%,-40.37%,98.13%,-,7.10%,126.21%,-,-,268.05%,-34.17%,-,-2.55%,-73.57%,92.47%,63.44%,207.11%,115.07%,76.73%,11.05%,-46.14%,-20.19%,-32.00%,31.05%,-7.07%,-16.67%,15.08%,-25.99%,-13.48%,-10.89%,1.27%,187.96%,203.11%,112.70%,42.56%,-35.12%,-28.74%,-,-,-,-
Shares Outstanding (Basic),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2
Shares Outstanding (Diluted),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2
Shares Change,-2.01%,-3.91%,-5.04%,-5.07%,-3.97%,-1.79%,-0.10%,0.71%,-0.37%,-0.64%,-1.16%,-0.94%,0.10%,-0.29%,-0.33%,7.57%,31.86%,32.13%,33.30%,23.30%,0.88%,0.94%,0.52%,0.51%,0.40%,0.43%,0.39%,0.33%,0.26%,54.57%,73.38%,73.09%,72.89%,6.19%,-5.18%,-4.96%,-,-,-,-
EPS (Basic),0.81,0.81,0.77,0.02,0.59,1.30,0.37,-0.04,0.52,0.57,-3.22,0.54,0.14,0.86,0.69,0.55,0.54,0.46,0.42,0.19,0.33,0.34,0.50,0.44,0.42,0.50,0.38,0.48,0.50,0.43,0.52,0.55,0.56,0.54,0.32,0.31,0.46,0.50,0.46,0.42
EPS (Diluted),0.81,0.81,0.77,0.02,0.58,1.30,0.37,-0.04,0.52,0.57,-3.22,0.54,0.14,0.86,0.69,0.55,0.54,0.45,0.42,0.19,0.33,0.33,0.50,0.44,0.42,0.50,0.38,0.48,0.50,0.43,0.52,0.55,0.56,0.54,0.32,0.31,0.46,0.49,0.46,0.42
EPS Growth,39.66%,-37.69%,108.11%,-,11.54%,128.07%,-,-,271.43%,-33.72%,-,-1.82%,-74.07%,91.11%,64.29%,189.47%,63.64%,36.36%,-16.00%,-56.82%,-21.43%,-34.00%,31.58%,-8.33%,-16.00%,16.28%,-26.92%,-12.73%,-10.71%,-20.37%,62.50%,77.42%,21.74%,10.20%,-30.43%,-26.19%,-,-,-,-
Free Cash Flow Per Share,1.38,0.99,0.80,0.39,0.57,2.12,0.10,-0.82,0.79,0.88,0.45,0.56,0.66,0.95,0.90,1.19,0.23,1.24,0.45,0.16,-0.18,0.44,0.61,0.31,0.53,0.26,0.20,0.84,0.66,0.51,0.76,10.54,0.71,-4.41,0.42,0.49,0.24,0.86,0.88,-
Dividend Per Share,0.250,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.230,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.210,0.210,0.210,0.210,-,-,-,0.210,0.210,0.210
Dividend Growth,4.17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4.35%,9.09%,9.09%,9.09%,4.55%,0%,0%,0%,0%,0%,0%,0%,0%,4.76%,4.76%,4.76%,4.76%,-,-,-,0%,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,36.92%,36.75%,35.82%,0.87%,30.79%,47.08%,19.95%,-2.76%,28.56%,27.49%,-154.35%,28.40%,9.11%,31.03%,35.93%,29.74%,29.09%,24.19%,23.44%,11.25%,18.64%,22.07%,33.52%,28.37%,28.14%,32.38%,26.14%,30.94%,34.49%,29.59%,34.10%,36.37%,36.02%,33.16%,19.98%,18.34%,28.46%,32.14%,30.49%,28.23%
Profit Margin,29.04%,29.19%,28.57%,1.39%,24.36%,36.96%,16.24%,-1.67%,21.63%,22.96%,-152.74%,22.91%,7.80%,35.74%,29.07%,23.79%,23.36%,19.65%,18.74%,9.07%,16.60%,15.86%,23.27%,20.46%,19.70%,22.74%,18.87%,21.98%,24.30%,21.38%,23.93%,25.75%,25.55%,22.05%,14.66%,14.91%,22.33%,24.68%,23.74%,22.23%
Free Cash Flow Margin,49.35%,35.58%,29.53%,23.80%,23.82%,59.50%,4.22%,-33.57%,32.47%,35.35%,21.33%,23.98%,36.07%,39.61%,37.96%,51.80%,10.08%,54.47%,19.90%,7.49%,-9.03%,20.72%,28.26%,14.58%,25.11%,12.11%,9.68%,39.12%,32.03%,25.21%,34.85%,493.29%,32.03%,-147.59%,19.82%,23.43%,11.67%,42.87%,45.31%,-
Effective Tax Rate,21.36%,20.58%,20.26%,-59.46%,20.86%,21.50%,18.56%,-,24.25%,16.49%,-,19.32%,14.30%,-15.20%,19.09%,19.98%,19.71%,18.76%,20.08%,19.44%,10.94%,28.12%,30.60%,27.87%,29.99%,29.77%,27.82%,28.96%,29.56%,27.75%,29.82%,29.20%,29.06%,33.52%,26.61%,18.70%,21.53%,23.22%,22.15%,21.26%
EBITDA,6,5.94,5.64,0.72,4.49,9.5,2.99,0.33,4.32,4.45,-17.16,4.82,1.84,5.06,5.53,4.64,4.56,3.77,3.78,2.09,1.99,2.55,3.54,3.13,3.11,3.92,2.72,3.47,3.67,3.06,3.76,3.76,3.86,2.95,1.15,1.07,1.49,1.74,1.63,-
EBITDA Margin,41.88%,41.72%,41.02%,8.47%,35.88%,50.40%,24.48%,2.43%,32.83%,33.17%,-150.66%,38.01%,18.61%,38.65%,42.89%,37.08%,36.38%,30.51%,30.93%,19.51%,24.30%,29.36%,39.86%,35.55%,35.91%,44.09%,32.62%,39.41%,43.57%,37.23%,42.23%,43.26%,42.94%,37.50%,22.79%,21.61%,30.90%,35.19%,33.99%,-
Depreciation & Amortization,0.71,0.71,0.72,0.65,0.64,0.63,0.55,0.69,0.56,0.76,0.42,1.22,0.94,1,0.9,0.92,0.91,0.78,0.92,0.88,0.46,0.63,0.56,0.63,0.67,1.04,0.54,0.75,0.76,0.63,0.72,0.6,0.62,0.34,0.14,0.16,0.12,0.15,0.17,-
EBIT,5.29,5.23,4.93,0.07,3.85,8.87,2.44,-0.37,3.76,3.69,-17.58,3.6,0.9,4.06,4.63,3.72,3.64,2.99,2.87,1.2,1.53,1.91,2.97,2.5,2.43,2.88,2.18,2.73,2.9,2.43,3.03,3.16,3.24,2.61,1.01,0.91,1.38,1.59,1.46,1.32
EBIT Margin,36.92%,36.75%,35.82%,0.87%,30.79%,47.08%,19.95%,-2.76%,28.56%,27.49%,-154.35%,28.40%,9.11%,31.03%,35.93%,29.74%,29.09%,24.19%,23.44%,11.25%,18.64%,22.07%,33.52%,28.37%,28.14%,32.38%,26.14%,30.94%,34.49%,29.59%,34.10%,36.37%,36.02%,33.16%,19.98%,18.34%,28.46%,32.14%,30.49%,28.23%
