Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
Shares Change,6.89%,15.82%,17.29%,5.20%,6.00%,1.06%,-0.91%,0.82%,-1.83%,0.16%,0.02%,-3.11%,-0.42%,-1.95%,-0.58%,4.73%,1.90%,1.60%,1.17%,-4.25%,1.69%,0.68%,4.85%,6.74%,-1.43%,-0.15%,-,-,-,-
EPS (Basic),0.19,-0.11,0.13,0.32,0.44,0.56,0.56,0.98,1.00,1.65,-2.45,0.29,0.33,0.55,0.58,-0.09,0.41,-,0.40,0.38,0.47,0.52,0.47,0.30,0.45,0.49,-0.11,-0.07,0.37,-
EPS (Diluted),0.19,-0.11,0.13,0.32,0.44,0.56,0.56,0.98,1.00,1.65,-2.45,0.29,0.33,0.55,0.58,-0.09,0.41,-,0.40,0.38,0.47,0.52,0.47,0.30,0.45,0.49,-0.11,-0.07,0.37,-
EPS Growth,-56.82%,-,-76.79%,-67.35%,-56.00%,-66.06%,-,237.93%,203.03%,200.00%,-,-,-19.51%,-,45.00%,-,-12.77%,-,-14.89%,26.67%,4.44%,6.12%,-,-,21.62%,-,-,-,-,-
Free Cash Flow Per Share,-,-,-,-,-,-,-,-,-,-,-0.40,-,1.32,-,4.97,-,-0.07,-,-1.82,-,3.97,-,2.40,-,0.20,-,-4.43,-,-,-
Gross Margin,100.00%,-,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,74.49%,100.00%,100.00%,100.00%,-,100.00%,-,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,-,100.00%,-
Operating Margin,108.57%,-,92.93%,102.54%,97.60%,96.52%,96.49%,94.91%,93.44%,97.89%,-,70.24%,92.54%,97.04%,102.00%,-,103.37%,-,95.88%,83.09%,85.07%,88.67%,87.18%,86.89%,86.39%,88.43%,-,-,85.61%,-
Profit Margin,74.19%,-,69.13%,87.27%,88.53%,85.62%,89.24%,91.86%,90.66%,96.26%,-,19.13%,82.80%,88.16%,89.58%,-,86.47%,-,85.97%,83.09%,85.07%,88.67%,87.18%,86.89%,86.39%,88.43%,-,-,85.61%,-
Free Cash Flow Margin,-138.82%,-,2271.19%,-18.25%,-354.21%,591.79%,387.00%,18.85%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Effective Tax Rate,-,-,-,-,-,4.46%,-,0.00%,-,-,-,64.04%,-,-,-,-,-,-,-,-13.17%,-13.88%,-13.55%,-17.93%,-23.85%,-15.94%,-12.98%,-,-,-16.75%,-
EBITDA,2.06,-0.36,1.33,2.62,3.36,4.02,3.94,6.7,6.74,11.02,-15.91,3.54,2.46,3.95,4.33,-0.04,3.28,0,2.94,2.78,3.51,3.89,3.61,2.51,3.37,3.62,-0.7,-0.41,2.83,0
EBITDA Margin,108.57%,-,92.93%,102.54%,97.60%,92.53%,96.49%,94.91%,93.44%,97.89%,-,36.17%,92.54%,97.04%,102.00%,-,103.37%,-,95.88%,94.03%,96.88%,100.68%,102.81%,107.61%,100.16%,99.90%,-,-,99.95%,-
