Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31
Net Income Growth,75.52%,39.17%,-9.94%,-23.98%,-0.90%,26.56%,145.97%,17.75%,530.73%,113.86%,14.75%,119.82%,-72.83%,301.37%,8.68%,36.15%,156.90%,-24.92%,184.22%,19.03%,16.02%,-13.78%,-47.37%,40.25%,19.48%,49.24%,34.29%,-8.35%,-,-,-,-,-
Shares Outstanding (Basic),23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,37,36,14,14,14,14,15,14
Shares Outstanding (Diluted),23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,21,21,38,37,14,14,14,14,15,-
Shares Change,0.85%,0.55%,0.22%,0.21%,0.10%,-0.03%,0.59%,1.53%,1.72%,1.92%,2.92%,4.01%,4.20%,4.24%,2.56%,0.77%,0.62%,0.55%,0.93%,0.97%,1.12%,-42.46%,-41.31%,55.45%,54.96%,172.20%,165.81%,-8.98%,0.12%,-,-,-,-
EPS (Basic),2.43,2.94,1.45,1.19,1.40,2.13,1.61,1.57,1.42,1.70,0.66,1.37,0.23,0.81,0.60,0.65,0.88,0.21,0.57,0.48,0.35,0.29,0.20,0.41,0.30,0.33,0.24,-,-,-,-,0.44,-
EPS (Diluted),2.40,2.90,1.43,1.17,1.38,2.09,1.59,1.55,1.39,1.66,0.65,1.33,0.22,0.79,0.58,0.63,0.86,0.21,0.55,0.47,0.34,0.28,0.20,0.40,0.29,0.32,0.24,-,-,-,-,0.44,-
EPS Growth,73.91%,38.76%,-10.06%,-24.52%,-0.72%,25.90%,144.62%,16.54%,531.82%,110.13%,12.07%,111.11%,-74.42%,276.19%,5.45%,34.04%,152.94%,-25.00%,175.00%,17.50%,17.24%,-12.50%,-16.67%,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,8.47,4.32,7.68,6.82,5.33,4.58,4.63,4.50,3.97,3.09,2.90,2.80,2.51,2.36,1.91,1.67,1.41,1.18,1.32,1.36,1.01,0.61,1.13,1.21,0.73,0.46,0.55,1.46,1.16,1.47,1.73,-,-
Dividend Per Share,0.140,0.130,0.130,0.130,0.130,0.110,0.110,0.110,0.110,0.090,0.090,0.090,0.090,0.080,0.080,0.080,0.080,0.070,0.070,0.070,0.070,0.060,0.060,0.060,0.060,0.050,0.050,-,-,-,-,-,-
Dividend Growth,7.69%,18.18%,18.18%,18.18%,18.18%,22.22%,22.22%,22.22%,22.22%,12.50%,12.50%,12.50%,12.50%,14.29%,14.29%,14.29%,14.29%,16.67%,16.67%,16.67%,16.67%,20.00%,20.00%,-,-,-,-,-,-,-,-,-,-
Gross Margin,45.89%,53.25%,37.87%,40.19%,43.15%,52.24%,47.02%,48.29%,49.19%,50.24%,32.71%,50.47%,33.12%,44.57%,42.79%,45.46%,53.27%,34.82%,46.65%,45.46%,42.35%,44.53%,34.01%,51.97%,48.21%,51.84%,54.26%,48.16%,44.61%,40.16%,47.72%,56.64%,-
Operating Margin,27.62%,35.45%,19.27%,18.13%,21.70%,32.85%,27.85%,28.50%,28.52%,30.85%,13.16%,30.96%,6.26%,23.19%,19.40%,22.78%,31.59%,8.98%,23.44%,22.68%,17.59%,22.12%,10.98%,28.03%,21.75%,25.52%,34.69%,27.48%,24.11%,28.22%,45.13%,53.70%,-
Profit Margin,21.72%,27.68%,15.20%,15.14%,17.63%,26.32%,22.21%,23.29%,23.20%,27.40%,12.16%,25.71%,6.33%,19.24%,16.57%,18.97%,25.93%,7.82%,19.85%,18.40%,14.54%,11.67%,8.78%,18.67%,14.71%,17.03%,22.89%,17.99%,16.07%,18.88%,29.97%,35.55%,-
Free Cash Flow Margin,75.87%,40.73%,80.81%,86.84%,67.23%,56.65%,63.75%,66.64%,65.11%,50.10%,52.98%,52.72%,68.97%,56.08%,52.86%,48.80%,41.39%,43.80%,46.26%,52.09%,42.58%,25.18%,49.59%,55.60%,36.11%,42.00%,57.31%,59.97%,49.05%,83.01%,119.99%,-,-
Effective Tax Rate,18.41%,20.08%,17.75%,16.50%,18.22%,19.57%,19.82%,18.28%,18.66%,10.83%,7.64%,16.96%,-1.11%,17.05%,14.59%,16.74%,17.90%,12.94%,15.29%,18.85%,17.33%,47.22%,20.06%,33.40%,32.36%,33.29%,34.00%,34.54%,33.36%,33.08%,33.60%,33.80%,-
EBITDA,70.96,88.85,41.82,32.44,39.13,62.63,45.92,43.61,39.44,44.56,16.12,36.44,5.03,22.2,15.19,16.54,22.8,5.74,14.1,12.46,8.82,11.74,5.26,12.76,9.29,10.94,12.09,9.25,7.89,7.52,8.95,-,-
EBITDA Margin,27.62%,36.57%,19.27%,18.13%,21.70%,34.11%,27.85%,28.50%,28.52%,31.98%,13.16%,30.96%,6.26%,23.93%,19.40%,22.78%,31.59%,10.09%,23.44%,22.68%,17.59%,23.14%,10.98%,28.03%,21.75%,27.10%,34.69%,27.48%,24.11%,30.85%,45.13%,-,-
Depreciation & Amortization,0,2.72,0,0,0,2.31,0,0,0,1.57,0,0,0,0.68,0,0,0,0.63,0,0,0,0.52,0,0,0,0.64,0,0,0,0.64,0,-,-
EBIT,70.96,86.13,41.82,32.44,39.13,60.32,45.92,43.61,39.44,42.99,16.12,36.44,5.03,21.52,15.19,16.54,22.8,5.11,14.1,12.46,8.82,11.23,5.26,12.76,9.29,10.3,12.09,9.25,7.89,6.88,8.95,9.98,-
EBIT Margin,27.62%,35.45%,19.27%,18.13%,21.70%,32.85%,27.85%,28.50%,28.52%,30.85%,13.16%,30.96%,6.26%,23.19%,19.40%,22.78%,31.59%,8.98%,23.44%,22.68%,17.59%,22.12%,10.98%,28.03%,21.75%,25.52%,34.69%,27.48%,24.11%,28.22%,45.13%,53.70%,-
