Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Net Income,0.14,0.68,-2.16,0.08,-0.39,1.56,6.53,0.45,0.03,0.18,-0.03,0.17,-0.36,0.06,-0.02,-0.21,-0.15,-6.75,0.89,0.33,-0.21,-0.02,-22.95,1.12,1.27,-2.32,2.99,0.87,1.04,0.37,0.74,1.66,1.83,1.69,1.38,0.54,0.39,0.38,0.47,0
Preferred Dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.23,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Income Growth,-,-56.62%,-,-82.81%,-,758.79%,-,171.52%,-,198.36%,-,-,-,-,-,-,-,-,-,-76.25%,-,-,-,27.98%,21.76%,-,302.29%,-47.37%,-43.01%,-77.98%,-46.08%,206.28%,365.65%,344.47%,190.91%,-,-,-,-,-
Shares Outstanding (Basic),6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,1,5,1,-
Shares Outstanding (Diluted),6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,-,-,6,-,-,-,6,-,-,-,6,-,-,-,6,5,6,6,1,-,1,-
Shares Change,1.85%,0.57%,0.84%,0.84%,0.30%,0.15%,-,-,-,-,-,-,-,-,-,-,-,-1.29%,-0.92%,-1.77%,-2.69%,-3.56%,-4.15%,-3.69%,-2.77%,-0.55%,-0.38%,-,0.25%,24.55%,1.00%,1.00%,335.90%,-9.37%,437.95%,-,-,-,-,-
EPS (Basic),0.02,0.12,-0.37,0.01,-0.07,0.27,1.14,0.08,-,0.03,-0.01,0.03,-0.06,0.01,-,-0.04,-0.03,-1.12,0.11,0.05,-0.04,-0.02,-3.97,0.19,0.22,-0.38,0.50,0.14,0.17,0.06,0.12,0.27,0.30,0.30,0.23,0.09,0.28,0.46,0.42,-
EPS (Diluted),0.02,0.12,-0.37,0.01,-0.07,0.27,1.14,0.08,-,0.03,-0.01,0.03,-0.06,0.01,-,-0.04,-0.03,-1.12,0.11,0.05,-0.04,-0.02,-3.97,0.19,0.22,-0.38,0.50,0.14,0.17,0.06,0.12,0.27,0.30,0.30,0.23,0.09,0.28,0.46,0.42,-
EPS Growth,-,-55.56%,-,-87.50%,-,800.00%,-,166.67%,-,200.00%,-,-,-,-,-,-,-,-,-,-73.68%,-,-,-,35.71%,29.41%,-,316.67%,-48.15%,-43.33%,-80.00%,-47.83%,200.00%,7.14%,-34.78%,-45.24%,-,-,-,-,-
Free Cash Flow Per Share,-0.03,-0.03,-0.04,-0.07,-0.01,-0.03,0.02,-0.03,-0.01,0.00,0.01,-0.06,-0.00,0.01,0.01,-0.04,-0.74,-0.77,-0.12,-0.32,0.06,-2.69,-2.36,0.51,0.00,-0.13,0.00,-0.24,0.43,0.40,0.66,-0.11,0.39,0.39,1.23,-0.09,-0.07,-,3.98,-
Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.240,0.120,-,-,-,-,-
Dividend Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,0%,0%,0%,0%,0%,-50.00%,0%,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,-,95.83%,-,98.89%,97.17%,97.27%,93.73%,94.56%,89.58%,96.89%,-,94.31%,91.14%,90.83%,100.00%,-494.62%,94.98%,95.99%,93.04%,95.83%,-116.83%,56.64%,98.11%,-16.78%,153.79%,35.36%,91.90%,90.21%,92.80%,95.79%,96.16%,94.03%,93.03%,85.54%,93.36%,93.55%,93.54%,93.40%
Operating Margin,26.01%,65.13%,-,18.49%,-,76.68%,93.19%,58.51%,14.73%,41.94%,-2.70%,38.38%,-,30.20%,15.71%,-166.06%,-125.64%,-511.75%,70.65%,45.23%,-183.48%,-11.11%,-118.75%,41.97%,77.63%,-19.60%,137.81%,24.69%,68.13%,42.86%,62.88%,80.24%,80.72%,78.16%,74.34%,60.18%,60.65%,59.75%,74.49%,-
Profit Margin,26.01%,65.13%,-,15.31%,-,75.47%,92.84%,55.65%,8.78%,36.69%,-12.74%,34.23%,-,15.10%,-4.29%,-188.07%,-125.64%,-377.49%,51.99%,36.65%,-183.48%,-11.11%,-118.75%,41.97%,77.63%,-19.60%,137.81%,24.69%,68.13%,42.86%,62.88%,80.24%,80.72%,78.16%,74.34%,60.18%,60.65%,59.75%,74.49%,-
Free Cash Flow Margin,-26.56%,-14.12%,-,-80.72%,-,-7.05%,1.39%,-17.52%,-21.00%,2.42%,17.37%,-68.88%,-,16.58%,7.71%,-197.25%,-3633.33%,-258.42%,-54.15%,-256.43%,277.39%,-7231.94%,-70.65%,110.94%,0.73%,-6.71%,0.78%,-40.86%,171.46%,277.07%,336.86%,-31.19%,103.84%,87.46%,399.41%,-62.85%,-15.12%,-,699.69%,-
EBITDA,0.14,0.68,-2.16,0.08,-0.39,1.56,6.53,0.45,0.03,0.19,-0.03,0.17,-0.36,0.06,-0.01,-0.2,-0.15,-6.75,0.89,0.33,-0.21,-0.02,-22.95,1.12,1.28,-2.31,2.99,0.88,1.05,0.38,0.75,1.66,1.83,1.69,1.38,0.55,0.39,-,0.47,-
EBITDA Margin,26.37%,65.23%,-,15.31%,-,75.52%,92.86%,55.90%,9.72%,37.30%,-11.20%,34.44%,-,15.84%,-3.71%,-185.32%,-123.93%,-394.56%,70.89%,45.92%,-178.26%,-8.33%,-118.71%,42.20%,77.93%,-19.55%,138.09%,24.83%,68.45%,43.55%,63.31%,80.39%,80.90%,78.34%,74.55%,60.62%,60.80%,-,74.49%,-
Depreciation & Amortization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,-,0,-
EBIT,0.14,0.68,-2.16,0.08,-0.39,1.56,6.53,0.45,0.03,0.18,-0.03,0.17,-0.36,0.06,-0.02,-0.21,-0.15,-6.75,0.89,0.33,-0.21,-0.02,-22.95,1.12,1.27,-2.32,2.99,0.87,1.04,0.37,0.74,1.66,1.83,1.69,1.38,0.54,0.39,0.38,0.47,0
EBIT Margin,26.01%,65.13%,-,15.31%,-,75.47%,92.84%,55.65%,8.78%,36.69%,-12.74%,34.23%,-,15.10%,-4.29%,-188.07%,-125.64%,-394.80%,70.65%,45.23%,-183.48%,-11.11%,-118.75%,41.97%,77.63%,-19.60%,137.81%,24.69%,68.13%,42.86%,62.88%,80.24%,80.72%,78.16%,74.34%,60.18%,60.65%,59.75%,74.49%,-
