Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
EPS (Basic),1.38,0.45,1.03,-1.51,0.86,3.47,0.93,0.90,0.73,0.40,0.42,0.07,0.07,0.15,0.14,0.05,0.15,0.03,-0.12,-0.28,-0.30,1.22,0.71,0.53,-0.05,0.21
EPS (Diluted),1.36,0.44,1.03,-1.51,0.86,3.47,0.93,0.89,0.72,0.40,0.42,0.07,0.07,0.15,0.14,0.05,0.15,0.03,-0.12,-0.29,-0.30,1.22,0.71,0.53,-0.05,0.21
EPS Growth,58.14%,-87.32%,10.75%,-,19.44%,767.50%,121.43%,1171.43%,928.57%,166.67%,200.00%,40.00%,-53.33%,400.00%,-,-,-,-97.54%,-,-,-,480.95%,-,-,-,-
Free Cash Flow Per Share,-10.23,3.88,-4.54,3.25,-11.08,1.39,-1.08,-1.22,5.28,-6.76,11.81,0.26,0.08,-0.90,1.94,0.20,-0.00,0.70,0.02,-0.82,-2.49,0.55,0.74,1.00,-0.60,-
Gross Margin,91.88%,90.31%,90.29%,100.00%,100.00%,95.74%,90.91%,100.00%,100.00%,100.00%,100.00%,-,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,48.24%,59.03%,54.96%,38.18%,60.66%,81.51%,58.21%,64.67%,63.43%,48.62%,57.83%,-,22.70%,43.16%,43.94%,28.47%,47.83%,34.45%,-32.68%,15.60%,-,88.19%,71.42%,74.48%,4.71%,58.17%
Profit Margin,29.30%,14.56%,35.51%,-138.27%,41.31%,65.12%,44.61%,53.04%,54.09%,33.98%,42.28%,-,17.05%,26.57%,28.08%,12.76%,33.72%,9.83%,-92.99%,-39.89%,-,76.52%,57.14%,57.28%,-19.96%,44.80%
Free Cash Flow Margin,-279.69%,126.26%,-157.21%,298.88%,-532.00%,25.99%,-51.75%,-72.04%,393.64%,-565.59%,1222.11%,-,15.75%,-157.64%,385.83%,52.95%,-0.12%,233.09%,16.47%,-289.87%,-,34.38%,59.78%,108.70%,-234.37%,-
Effective Tax Rate,7.46%,32.46%,12.69%,-,3.34%,13.44%,8.47%,18.21%,13.47%,16.21%,16.18%,18.54%,-1.00%,24.64%,15.23%,11.11%,5.77%,26.36%,-,-,-,3.51%,-0.41%,6.88%,-,-3.73%
EBITDA,123.06,81.81,111.82,-67.98,72.73,257.2,76.64,74.03,51.44,35.62,34.51,2.27,10.3,16.37,14.87,6.94,13.31,6.43,-2.02,1.61,-8.99,31.96,10.26,7.72,0.15,-
EBITDA Margin,57.36%,45.37%,65.03%,-104.91%,58.64%,81.01%,61.70%,74.96%,65.66%,51.10%,61.17%,-,34.84%,49.61%,50.83%,30.83%,50.43%,36.87%,-27.33%,17.15%,-,89.22%,73.36%,74.88%,5.34%,-
Depreciation & Amortization,3.09,2.07,1.8,1.05,1.29,1.63,1.85,0.19,-0.75,2.65,2.31,-2.78,2.6,2,2.01,0.53,0.68,0.42,0.4,0.57,0.28,0.37,0.27,0.04,0.02,-
EBIT,119.97,79.74,110.02,-69.03,71.43,255.57,74.79,73.84,52.2,32.97,32.2,5.04,7.7,14.37,12.85,6.41,12.63,6.01,-2.42,1.04,-9.27,31.59,9.99,7.68,0.14,3.04
EBIT Margin,55.92%,44.23%,63.98%,-106.53%,57.60%,80.50%,60.21%,74.77%,66.62%,47.30%,57.08%,-,26.05%,43.55%,43.94%,28.47%,47.83%,34.45%,-32.68%,11.09%,-,88.19%,71.42%,74.46%,4.71%,58.17%
