Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
EPS (Basic),-0.01,-0.36,0.02,-0.04,0.10,0.16,0.19,0.07,0.05,-0.23,-,0.06,-0.08,-0.27,0.28,0.26,0.30,0.30,0.30,0.30,0.30,0.13,0.27,0.20,0.23,-,-
EPS (Diluted),-0.01,-0.36,0.02,-0.04,0.10,0.16,0.19,0.07,0.05,-0.23,-,0.06,-0.08,-0.26,0.28,0.26,0.30,0.30,0.30,0.30,0.30,0.13,0.27,0.20,0.23,-,-
EPS Growth,-,-,-89.47%,-,100.00%,-,-,16.67%,-,-,-,-76.92%,-,-,-6.67%,-13.33%,0%,130.77%,11.11%,50.00%,30.43%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.07,-0.10,0.04,0.09,0.02,-0.08,0.32,0.32,0.04,-0.14,0.03,0.32,-0.06,-0.26,0.68,0.35,0.38,-0.00,0.48,0.30,0.30,-0.15,0.49,0.17,0.42,-,-
Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,-
Operating Margin,-3.22%,-95.85%,8.15%,5.48%,27.99%,36.74%,54.42%,20.65%,12.63%,-,-1.14%,16.73%,-71.13%,-48.61%,59.22%,57.90%,62.66%,61.65%,63.79%,63.97%,65.76%,59.02%,66.39%,61.61%,66.15%,-,-
Profit Margin,-2.91%,-97.28%,5.00%,-10.65%,19.50%,25.66%,39.33%,13.73%,9.52%,-,-0.45%,11.91%,-48.45%,-43.12%,42.17%,41.20%,44.63%,44.84%,45.48%,45.62%,46.88%,22.41%,39.33%,36.54%,38.78%,-,-
Free Cash Flow Margin,-21.20%,-27.91%,7.53%,21.09%,4.02%,-13.04%,65.49%,62.97%,7.90%,-,6.49%,66.22%,-32.92%,-41.43%,104.76%,55.68%,57.00%,-0.59%,73.36%,45.09%,46.90%,-24.69%,72.62%,31.49%,71.40%,-,-
Effective Tax Rate,-,-,38.69%,294.42%,30.32%,30.17%,27.72%,33.50%,24.59%,-,-,28.81%,-,-,28.79%,28.84%,28.78%,27.27%,28.70%,28.69%,28.70%,62.02%,40.76%,40.70%,41.37%,-,-
EBITDA,-0.21,-17.78,2.29,1.53,7.94,11.9,13.8,5.6,3.49,-16.3,0.12,4.43,-5.52,-15.43,20.03,19.4,22.52,22.55,22.51,22.85,22.52,17.62,20.88,15.44,18.15,-,-
EBITDA Margin,-1.19%,-93.85%,9.74%,7.40%,29.44%,37.88%,56.81%,22.26%,14.30%,-,0.47%,18.40%,-66.35%,-48.38%,60.82%,59.49%,64.09%,63.20%,65.04%,65.21%,67.04%,60.47%,67.90%,63.13%,67.57%,-,-
Depreciation & Amortization,0.35,0.38,0.38,0.4,0.39,0.36,0.58,0.41,0.41,0.41,0.4,0.4,0.4,0.07,0.53,0.52,0.5,0.55,0.43,0.43,0.43,0.42,0.47,0.37,0.38,-,-
EBIT,-0.56,-18.16,1.92,1.13,7.55,11.54,13.22,5.19,3.08,-16.71,-0.28,4.03,-5.92,-15.51,19.5,18.88,22.02,21.99,22.08,22.41,22.09,17.2,20.41,15.07,17.77,-,-
EBIT Margin,-3.22%,-95.85%,8.15%,5.48%,27.99%,36.74%,54.42%,20.65%,12.63%,-,-1.14%,16.73%,-71.13%,-48.61%,59.22%,57.90%,62.66%,61.65%,63.79%,63.97%,65.76%,59.02%,66.39%,61.61%,66.15%,-,-
