Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-28,2013-09-30
Net Income,11.01,17.56,16.23,44.19,24.33,26.64,24.43,27.98,33.92,32.13,22.9,13.44,-4.45,16.71,14.32,12.73,14.79,18.09,9.17,12.39,12.07,6.31,9.78,9.66,10.47,6.26,4.81,4.63,5.01,4.51,5.93,4.65,14.04,2.22,9.69,2.48,3.34,10.85,0.35
Preferred Dividends,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0,0,0,0,0,0,0,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.2,0.3,0.2,0.19,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.19,-0.47,0.12
Net Income Common,10.21,16.76,15.43,43.39,23.53,25.84,23.63,27.18,33.12,31.33,22.01,13.44,-4.45,16.71,14.32,12.73,14.79,18.09,8.98,12.19,11.88,6.11,9.59,9.47,10.28,6.06,4.51,4.43,4.81,4.31,5.73,4.46,13.85,2.02,9.5,2.29,3.15,11.32,0.24
Net Income Growth,-56.61%,-35.14%,-34.70%,59.64%,-28.97%,-17.52%,7.37%,102.23%,-,87.49%,53.70%,5.58%,-,-7.61%,59.52%,4.41%,24.50%,195.94%,-6.38%,28.78%,15.53%,0.78%,112.76%,113.65%,113.65%,40.63%,-21.39%,-0.58%,-65.26%,113.36%,-39.63%,95.05%,340.03%,-82.14%,3923.31%,-,-,-,-
Shares Outstanding (Basic),23,24,24,25,25,25,25,25,25,25,25,24,25,25,26,27,27,26,26,26,21,21,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,-
Shares Change,-8.28%,-2.57%,-2.58%,1.12%,1.19%,1.10%,1.05%,3.25%,1.11%,-2.00%,-5.17%,-9.77%,-7.85%,-3.51%,-0.23%,1.76%,28.21%,26.22%,44.81%,44.95%,15.17%,15.00%,0.17%,-0.04%,0.36%,0.36%,0.37%,0.39%,0.30%,0.42%,8.77%,8.77%,8.30%,8.30%,-,-,-,-,-
EPS (Basic),0.44,0.70,0.64,1.78,0.95,1.04,0.95,1.10,1.34,1.28,0.89,0.56,-0.18,0.66,0.56,0.48,0.55,0.69,0.34,0.48,0.57,0.27,0.48,0.53,0.57,0.34,0.25,0.25,0.27,0.24,0.32,0.25,0.78,0.03,0.96,0.23,0.32,1.34,0.03
EPS (Diluted),0.43,0.68,0.62,1.74,0.93,1.02,0.94,1.08,1.32,1.26,0.89,0.56,-0.18,0.66,0.56,0.48,0.55,0.68,0.34,0.47,0.56,0.28,0.47,0.51,0.55,0.34,0.25,0.25,0.27,0.24,0.32,0.25,0.76,0.05,0.91,0.23,0.32,1.33,0.03
EPS Growth,-53.76%,-33.33%,-34.04%,61.11%,-29.55%,-19.05%,5.62%,92.86%,-,90.91%,58.93%,16.67%,-,-2.94%,64.71%,2.13%,-1.79%,142.86%,-27.66%,-7.84%,1.82%,-17.65%,88.00%,104.00%,103.70%,41.67%,-21.88%,0%,-64.47%,380.00%,-64.84%,8.70%,137.50%,-96.24%,2933.33%,-,-,-,-
Free Cash Flow Per Share,-0.62,0.35,1.90,-1.59,1.93,1.72,1.24,1.27,0.67,1.44,1.58,-0.22,0.41,0.17,0.71,0.41,0.65,0.70,0.57,0.51,0.40,0.37,0.65,0.91,0.18,0.45,0.35,0.36,0.33,0.19,0.39,0.47,0.22,0.29,0.60,0.25,-0.14,-0.62,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,12.29%,22.50%,19.95%,39.59%,29.03%,28.63%,30.66%,33.20%,42.09%,41.47%,35.04%,25.39%,-10.21%,29.50%,25.11%,24.73%,28.41%,32.69%,19.81%,29.82%,31.58%,30.57%,34.53%,35.43%,32.26%,27.86%,23.46%,26.43%,28.24%,23.83%,30.03%,26.93%,41.85%,15.29%,46.99%,22.18%,27.47%,47.32%,7.92%
Profit Margin,10.03%,14.97%,14.25%,29.58%,21.25%,22.22%,22.50%,25.65%,31.50%,30.92%,25.85%,19.02%,-8.96%,22.37%,20.56%,18.90%,21.80%,25.92%,14.70%,22.88%,23.87%,12.77%,22.24%,22.37%,19.99%,16.25%,13.37%,16.03%,17.20%,15.71%,19.52%,16.59%,38.76%,8.70%,27.27%,11.00%,15.33%,40.68%,3.32%
Free Cash Flow Margin,-14.10%,7.70%,42.88%,-27.29%,43.85%,37.16%,29.61%,29.76%,15.92%,35.25%,46.12%,-7.44%,20.21%,5.84%,26.63%,16.23%,25.46%,26.42%,24.66%,24.96%,16.62%,16.13%,27.50%,39.09%,6.24%,21.67%,18.59%,23.36%,20.91%,12.28%,24.15%,31.21%,11.22%,22.15%,28.37%,20.33%,-11.26%,-36.80%,-
Effective Tax Rate,11.99%,30.27%,24.88%,23.91%,24.29%,20.01%,24.13%,20.47%,23.36%,23.51%,23.23%,25.10%,-,24.16%,18.14%,23.58%,23.25%,20.69%,24.16%,22.07%,23.19%,56.91%,34.29%,35.56%,36.87%,39.77%,39.20%,36.67%,36.66%,31.07%,32.78%,35.73%,6.10%,25.19%,38.58%,39.59%,36.45%,11.78%,37.48%
EBITDA,18.44,31.35,28.45,64.24,38.19,39.55,38.56,40.59,49.17,47.41,34.76,22.35,-0.76,26.3,21.72,21.06,23.63,27.08,15.6,18.47,18.05,18.05,16.72,16.87,18.66,12.44,9.61,8.61,9.45,8.22,10.54,8.67,16.25,4.23,17,5.3,6.45,13.3,-
EBITDA Margin,18.12%,28.00%,26.27%,43.79%,34.50%,34.00%,36.72%,38.30%,46.76%,46.80%,40.84%,31.62%,-1.54%,35.21%,31.19%,31.26%,34.84%,38.82%,25.56%,34.66%,36.27%,37.71%,38.79%,39.87%,36.28%,33.34%,28.51%,31.16%,33.78%,29.94%,35.88%,32.28%,45.46%,18.21%,48.81%,25.53%,31.38%,47.81%,-
Depreciation & Amortization,5.93,6.16,6.85,6.16,6.06,6.24,6.36,5.41,4.9,5.41,4.93,4.4,4.31,4.27,4.23,4.4,4.36,4.28,3.51,2.58,2.33,3.42,1.84,1.88,2.07,2.04,1.7,1.31,1.55,1.68,1.72,1.44,1.29,1.27,1.22,1.2,1.19,1,-
EBIT,12.51,25.19,21.6,58.08,32.14,33.3,32.2,35.19,44.26,42.01,29.83,17.95,-5.07,22.03,17.49,16.66,19.27,22.8,12.09,15.89,15.71,14.63,14.89,14.99,16.59,10.4,7.91,7.31,7.9,6.54,8.82,7.24,14.96,2.97,15.78,4.11,5.26,12.3,0.56
EBIT Margin,12.29%,22.50%,19.95%,39.59%,29.03%,28.63%,30.66%,33.20%,42.09%,41.47%,35.04%,25.39%,-10.21%,29.50%,25.11%,24.73%,28.41%,32.69%,19.81%,29.82%,31.58%,30.57%,34.53%,35.43%,32.26%,27.86%,23.46%,26.43%,28.24%,23.83%,30.03%,26.93%,41.85%,12.76%,45.32%,19.78%,25.59%,44.20%,7.92%
