Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31
Pretax Income,205.51,197.67,267.03,-33.36,44.79,175.01,148.91,151.97,161.61,186.13,214.88,302.95,-310.52,140.42,118.95,124.45,116.16,35.21,72.56,51.25,44.33,38.3,27.31,20.07,18.22,13.4,7.99,-2.08,-2.32
Income Tax,3.67,5.78,1.6,1.59,0.81,1,6.06,1.79,3.76,5.47,-1.17,-0.67,2.08,0.23,0.3,-0.22,1.67,0.28,0.23,0.53,0.05,0.12,0.03,0.02,0,0.35,0,0,0
Net Income,201.84,191.89,265.43,-34.95,43.99,174.01,142.85,150.18,157.85,180.66,216.05,303.62,-312.59,140.19,118.65,124.67,114.49,34.93,72.33,50.72,44.28,38.19,27.28,20.05,18.22,13.04,7.99,-2.08,-2.32
Net Income Growth,358.88%,10.28%,85.81%,-,-72.13%,-3.69%,-33.88%,-50.54%,-,28.87%,82.08%,143.54%,-,301.37%,64.05%,145.82%,158.58%,-8.54%,165.11%,152.92%,143.03%,192.79%,241.37%,-,-,-,-,-,-
Shares Outstanding (Basic),391,394,394,394,394,394,393,392,391,389,387,385,393,325,385,285,236,146,163,123,101,67,73,57,46,21,30,8,0
Shares Outstanding (Diluted),391,394,394,394,394,394,393,392,391,389,387,385,393,325,385,285,236,146,163,123,101,67,73,57,46,21,30,8,0
Shares Change,-0.83%,0.05%,0.28%,0.60%,0.82%,1.12%,1.60%,1.65%,-0.59%,19.88%,0.44%,35.37%,66.79%,121.71%,135.52%,132.09%,133.73%,118.27%,123.41%,115.61%,119.95%,214.28%,146.80%,585.15%,42532.75%,-,-,-,-
EPS (Basic),0.52,0.48,0.67,-0.09,0.11,0.44,0.36,0.38,0.40,0.47,0.56,0.79,-0.79,0.35,0.31,0.44,0.49,0.09,0.44,0.41,0.44,0.43,0.37,0.35,0.40,0.56,0.27,-0.25,-21.55
EPS (Diluted),0.52,0.48,0.67,-0.09,0.11,0.44,0.36,0.38,0.40,0.47,0.56,0.79,-0.79,0.35,0.31,0.44,0.49,0.09,0.44,0.41,0.44,0.43,0.37,0.35,0.40,0.56,0.27,-0.25,-21.55
EPS Growth,372.73%,9.09%,86.11%,-,-72.50%,-6.38%,-35.71%,-51.90%,-,34.29%,80.65%,79.55%,-,288.89%,-29.55%,7.32%,11.36%,-79.07%,18.92%,17.14%,10.00%,-23.21%,37.04%,-,-,-,-,-,-
Free Cash Flow Per Share,0.12,0.24,0.12,0.22,-0.03,-0.95,-0.71,-0.89,-0.57,-1.82,-1.72,0.48,-0.95,-1.16,-2.70,-0.60,-3.98,-7.38,-6.89,-3.21,-5.67,-3.53,-4.26,-11.22,-3.23,-14.51,-15.81,-20.09,-
Dividend Per Share,-,0.360,0.310,0.310,0.310,0.310,0.310,0.310,0.310,0.390,0.390,0.390,0.390,0.350,0.330,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,-,16.13%,0%,0%,0%,-20.51%,-20.51%,-20.51%,-20.51%,11.43%,18.18%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,77.27%,76.59%,75.16%,73.14%,72.23%,73.01%,72.78%,72.18%,71.17%,75.14%,90.25%,90.91%,91.75%,91.96%,92.16%,91.23%,89.97%,88.92%,87.94%,85.20%,81.61%,80.22%,81.76%,80.93%,78.51%,73.84%,76.93%,-159.62%,-
Operating Margin,75.52%,74.72%,73.10%,71.01%,69.86%,70.65%,70.10%,69.78%,68.54%,71.77%,87.49%,88.14%,89.04%,89.50%,89.10%,88.72%,87.41%,86.26%,84.38%,81.27%,77.60%,75.39%,75.38%,74.67%,67.83%,61.25%,59.15%,-412.88%,-
Profit Margin,53.45%,54.75%,84.52%,-12.79%,16.65%,61.79%,53.07%,60.31%,71.24%,81.65%,115.50%,159.60%,-152.68%,69.31%,63.06%,70.78%,75.58%,27.54%,65.46%,58.90%,67.65%,67.74%,57.61%,61.06%,78.15%,74.75%,74.51%,-330.52%,-
Free Cash Flow Margin,12.25%,27.03%,15.21%,32.30%,-5.12%,-132.25%,-104.13%,-140.29%,-101.57%,-319.91%,-356.07%,98.12%,-182.25%,-186.15%,-553.11%,-97.00%,-619.92%,-852.20%,-1019.06%,-456.69%,-873.90%,-420.05%,-657.82%,-1943.43%,-635.78%,-1774.56%,-4368.18%,-26526.87%,-
Effective Tax Rate,1.78%,2.92%,0.60%,-,1.80%,0.57%,4.07%,1.18%,2.33%,2.94%,-0.54%,-0.22%,-,0.16%,0.25%,-0.18%,1.44%,0.79%,0.32%,1.04%,0.12%,0.30%,0.10%,0.07%,-,2.63%,-,-,-
EBITDA,309.46,295.27,348.24,33.99,106.17,235.11,205.43,206.41,209.68,228.54,252.27,342.14,-276.56,175.85,148.39,161.31,150.89,61.44,93.94,68.35,56.39,47.33,34.6,25.3,21.25,15.38,8.77,-2.08,-2.32
EBITDA Margin,81.95%,84.24%,110.89%,12.44%,40.19%,83.48%,76.31%,82.89%,94.63%,103.29%,134.86%,179.84%,-135.08%,86.94%,78.87%,91.58%,99.61%,48.44%,85.03%,79.38%,86.16%,83.96%,73.07%,77.03%,91.14%,88.14%,81.73%,-330.52%,-
EBIT,309.46,295.27,348.24,33.99,106.17,235.11,205.43,206.41,209.68,228.54,252.27,342.14,-276.56,175.85,148.39,161.31,150.89,61.44,93.94,68.35,56.39,47.33,34.6,25.3,21.25,15.38,8.77,-2.08,-2.32
EBIT Margin,81.95%,84.24%,110.89%,12.44%,40.19%,83.48%,76.31%,82.89%,94.63%,103.29%,134.86%,179.84%,-135.08%,86.94%,78.87%,91.58%,99.61%,48.44%,85.03%,79.38%,86.16%,83.96%,73.07%,77.03%,91.14%,88.14%,81.73%,-330.52%,-
