Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30
Net Income Growth,40.25%,51.50%,44.36%,24.02%,6.57%,-0.97%,30.25%,15.38%,3.32%,-4.16%,-28.03%,-11.15%,-22.70%,-13.78%,-15.75%,-22.27%,17.90%,26.46%,22.58%,37.90%,23.26%,-,106.19%,40.22%,58.36%,-,-19.22%,-,-,-,-
Shares Outstanding (Basic),50,50,50,50,50,50,50,50,50,53,53,53,53,55,55,55,55,55,55,55,55,53,53,53,53,53,53,-,-,-,-
Shares Change,0.73%,0.49%,0.48%,0.40%,-0.20%,-5.65%,-5.65%,-5.65%,-5.65%,-4.25%,-4.25%,-4.25%,-4.25%,1.22%,1.22%,1.22%,1.22%,2.64%,2.64%,2.64%,2.64%,0.07%,0.07%,-,-,-,-,-,-,-,-
EPS (Basic),1.25,1.28,1.16,0.99,0.90,0.84,0.80,0.80,0.84,0.84,0.61,0.68,0.77,0.83,0.80,0.73,0.97,0.93,0.91,0.90,0.80,0.73,0.75,0.66,0.67,-0.25,0.41,0.55,0.49,-0.11,0.53
EPS (Diluted),1.24,1.26,1.15,0.99,0.89,0.84,0.80,0.79,0.83,0.84,0.61,0.67,0.77,0.82,0.79,0.72,0.96,0.92,0.90,0.89,0.79,0.72,0.74,0.65,0.65,-0.24,0.41,0.54,0.48,-0.10,0.52
EPS Growth,39.33%,50.00%,43.75%,25.32%,7.23%,0%,31.15%,17.91%,7.79%,2.44%,-22.78%,-6.94%,-19.79%,-10.87%,-12.22%,-19.10%,21.52%,27.78%,21.62%,36.92%,21.54%,-,80.49%,20.37%,35.42%,-,-21.15%,-,-,-,-
Free Cash Flow Per Share,1.39,1.30,0.75,0.70,1.08,1.29,1.64,0.81,0.97,0.66,1.53,1.10,-0.13,-1.04,3.46,0.98,0.68,1.41,1.18,0.92,1.58,1.14,0.60,1.49,0.95,0.89,1.63,-,-,-,-
Dividend Per Share,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.380,0.380,0.380,0.380,0.320,0.320,0.320,0.320,0.100,-,-,-,-,-
Dividend Growth,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15.79%,15.79%,15.79%,15.79%,18.75%,18.75%,18.75%,18.75%,220.00%,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,42.78%,42.99%,41.58%,37.68%,35.61%,33.62%,32.45%,32.30%,34.36%,33.61%,25.41%,29.97%,31.91%,30.90%,32.07%,29.74%,39.23%,37.95%,38.19%,39.02%,36.53%,33.62%,35.92%,32.53%,33.66%,32.98%,23.88%,31.02%,27.87%,-1.89%,30.04%
Profit Margin,42.32%,42.50%,40.92%,36.89%,34.84%,33.00%,31.83%,31.64%,33.76%,33.56%,24.96%,29.32%,31.13%,32.30%,31.89%,29.61%,39.13%,37.83%,37.87%,38.75%,36.24%,33.24%,35.76%,32.29%,33.50%,-9.23%,19.62%,26.57%,23.35%,-7.56%,25.60%
Free Cash Flow Margin,47.68%,44.15%,26.69%,26.47%,42.51%,51.07%,65.57%,32.34%,39.53%,27.99%,66.27%,49.77%,-5.30%,-42.45%,143.91%,41.59%,28.41%,57.12%,48.51%,39.35%,70.74%,50.24%,27.83%,71.21%,47.27%,44.20%,85.24%,3.21%,32.72%,34.11%,-
Effective Tax Rate,1.06%,1.13%,1.59%,2.10%,2.15%,1.84%,1.91%,2.06%,1.74%,0.16%,1.74%,2.15%,2.45%,-4.54%,0.56%,0.44%,0.24%,0.32%,0.84%,0.68%,0.79%,1.14%,0.45%,0.72%,0.49%,0.04%,0.86%,0.80%,0.98%,-,0.56%
EBITDA,71.15,72.75,68.23,60.18,56.72,57.44,57.5,59.02,61.3,59.44,48.09,50.02,54.48,55.04,55.38,50.87,62.81,62.73,60.84,62.6,56.77,53.22,53.74,48.95,48.84,49.04,37.22,44.42,38.25,10.4,-
EBITDA Margin,48.41%,48.99%,48.62%,45.19%,44.56%,45.50%,46.01%,47.13%,49.73%,47.42%,39.31%,42.72%,42.10%,40.50%,41.62%,38.97%,47.17%,46.62%,45.74%,48.80%,46.55%,43.95%,46.76%,43.84%,45.63%,45.71%,36.64%,45.91%,39.45%,12.15%,-
Depreciation & Amortization,8.28,8.92,9.87,9.99,11.4,15,16.94,18.57,18.95,17.31,17.01,14.93,13.19,13.05,12.71,12.05,10.57,11.66,10.05,12.55,12.22,12.51,12.46,12.63,12.8,13.66,12.97,14.41,11.23,12.01,-
EBIT,62.87,63.83,58.36,50.18,45.33,42.43,40.56,40.45,42.35,42.13,31.09,35.09,41.29,41.98,42.68,38.81,52.23,51.07,50.8,50.05,44.55,40.72,41.28,36.31,36.03,35.37,24.26,30.01,27.03,-1.61,28.95
EBIT Margin,42.78%,42.99%,41.58%,37.68%,35.61%,33.62%,32.45%,32.30%,34.36%,33.61%,25.41%,29.97%,31.91%,30.90%,32.07%,29.74%,39.23%,37.95%,38.19%,39.02%,36.53%,33.62%,35.92%,32.53%,33.66%,32.98%,23.88%,31.02%,27.87%,-1.89%,30.04%
