Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
Interest Expense,3.95,2.21,1.4,1.17,1.22,1.41,1.55,1.69,2.03,2.29,2.71,3.3,4.54,4.78,4.49,4.64,4.36,3.88,3.59,3.19,2.7,2.45,2.28,2.15,1.96,2.02,2.01,1.94,1.79,1.7,1.69,1.71,1.74
Other Expense / Income,20.61,20.46,19.09,17.46,17.08,17.41,8.43,8.66,8.52,8.39,8.24,8.18,6.74,6.21,6.25,6.94,9.76,5.72,6.01,6.05,5.52,7.61,5.55,5.52,5.6,5.07,5.11,5.44,5.74,-1.71,-1.69,-1.72,-1.74
Pretax Income,8,9.37,9.08,7.97,7.63,8.2,7.68,7.07,6.23,5.18,4.53,3.82,3.76,4.21,4.52,3.43,0.16,4.59,4.53,4.21,4.37,2.74,4.4,3.96,3.77,4.28,4.13,4.07,3.82,3.67,4.02,3.63,3.38
Income Tax,1.9,2.2,2.1,1.64,1.61,2.02,1.75,1.55,1.38,1.07,0.99,0.7,0.73,0.82,0.8,0.62,-0.07,0.8,0.83,0.58,0.79,1.03,1.23,0.92,0.68,1.26,1.1,1.05,1.05,0.94,1.02,0.87,0.88
Net Income,6.1,7.17,6.98,6.33,6.02,6.18,5.93,5.52,4.85,4.1,3.55,3.12,3.03,3.39,3.72,2.81,0.23,3.79,3.7,3.64,3.58,1.71,3.18,3.04,3.09,3.02,3.03,3.02,2.77,2.74,3,2.77,2.5
Net Income Growth,1.26%,15.98%,17.68%,14.54%,24.09%,50.69%,67.19%,76.82%,59.92%,21.10%,-4.60%,11.25%,1224.89%,-10.56%,0.32%,-22.75%,-93.61%,121.91%,16.55%,19.61%,15.89%,-43.44%,4.78%,0.56%,11.55%,10.15%,1.10%,9.10%,10.80%,-,-,-,-
Shares Outstanding (Basic),6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,5,5,5,5,5,5,5,5
Shares Outstanding (Diluted),6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,5,5,5,5,5,5,5,5
Shares Change,-3.45%,-5.85%,-5.75%,-6.33%,-4.71%,-2.51%,-1.87%,0.34%,0.32%,0.32%,-0.10%,-0.95%,0.65%,0.65%,-,0.14%,0.28%,0.28%,11.27%,35.29%,36.12%,36.12%,22.34%,2.02%,7.14%,3.20%,5.87%,4.67%,-1.04%,-,-,-,-
EPS (Basic),0.97,1.14,1.12,1.00,0.93,0.93,0.89,0.82,0.71,0.60,0.52,0.46,0.45,0.50,0.55,0.42,0.03,0.57,0.56,0.55,0.55,0.26,0.54,0.63,0.66,0.64,0.65,0.64,0.59,0.56,0.63,0.58,0.53
EPS (Diluted),0.95,1.13,1.09,0.98,0.91,0.91,0.88,0.80,0.70,0.59,0.52,0.45,0.44,0.49,0.54,0.41,0.03,0.55,0.54,0.53,0.52,0.25,0.51,0.60,0.61,0.60,0.60,0.60,0.59,0.56,0.63,0.58,0.53
EPS Growth,4.40%,24.18%,23.86%,22.50%,30.00%,54.24%,69.23%,77.78%,59.09%,20.41%,-3.70%,9.76%,1366.67%,-10.91%,0%,-22.64%,-94.23%,120.00%,5.88%,-11.67%,-14.75%,-58.33%,-15.00%,0%,3.51%,6.86%,-4.20%,3.54%,11.97%,-,-,-,-
Free Cash Flow Per Share,1.15,1.21,1.22,0.60,0.68,0.42,0.38,-0.46,1.03,0.85,0.48,0.50,0.38,0.09,0.06,1.24,0.57,0.52,0.61,0.59,0.70,0.54,0.69,0.22,0.84,0.43,0.65,0.72,1.09,0.40,0.38,0.66,0.68
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83.43%,82.49%,81.98%,81.23%
Operating Margin,66.25%,60.20%,53.98%,52.53%,52.40%,55.05%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.77%,41.66%,38.25%,36.46%
Profit Margin,33.81%,37.27%,35.95%,36.36%,35.63%,35.40%,34.01%,32.97%,31.07%,27.84%,25.23%,24.26%,25.30%,30.24%,31.38%,25.32%,2.14%,34.73%,34.78%,33.37%,33.53%,15.31%,28.64%,30.40%,31.76%,30.16%,31.22%,29.65%,27.40%,26.71%,31.09%,29.19%,26.97%
Free Cash Flow Margin,39.84%,39.29%,39.34%,21.83%,25.96%,15.92%,14.53%,-18.31%,44.60%,39.22%,23.55%,26.17%,21.19%,5.47%,3.13%,75.05%,35.28%,31.83%,38.21%,35.81%,43.25%,31.89%,36.78%,10.55%,40.77%,20.18%,31.54%,33.15%,50.54%,19.20%,18.76%,33.30%,34.84%
Effective Tax Rate,23.77%,23.48%,23.17%,20.62%,21.11%,24.63%,22.83%,21.88%,22.17%,20.73%,21.80%,18.24%,19.31%,19.43%,17.73%,18.04%,-47.74%,17.45%,18.31%,13.74%,18.07%,37.59%,27.82%,23.20%,17.99%,29.52%,26.60%,25.77%,27.47%,25.61%,25.37%,23.97%,26.04%
EBITDA,12.08,11.72,11.08,9.62,9.33,10.12,9.71,9.24,8.75,7.98,7.72,7.57,8.73,9.42,9.41,8.33,4.68,8.63,8.28,7.56,7.23,5.4,6.88,6.31,5.93,6.54,6.38,6.25,5.85,5.65,5.95,5.63,5.4
EBITDA Margin,67.00%,60.90%,57.11%,55.27%,55.20%,57.91%,55.68%,55.15%,56.04%,54.13%,54.95%,58.81%,72.81%,84.11%,79.46%,75.08%,43.76%,79.16%,77.73%,69.40%,67.69%,48.45%,62.03%,63.12%,60.98%,65.35%,65.63%,61.30%,57.90%,55.07%,61.66%,59.33%,58.25%
Depreciation & Amortization,0.32,0.5,0.61,0.48,0.47,0.5,0.48,0.48,0.49,0.51,0.48,0.46,0.44,0.44,0.41,0.27,0.16,0.16,0.16,0.16,0.16,0.22,0.2,0.2,0.21,0.23,0.23,0.23,0.25,0.27,0.24,0.28,0.28
EBIT,11.77,11.22,10.47,9.14,8.86,9.62,9.23,8.76,8.27,7.46,7.24,7.12,8.3,8.99,9,8.06,4.52,8.47,8.12,7.4,7.07,5.18,6.68,6.11,5.73,6.31,6.14,6.02,5.61,5.38,5.71,5.35,5.12
EBIT Margin,65.25%,58.32%,53.98%,52.53%,52.40%,55.05%,52.93%,52.28%,52.92%,50.64%,51.54%,55.27%,69.17%,80.20%,76.03%,72.67%,42.25%,77.66%,76.27%,67.96%,66.17%,46.49%,60.24%,61.13%,58.86%,63.02%,63.22%,59.01%,55.43%,52.44%,59.17%,56.38%,55.23%
