Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
Net Income Growth,31.83%,-,53.90%,73.88%,56.98%,60.39%,50.38%,23.36%,98.74%,49.76%,40.35%,78.49%,-28.53%,25.09%,8.01%,3.27%,35.61%,89.05%,84.99%,121.24%,146.90%,6685.71%,165.17%,-,-,-,-
Shares Outstanding (Basic),11,11,11,11,11,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,8,-
Shares Outstanding (Diluted),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,5,-,-
Shares Change,0.27%,2.70%,31.01%,31.02%,31.00%,28.38%,0.61%,0.59%,0.53%,-0.34%,-0.31%,-0.31%,0.45%,1.37%,1.37%,1.54%,-0.14%,0.09%,6.13%,5.97%,80.80%,6.04%,-,-,-,-,-
EPS (Basic),2.26,-0.71,2.28,2.12,1.74,1.75,1.82,1.59,1.46,1.42,1.30,1.30,0.73,0.94,0.92,0.73,1.03,0.77,0.87,0.72,0.77,0.45,0.83,0.57,0.55,-0.02,-0.52
EPS (Diluted),2.25,-0.69,2.23,2.07,1.69,1.69,1.77,1.55,1.43,1.39,1.27,1.28,0.72,0.93,0.90,0.71,1.01,0.75,0.85,0.70,0.75,0.40,0.82,0.57,0.55,-0.02,-0.52
EPS Growth,33.14%,-,25.99%,33.55%,18.18%,21.58%,39.37%,21.09%,98.61%,49.46%,41.11%,80.28%,-28.71%,24.00%,5.88%,1.43%,34.67%,87.50%,3.66%,22.81%,36.36%,-,-,-,-,-,-
Free Cash Flow Per Share,3.47,1.10,3.44,-1.10,2.65,1.25,2.69,-0.19,-0.10,4.07,1.47,2.47,2.05,-1.74,2.84,0.23,2.55,-1.72,3.09,-0.09,1.80,0.83,0.60,1.24,1.82,0.42,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,52.17%,1.89%,53.54%,56.15%,51.40%,54.61%,52.41%,47.43%,46.61%,49.24%,45.64%,46.30%,31.57%,40.42%,42.07%,37.77%,49.23%,42.86%,50.25%,45.27%,44.78%,46.62%,42.72%,38.17%,36.85%,-6.79%,23.04%
Profit Margin,38.66%,-11.39%,37.17%,38.71%,37.55%,36.77%,35.10%,32.33%,31.83%,33.60%,30.96%,31.75%,21.38%,27.49%,28.72%,25.60%,34.12%,30.95%,34.17%,31.24%,30.91%,18.15%,25.64%,22.95%,22.24%,0.87%,13.24%
Free Cash Flow Margin,58.66%,17.63%,56.07%,-20.01%,57.26%,25.95%,48.58%,-3.92%,-2.30%,96.23%,34.89%,60.07%,59.71%,-50.47%,88.26%,7.91%,84.30%,-69.66%,121.91%,-3.94%,71.77%,37.27%,30.74%,82.90%,72.01%,56.91%,-
Effective Tax Rate,25.89%,704.22%,30.58%,31.05%,26.95%,32.67%,33.02%,31.84%,31.71%,31.76%,32.16%,31.42%,32.28%,31.99%,31.73%,32.23%,30.69%,27.78%,32.00%,30.99%,30.97%,61.07%,39.99%,39.86%,39.65%,-,42.51%
EBITDA,34.71,0.73,38.54,34.76,27.2,29.79,25.15,20.68,19.02,17.68,18.1,16.53,10.21,11.59,11.91,9.41,12.76,8.79,10.88,8.98,9.48,8.82,6.68,4.63,4.42,-0.18,-
EBITDA Margin,53.51%,1.08%,57.41%,58.03%,53.69%,57.99%,54.45%,50.12%,49.95%,50.45%,51.98%,48.55%,35.79%,40.52%,44.53%,39.77%,51.04%,43.27%,52.28%,47.84%,46.59%,48.16%,44.56%,40.10%,38.57%,-3.22%,-
Depreciation & Amortization,0.87,-0.55,2.6,1.13,1.16,1.74,0.94,1.11,1.27,0.43,2.21,0.77,1.2,0.03,0.66,0.47,0.45,0.08,0.42,0.48,0.37,0.28,0.28,0.22,0.2,0.2,-
EBIT,33.84,1.28,35.95,33.63,26.04,28.05,24.21,19.57,17.74,17.26,15.89,15.76,9,11.56,11.25,8.94,12.31,8.7,10.46,8.5,9.11,8.54,6.41,4.41,4.22,-0.38,2.52
EBIT Margin,52.17%,1.89%,53.54%,56.15%,51.40%,54.61%,52.41%,47.43%,46.61%,49.24%,45.64%,46.30%,31.57%,40.42%,42.07%,37.77%,49.23%,42.86%,50.25%,45.27%,44.78%,46.62%,42.72%,38.17%,36.85%,-6.79%,23.04%
