Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
EPS (Basic),0.26,0.27,0.41,0.44,0.45,0.45,0.48,0.41,0.35,0.17,0.28,0.18,0.14,0.22,0.23,0.21,0.21,0.19,0.22,0.20,0.20,0.45,0.42,0.45,0.29,-,-
EPS (Diluted),0.26,0.27,0.41,0.44,0.45,0.46,0.48,0.41,0.35,0.17,0.27,0.18,0.14,0.22,0.23,0.21,0.21,0.18,0.21,0.20,0.20,0.45,0.42,0.45,0.29,-,-
EPS Growth,-42.22%,-41.30%,-14.58%,7.32%,28.57%,170.59%,77.78%,127.78%,150.00%,-22.73%,17.39%,-14.29%,-33.33%,22.22%,9.52%,5.00%,5.00%,-60.00%,-50.00%,-55.56%,-31.03%,-,-,-,-,-,-
Free Cash Flow Per Share,0.30,0.07,0.64,0.26,0.67,0.41,0.79,0.37,0.48,0.23,0.32,0.38,0.26,0.39,0.36,0.28,0.30,0.20,0.43,0.22,0.17,0.57,0.38,0.51,0.27,-,-
Dividend Per Share,-,0.120,0.120,0.120,0.120,0.120,0.120,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.015,-,-,-,-,-,-
Dividend Growth,-,0%,0%,106.90%,106.90%,106.90%,106.90%,0%,0%,0%,0%,0%,0%,0%,0%,0%,286.67%,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,-
Operating Margin,52.98%,49.96%,66.01%,70.61%,67.41%,68.39%,70.46%,68.39%,62.91%,60.46%,55.38%,46.28%,38.95%,53.48%,52.85%,53.46%,51.02%,45.32%,53.00%,51.36%,50.94%,52.44%,57.12%,56.88%,46.38%,-,-
Profit Margin,37.32%,34.57%,46.42%,49.78%,48.20%,48.55%,49.94%,48.32%,44.33%,23.07%,39.01%,32.62%,27.44%,37.78%,37.37%,36.89%,36.21%,32.28%,37.78%,36.60%,37.02%,73.46%,55.22%,54.98%,44.83%,-,-
Free Cash Flow Margin,42.86%,9.00%,72.06%,29.82%,72.95%,43.52%,82.57%,43.56%,60.90%,31.63%,46.14%,69.63%,53.74%,66.93%,60.02%,50.22%,51.56%,34.79%,75.39%,39.96%,31.98%,88.77%,62.43%,62.12%,40.99%,-,-
Effective Tax Rate,29.56%,30.80%,29.68%,29.50%,28.49%,29.00%,29.13%,29.35%,29.52%,29.60%,29.56%,29.52%,29.55%,29.36%,29.28%,31.01%,29.03%,28.77%,28.72%,28.74%,27.33%,-40.09%,3.33%,3.34%,3.34%,-,-
EBITDA,19.73,20.58,30.67,32.76,32.68,33.54,35.54,30.71,26.78,13.02,21,13.91,11.42,18.25,18.68,17.56,17.59,15.59,17.72,16.45,15.99,15.3,19.08,20.3,13.46,-,-
EBITDA Margin,54.78%,51.96%,67.80%,72.25%,68.67%,69.64%,71.72%,69.93%,64.48%,34.51%,57.22%,48.68%,41.37%,55.35%,54.82%,55.56%,53.02%,47.46%,55.18%,53.62%,53.32%,55.04%,59.35%,58.99%,49.06%,-,-
Depreciation & Amortization,0.65,0.79,0.81,0.75,0.6,0.6,0.63,0.68,0.66,0.66,0.67,0.69,0.67,0.62,0.67,0.66,0.67,0.71,0.7,0.69,0.71,0.72,0.72,0.73,0.74,-,-
EBIT,19.08,19.78,29.87,32.01,32.08,32.94,34.91,30.03,26.12,12.36,20.33,13.22,10.75,17.64,18.01,16.9,16.92,14.89,17.02,15.75,15.28,14.58,18.36,19.58,12.72,-,-
EBIT Margin,52.98%,49.96%,66.01%,70.61%,67.41%,68.39%,70.46%,68.39%,62.91%,32.77%,55.38%,46.28%,38.95%,53.48%,52.85%,53.46%,51.02%,45.32%,53.00%,51.36%,50.94%,52.44%,57.12%,56.88%,46.38%,-,-
