Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31
EPS (Basic),0.69,0.68,0.92,0.90,0.89,0.76,0.77,0.87,0.91,0.82,0.84,0.09,0.50,0.43,0.65,0.52,0.45,0.55,0.43,0.41,0.39,0.24,0.37,0.40,0.40,0.40,0.38,0.27,0.30
EPS (Diluted),0.69,0.66,0.91,0.89,0.88,0.75,0.76,0.85,0.90,0.81,0.84,0.09,0.50,0.43,0.65,0.52,0.45,0.55,0.42,0.41,0.39,0.24,0.37,0.39,0.40,0.40,0.38,0.27,0.30
EPS Growth,-21.59%,-12.00%,19.74%,4.71%,-2.22%,-7.41%,-9.52%,844.44%,80.00%,88.37%,29.23%,-82.69%,11.11%,-21.82%,54.76%,26.83%,15.38%,129.17%,13.51%,5.13%,-2.50%,-40.00%,-2.63%,44.44%,33.33%,-,-,-,-
Free Cash Flow Per Share,0.80,0.79,0.47,0.24,1.41,0.52,1.26,0.93,0.76,1.27,1.11,0.32,0.68,0.88,1.13,-0.43,0.80,0.68,0.78,0.39,0.65,0.56,0.55,0.52,1.05,0.42,-,-,-
Dividend Per Share,0.230,0.220,0.220,0.220,0.220,0.200,0.200,0.200,0.200,0.200,0.200,0.190,0.190,0.180,0.180,0.170,0.170,0.170,0.150,0.140,0.140,0.140,0.130,0.130,-,-,-,-,-
Dividend Growth,4.55%,10.00%,10.00%,10.00%,10.00%,0%,0%,5.26%,5.26%,11.11%,11.11%,11.76%,11.76%,5.88%,20.00%,21.43%,21.43%,21.43%,15.38%,7.69%,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,33.59%,31.89%,39.59%,40.20%,40.47%,36.87%,37.21%,41.86%,43.44%,40.18%,42.69%,5.51%,32.01%,35.53%,37.25%,32.54%,29.66%,35.44%,29.38%,28.67%,28.76%,34.30%,32.43%,32.02%,28.61%,29.34%,29.27%,22.58%,24.71%
Profit Margin,27.54%,26.15%,32.55%,32.75%,33.50%,30.47%,30.12%,34.26%,35.81%,32.64%,34.66%,6.69%,26.02%,29.28%,30.61%,26.48%,24.27%,28.90%,23.93%,23.49%,23.64%,15.04%,22.99%,22.70%,20.84%,20.98%,20.76%,17.00%,17.56%
Free Cash Flow Margin,31.69%,30.89%,16.88%,8.62%,53.19%,20.70%,49.54%,36.82%,30.06%,45.80%,41.93%,22.11%,32.13%,40.17%,52.92%,-21.86%,43.04%,36.01%,44.10%,21.99%,39.14%,33.49%,33.61%,32.61%,68.83%,27.21%,49.98%,54.73%,17.22%
Effective Tax Rate,18.04%,18.03%,17.81%,18.65%,17.23%,17.35%,19.06%,18.14%,17.57%,18.76%,18.82%,-21.47%,18.71%,17.59%,17.83%,18.63%,18.19%,18.45%,18.56%,18.07%,17.80%,56.14%,29.10%,29.11%,27.17%,28.51%,29.05%,24.70%,28.94%
EBITDA,11.32,10.98,14.47,14.51,14.26,12.37,12.77,14.18,14.75,13.62,13.87,2.23,9.05,10.25,10.47,8.73,7.88,9.28,7.47,6.74,6.34,7.43,6.88,6.67,5.89,6.12,5.74,4.35,4.79
EBITDA Margin,37.64%,35.78%,43.18%,44.06%,44.49%,41.15%,41.57%,46.58%,48.18%,44.82%,47.44%,13.87%,37.49%,40.73%,42.55%,38.25%,35.81%,41.17%,35.10%,34.16%,34.39%,39.80%,38.22%,38.06%,34.93%,35.92%,35.37%,29.60%,31.39%
Depreciation & Amortization,1.21,1.19,1.2,1.26,1.29,1.29,1.34,1.44,1.45,1.41,1.39,1.34,1.32,1.31,1.3,1.3,1.35,1.29,1.22,1.08,1.04,1.03,1.04,1.06,1.07,1.12,0.99,1.03,1.02
EBIT,10.1,9.79,13.27,13.26,12.97,11.08,11.43,12.74,13.3,12.21,12.48,0.89,7.72,8.94,9.16,7.43,6.52,7.99,6.25,5.66,5.3,6.4,5.84,5.61,4.83,5,4.75,3.32,3.77
EBIT Margin,33.60%,31.90%,39.60%,40.25%,40.47%,36.87%,37.21%,41.86%,43.44%,40.18%,42.69%,5.51%,32.01%,35.53%,37.25%,32.54%,29.66%,35.44%,29.38%,28.67%,28.76%,34.30%,32.43%,32.02%,28.61%,29.34%,29.27%,22.58%,24.71%
