Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31
Pretax Income,82.56,27.65,61.74,110.06,154.04,145.12,92.47,89.01,319.96,174.16,169.52,268.39,299.06,-15.67,-4.96,-40.99,-9.26,81.71,22.43,28.21,233.27,108.16,-20.02,1.68,7.39,11.15,11.88,13.51,17.69,12.44,21.68,2.47,80.17,71.58,42.6,29.53,49.86
Income Tax,24.68,0.06,21.73,24.89,41.79,41.06,21.96,26.1,80.56,61.88,52.81,69.25,77.99,2.05,-0.64,-11.09,-2.59,0.84,13.82,3,58.51,97.18,-6.51,0.78,2.81,3.93,4.85,5.13,7.35,4.34,9.38,2,2.73,2.67,1.18,-1.32,0.97
Net Income,57.88,27.59,40.01,85.17,112.26,104.06,70.51,62.91,239.41,112.28,116.71,199.14,221.07,-17.72,-4.31,-29.89,-6.67,80.87,8.61,25.21,174.75,10.98,-13.52,0.9,4.58,7.23,7.03,8.38,10.35,8.11,12.31,0.47,77.44,68.91,41.42,30.84,48.89
Net Income Growth,-48.44%,-73.48%,-43.26%,35.38%,-53.11%,-7.32%,-39.59%,-68.41%,8.29%,-,-,-,-,-,-,-,-,636.77%,-,2697.89%,3715.52%,51.85%,-,-89.25%,-55.74%,-10.84%,-42.91%,1667.51%,-86.64%,-88.24%,-70.29%,-98.46%,58.41%,-,-,-,-
Shares Outstanding (Basic),98,99,102,105,109,112,116,120,122,123,123,122,120,118,118,113,107,106,107,100,91,63,79,41,40,39,38,38,38,37,34,34,137,137,-,-,-
Shares Outstanding (Diluted),98,100,103,105,110,113,117,121,123,124,124,122,120,118,118,113,107,107,107,102,92,63,79,41,40,39,38,38,38,37,35,35,-,-,-,-,-
Shares Change,-11.13%,-11.46%,-12.07%,-12.96%,-10.80%,-8.85%,-5.78%,-0.87%,3.01%,4.79%,5.29%,8.34%,11.62%,10.20%,9.73%,11.03%,16.14%,70.90%,35.26%,148.98%,128.74%,58.98%,106.51%,6.76%,4.96%,5.16%,10.40%,10.72%,-71.80%,-72.58%,-,-,-,-,-,-,-
EPS (Basic),0.56,0.28,0.38,0.78,0.99,0.91,0.59,0.51,1.91,0.88,0.92,1.59,1.80,-0.15,-0.04,-0.27,-0.07,0.75,0.08,0.25,1.89,0.20,-0.17,0.01,0.10,0.17,0.18,0.21,0.27,0.23,0.36,0.01,-,-,-,-,-
EPS (Diluted),0.56,0.28,0.37,0.78,0.98,0.90,0.59,0.50,1.89,0.87,0.92,1.58,1.80,-0.15,-0.04,-0.27,-0.07,0.74,0.08,0.24,1.86,0.20,-0.17,0.01,0.10,0.17,0.18,0.21,0.26,0.22,0.35,0.01,-,-,-,-,-
EPS Growth,-42.86%,-68.89%,-37.29%,56.00%,-48.15%,3.45%,-35.87%,-68.35%,5.00%,-,-,-,-,-,-,-,-,270.00%,-,2300.00%,1760.00%,17.65%,-,-95.24%,-61.54%,-22.73%,-48.57%,2000.00%,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-1.87,4.03,2.19,2.89,-2.62,7.00,0.09,1.73,0.90,4.61,-0.27,5.80,-1.98,4.24,0.12,-1.61,-2.06,3.67,-0.07,1.77,1.19,1.02,1.54,1.13,0.65,1.20,2.52,0.72,1.26,0.40,1.64,2.60,0.56,0.80,-,-,-
Dividend Per Share,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,-,-,-,-,-,-
Gross Margin,67.39%,60.22%,60.47%,64.83%,70.59%,70.42%,60.60%,59.34%,69.28%,65.05%,62.19%,71.39%,77.13%,61.37%,58.53%,58.97%,70.83%,58.00%,63.35%,62.79%,83.15%,70.94%,59.24%,50.39%,51.81%,58.26%,57.51%,57.79%,59.80%,60.40%,63.89%,59.31%,64.30%,60.14%,57.79%,56.23%,59.47%
Operating Margin,41.72%,28.93%,33.59%,40.68%,47.24%,44.35%,35.47%,33.17%,52.84%,45.68%,47.27%,51.70%,53.72%,19.36%,16.45%,0.96%,16.85%,46.70%,28.14%,32.23%,64.69%,40.73%,5.24%,23.00%,29.19%,37.65%,36.94%,37.65%,41.19%,38.24%,45.85%,18.50%,43.94%,43.08%,35.87%,30.39%,39.16%
Profit Margin,9.33%,5.54%,7.13%,14.08%,16.01%,14.75%,12.95%,11.46%,23.64%,16.59%,17.79%,21.98%,22.09%,-4.43%,-1.13%,-7.97%,-1.84%,18.36%,2.92%,7.68%,21.44%,2.36%,-4.98%,0.62%,3.11%,4.24%,4.26%,4.81%,5.37%,4.58%,5.70%,0.26%,34.96%,32.27%,23.91%,18.92%,28.21%
Free Cash Flow Margin,-29.47%,80.59%,39.96%,50.18%,-40.90%,111.04%,1.91%,37.76%,10.90%,83.66%,-5.01%,77.80%,-23.74%,125.10%,3.71%,-48.59%,-60.85%,88.62%,-2.52%,53.74%,13.19%,13.69%,44.86%,31.75%,17.81%,27.64%,58.55%,15.78%,25.01%,8.25%,26.06%,49.02%,34.28%,51.41%,20.68%,2.89%,49.76%
Effective Tax Rate,29.89%,0.22%,35.20%,22.61%,27.13%,28.29%,23.75%,29.32%,25.18%,35.53%,31.15%,25.80%,26.08%,-,-,-,-,1.03%,61.60%,10.63%,25.08%,89.85%,-,46.37%,38.01%,35.20%,40.84%,37.97%,41.52%,34.85%,43.25%,80.82%,3.40%,3.73%,2.77%,-4.46%,1.94%
EBITDA,219.8,146.51,163.87,197.2,235.39,247.47,155.87,150.44,380.26,238.14,233.9,335.68,383.53,72.6,81.38,45.34,75.35,152.18,88.71,98.21,301.28,183.83,51.41,32.13,33.25,38.24,42.04,42.48,46.06,40.42,49.89,34.76,107,99.93,70.69,57,74.35
EBITDA Margin,35.43%,29.43%,29.21%,32.61%,33.57%,35.07%,28.63%,27.40%,37.55%,35.19%,35.65%,37.05%,38.33%,18.17%,21.28%,12.09%,20.76%,34.55%,30.06%,29.93%,36.96%,39.57%,18.95%,22.18%,22.58%,22.41%,25.51%,24.39%,23.91%,22.85%,23.12%,19.10%,48.30%,46.80%,40.81%,34.98%,42.90%
Depreciation & Amortization,15.35,15.91,16.66,16.34,17.48,18.05,16.64,16.35,16.78,16.01,16.66,16.71,17.36,16.79,17.6,14.81,16.45,13.6,16.01,16.21,15.34,18.17,15.6,6.8,6.76,7.02,7.16,7.8,7.73,7.6,8.18,8.19,9.66,7.93,8.55,7.48,6.48
EBIT,204.45,130.6,147.21,180.86,217.91,229.42,139.23,134.09,363.48,222.12,217.25,318.97,366.17,55.82,63.78,30.53,58.9,138.59,72.7,82,285.94,165.66,35.81,25.33,26.5,31.22,34.89,34.68,38.33,32.82,41.72,26.57,97.34,92.01,62.14,49.52,67.87
EBIT Margin,32.96%,26.24%,26.24%,29.91%,31.07%,32.51%,25.58%,24.43%,35.90%,32.82%,33.11%,35.21%,36.59%,13.97%,16.68%,8.14%,16.23%,31.47%,24.63%,24.99%,35.08%,35.66%,13.20%,17.49%,17.99%,18.30%,21.17%,19.91%,19.90%,18.55%,19.33%,14.60%,43.94%,43.08%,35.87%,30.39%,39.16%
