Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31
EPS Growth,23.36%,83.05%,3433.33%,67.27%,10.31%,-14.49%,-96.10%,5.77%,83.02%,-2.82%,-2.53%,13.04%,-15.87%,-11.25%,16.18%,-55.68%,46.85%,23.46%,-6.08%,57.99%,-23.67%,21.12%,26.80%,27.08%,40.85%,73.70%,109.93%,280.15%,110.00%,142.52%,87.59%,-20.93%,-87.75%,-59.94%,-46.69%,-4.97%,-,-,-,-
Free Cash Flow Per Share,0.99,1.43,1.18,1.74,1.08,0.46,0.11,1.12,0.93,0.62,0.76,1.04,1.74,0.01,0.67,0.99,1.03,1.04,0.45,1.57,0.80,0.77,0.67,0.92,0.25,0.64,0.26,0.66,0.52,0.59,0.32,0.42,0.29,0.26,-0.04,1.80,0.20,-,-,-
Dividend Per Share,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.600,0.300,0.300,-,0.600,0.300,0.300,-,0.300,0.300,0.481,-,0.181,0.152,0.160,0.130,0.130,0.130,0.130,0.100,0.100,0.100,0.100,0.075,0.075,0.075,0.075,0.050,0.050,0.148,-,-
Dividend Growth,0%,0%,0%,0%,-50.00%,0%,0%,-,0%,0%,0%,-,100.00%,0%,-37.63%,-,65.75%,97.37%,200.62%,-,39.23%,16.92%,23.08%,30.00%,30.00%,30.00%,30.00%,33.33%,33.33%,33.33%,33.33%,50.00%,50.00%,-49.32%,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,47.65%,42.54%,42.16%,37.16%,39.91%,23.28%,1.35%,28.23%,40.94%,31.91%,37.11%,27.65%,29.68%,34.10%,35.16%,25.78%,35.02%,39.65%,36.06%,46.48%,40.61%,39.49%,43.22%,39.98%,35.62%,34.64%,36.88%,34.06%,28.39%,21.96%,20.22%,11.29%,13.80%,10.06%,11.68%,11.87%,39.90%,25.26%,22.41%,15.71%
Profit Margin,38.83%,34.90%,34.83%,30.65%,35.56%,18.77%,0.91%,22.59%,31.55%,25.80%,29.82%,22.36%,23.81%,27.41%,29.27%,20.97%,28.16%,31.88%,29.09%,37.25%,15.48%,26.96%,29.36%,27.22%,24.43%,23.88%,25.36%,23.53%,19.89%,15.80%,14.66%,8.94%,10.37%,8.07%,9.20%,10.71%,26.38%,18.11%,16.25%,11.92%
Free Cash Flow Margin,29.15%,46.03%,38.61%,57.50%,38.57%,14.54%,3.73%,45.69%,30.51%,23.07%,29.27%,44.62%,77.91%,0.20%,25.07%,44.57%,45.99%,40.98%,19.12%,55.73%,28.35%,31.38%,27.11%,37.89%,10.79%,28.53%,11.39%,29.73%,25.15%,29.74%,18.15%,26.99%,15.77%,16.61%,-2.73%,112.99%,3.47%,32.70%,19.90%,108.78%
Effective Tax Rate,18.51%,17.95%,17.39%,17.51%,10.88%,19.35%,32.88%,19.99%,22.95%,19.15%,19.66%,19.12%,19.79%,19.62%,16.73%,18.67%,19.60%,19.61%,19.33%,19.86%,61.88%,31.73%,32.06%,31.91%,31.41%,31.06%,31.24%,30.90%,29.94%,28.04%,27.50%,20.80%,24.87%,19.75%,21.24%,9.80%,33.89%,28.29%,27.47%,24.12%
EBITDA,9.54,8.42,8.28,7.39,7.26,5.09,1.59,2.37,3.88,2.81,3.01,2.29,1.58,2.83,2.97,2.03,2.39,3,2.58,3.8,3.33,2.85,3.14,2.88,2.49,2.35,2.51,2.27,1.86,1.45,1.35,0.82,1.04,0.76,0.85,0.85,7.28,1.59,1.46,1.06
EBITDA Margin,52.48%,50.92%,50.72%,46.02%,48.87%,30.46%,9.83%,35.63%,46.82%,38.77%,43.02%,36.53%,26.22%,40.93%,41.16%,34.16%,39.95%,44.21%,40.98%,50.65%,44.70%,44.04%,48.03%,45.24%,40.97%,40.16%,42.20%,39.39%,33.59%,27.34%,25.84%,17.66%,19.14%,16.04%,17.65%,17.96%,41.57%,31.21%,28.98%,23.43%
Depreciation & Amortization,0.88,1.39,1.4,1.42,1.33,1.2,1.38,0.49,0.49,0.5,0.41,0.56,-0.21,0.47,0.43,0.5,0.29,0.31,0.31,0.31,0.31,0.3,0.32,0.34,0.33,0.32,0.32,0.31,0.29,0.29,0.29,0.3,0.29,0.28,0.29,0.29,0.29,0.3,0.33,0.35
EBIT,8.66,7.04,6.88,5.97,5.93,3.89,0.22,1.88,3.4,2.31,2.6,1.74,1.78,2.36,2.54,1.53,2.09,2.69,2.27,3.49,3.03,2.56,2.83,2.55,2.17,2.03,2.2,1.96,1.57,1.17,1.06,0.52,0.75,0.48,0.57,0.56,6.98,1.29,1.13,0.71
EBIT Margin,47.65%,42.54%,42.16%,37.16%,39.91%,23.28%,1.35%,28.23%,40.94%,31.91%,37.11%,27.65%,29.68%,34.10%,35.16%,25.78%,35.02%,39.65%,36.06%,46.48%,40.61%,39.49%,43.22%,39.98%,35.62%,34.64%,36.88%,34.06%,28.39%,21.96%,20.22%,11.29%,13.80%,10.06%,11.68%,11.87%,39.90%,25.26%,22.41%,15.71%
