Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Free Cash Flow Per Share,0.71,1.60,1.59,1.53,0.58,1.08,1.47,1.55,2.99,-0.47,0.97,-1.04,0.28,0.92,0.39,0.27,0.56,0.53,1.36,0.09,1.18,0.29,-,-,-
Dividend Per Share,0.150,0.150,0.150,0.150,0.130,0.130,0.130,0.130,0.100,0.100,0.092,0.092,0.092,0.092,0.093,0.033,0.033,0.033,0.033,0.033,-,-,-,-,-
Dividend Growth,15.38%,15.38%,15.38%,15.38%,30.00%,30.00%,41.30%,41.30%,8.70%,8.70%,-1.08%,178.79%,178.79%,178.79%,181.82%,0%,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,35.01%,38.80%,25.31%,37.17%,37.77%,45.13%,45.89%,47.70%,44.42%,36.12%,29.62%,13.06%,0.90%,30.46%,34.22%,28.88%,32.77%,31.23%,30.24%,32.57%,35.16%,25.58%,-13.66%,13.03%,26.13%
Profit Margin,27.83%,31.51%,21.57%,30.33%,30.09%,38.52%,37.27%,38.34%,35.96%,28.84%,23.79%,11.28%,2.07%,24.42%,27.42%,23.55%,26.90%,25.71%,24.91%,24.97%,25.49%,10.45%,-9.25%,7.39%,15.59%
Free Cash Flow Margin,24.95%,52.38%,50.21%,51.91%,20.21%,34.37%,47.81%,50.19%,99.08%,-18.36%,41.51%,-55.81%,18.00%,41.12%,17.32%,12.09%,25.24%,24.45%,65.28%,4.12%,56.27%,14.80%,47.86%,6.33%,100.46%
Effective Tax Rate,20.51%,18.79%,14.79%,18.40%,20.33%,14.65%,18.79%,19.63%,19.06%,20.16%,19.67%,13.69%,-130.98%,19.84%,19.85%,18.47%,17.91%,17.14%,17.25%,17.85%,17.19%,47.15%,-,16.82%,26.25%
EBITDA,35.1,40.8,22.73,28.19,28.03,34.89,34.92,36.23,33.22,23.69,18,7.49,2.06,17.72,19.93,16.76,18.84,17.46,16.5,16.82,17.53,12.73,-3.82,6.08,11.34
EBITDA Margin,40.19%,43.61%,30.19%,40.12%,40.78%,47.45%,48.25%,50.09%,46.81%,38.91%,32.70%,17.03%,5.66%,33.73%,37.40%,32.14%,35.80%,34.28%,33.52%,35.43%,38.08%,29.82%,-10.73%,17.23%,30.15%
Depreciation & Amortization,4.53,4.5,3.67,2.07,2.07,1.71,1.7,1.72,1.7,1.7,1.7,1.74,1.74,1.72,1.7,1.7,1.6,1.55,1.62,1.36,1.34,1.81,1.04,1.48,1.52
EBIT,30.57,36.3,19.06,26.12,25.96,33.18,33.22,34.51,31.52,21.98,16.3,5.74,0.33,16,18.24,15.07,17.24,15.9,14.89,15.46,16.19,10.92,-4.86,4.6,9.83
EBIT Margin,35.01%,38.80%,25.31%,37.17%,37.77%,45.13%,45.89%,47.70%,44.42%,36.12%,29.62%,13.06%,0.90%,30.46%,34.22%,28.88%,32.77%,31.23%,30.24%,32.57%,35.16%,25.58%,-13.66%,13.03%,26.13%
