Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Gross Margin,43.69%,51.89%,41.63%,6.68%,36.31%,46.96%,41.38%,41.01%,44.11%,61.50%,38.11%,37.03%,23.91%,63.85%,33.78%,38.82%,35.87%,46.80%,33.57%,35.83%,39.23%,42.46%,32.39%,39.82%,44.26%,51.52%,46.11%,43.89%,41.05%,-
Operating Margin,10.34%,18.81%,4.82%,-35.13%,-0.93%,12.83%,4.05%,5.31%,10.93%,32.79%,3.93%,7.08%,-24.02%,27.60%,0.04%,3.79%,2.54%,5.93%,-1.96%,-2.14%,6.76%,7.00%,-5.57%,-2.69%,11.54%,15.56%,7.66%,6.48%,7.55%,-
Profit Margin,8.05%,14.60%,3.54%,-27.90%,-1.00%,11.23%,2.82%,3.83%,8.32%,25.01%,2.82%,5.35%,-19.15%,23.10%,-0.10%,3.04%,1.93%,4.92%,-1.61%,-1.72%,5.14%,3.40%,-2.92%,-2.06%,7.17%,10.54%,6.09%,3.82%,4.34%,-
Free Cash Flow Margin,11.12%,10.98%,13.80%,13.94%,20.17%,13.65%,0.56%,10.58%,2.89%,10.88%,-8.67%,3.77%,0.57%,30.91%,-16.95%,-8.52%,7.06%,18.89%,12.56%,23.57%,-12.31%,0.02%,16.33%,-8.96%,-6.12%,2.91%,30.27%,51.03%,-52.03%,-
Effective Tax Rate,20.44%,21.45%,22.34%,-,-,10.11%,22.39%,21.97%,21.06%,22.97%,19.83%,20.10%,-,15.66%,-,14.83%,16.96%,13.36%,-,-,19.64%,48.48%,-,-,35.38%,28.89%,15.85%,36.61%,39.39%,-
EBITDA,2.2,4.1,1.07,-5.02,0.01,2.5,0.77,0.94,1.69,5.84,0.73,1.21,-2.31,4.45,0.22,0.75,0.58,0.98,-0.04,-0.08,1.02,1.1,-0.46,-0.09,1.58,2.03,1.09,0.92,1,-
EBITDA Margin,11.23%,19.46%,6.02%,-33.91%,0.07%,14.09%,5.15%,6.40%,12.07%,33.82%,5.11%,8.25%,-22.40%,28.77%,1.50%,5.18%,3.86%,7.59%,-0.35%,-0.67%,7.76%,8.49%,-3.89%,-0.83%,13.37%,17.46%,9.51%,8.35%,9.22%,-
Depreciation & Amortization,0.17,0.14,0.21,0.18,0.16,0.22,0.16,0.16,0.16,0.18,0.17,0.17,0.17,0.18,0.21,0.2,0.2,0.21,0.21,0.18,0.13,0.19,0.2,0.21,0.22,0.22,0.21,0.21,0.18,-
EBIT,2.03,3.96,0.86,-5.2,-0.15,2.28,0.61,0.78,1.53,5.66,0.56,1.04,-2.48,4.27,0.01,0.55,0.38,0.76,-0.25,-0.26,0.89,0.91,-0.66,-0.31,1.37,1.81,0.87,0.71,0.82,-
EBIT Margin,10.34%,18.81%,4.82%,-35.13%,-0.93%,12.83%,4.05%,5.31%,10.93%,32.79%,3.93%,7.08%,-24.02%,27.60%,0.04%,3.79%,2.54%,5.93%,-1.96%,-2.14%,6.76%,7.00%,-5.57%,-2.69%,11.54%,15.56%,7.66%,6.48%,7.55%,-
