Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
Net Income,7.3,9.58,13.76,9.99,12.27,12.59,12.26,14.28,19.39,17.6,11.89,10.58,4.72,4.31,7.11,4.78,2.07,0.11,5.93,3.1,2.25,1.59,2.84,3.21,2.74,2.94,3.55,-0.68,0.12,1.54,2.24,1.06,0.92
Net Income Growth,-40.52%,-23.93%,12.23%,-30.04%,-36.74%,-28.47%,3.08%,35.00%,310.50%,308.64%,67.20%,121.19%,128.54%,3780.18%,19.99%,54.08%,-8.21%,-93.03%,108.88%,-3.42%,-17.66%,-45.74%,-20.10%,-,2105.65%,90.28%,58.29%,-,-86.54%,-,-,-,-
Shares Outstanding (Basic),45,45,46,47,48,49,50,52,53,54,54,54,54,52,56,57,57,57,57,57,57,57,56,56,56,58,56,58,58,58,-,-,-
Shares Outstanding (Diluted),45,46,46,48,49,50,51,53,53,54,54,54,54,52,56,57,57,57,57,57,57,57,56,56,56,-,56,-,-,-,-,-,-
Shares Change,-7.00%,-7.95%,-8.37%,-9.71%,-8.13%,-7.71%,-6.98%,-3.31%,-2.56%,3.08%,-2.11%,-3.98%,-4.01%,-7.63%,-1.86%,0.04%,-0.00%,-0.11%,0.89%,1.82%,1.84%,-1.57%,1.16%,-3.45%,-3.50%,-,-,-,-,-,-,-,-
EPS (Basic),0.16,0.21,0.30,0.21,0.26,0.26,0.25,0.28,0.37,0.32,0.22,0.19,0.09,0.08,0.13,0.08,0.04,-,0.10,0.06,0.04,0.03,0.05,0.06,0.05,-,0.06,-,-,-,-,-,-
EPS (Diluted),0.16,0.21,0.30,0.21,0.25,0.26,0.24,0.27,0.37,0.32,0.22,0.19,0.09,0.08,0.13,0.08,0.04,-,0.10,0.06,0.04,0.03,0.05,0.06,0.05,-,0.06,-,-,-,-,-,-
EPS Growth,-36.00%,-19.23%,25.00%,-22.22%,-32.43%,-18.75%,9.09%,42.11%,311.11%,300.00%,69.23%,137.50%,125.00%,-,30.00%,42.86%,2.56%,-,100.00%,0%,-22.00%,-,-18.03%,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.20,0.32,0.69,0.13,0.30,1.14,0.89,2.11,0.17,-0.08,-0.08,-0.45,0.00,0.20,0.03,-1.25,0.33,0.41,0.66,-0.58,0.50,0.70,0.11,-0.63,0.54,0.60,-0.08,-0.51,-0.12,0.90,-,-,-
Dividend Per Share,-,0.070,0.070,0.070,0.050,0.050,0.050,0.050,-,0.060,0.030,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,-,40.00%,40.00%,40.00%,-,-16.67%,66.67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,23.56%,26.26%,34.84%,28.30%,33.00%,30.04%,32.35%,34.04%,38.65%,33.59%,26.47%,24.55%,15.46%,14.63%,18.40%,13.77%,6.92%,0.94%,19.77%,12.43%,10.00%,9.54%,13.76%,16.12%,14.73%,14.60%,15.55%,-3.46%,0.75%,9.99%,13.68%,8.46%,9.42%
Profit Margin,17.70%,20.38%,26.00%,20.49%,23.59%,23.06%,21.72%,24.40%,27.79%,28.31%,19.14%,18.23%,11.36%,9.71%,16.03%,11.75%,5.90%,0.30%,17.37%,9.53%,7.34%,4.85%,8.61%,10.03%,9.56%,8.54%,10.13%,-2.29%,0.50%,5.75%,8.16%,6.64%,5.75%
Free Cash Flow Margin,22.26%,31.25%,59.51%,12.23%,27.89%,102.24%,78.07%,186.65%,12.53%,-6.99%,-6.74%,-41.88%,0.35%,23.51%,3.11%,-174.64%,53.36%,62.45%,109.63%,-101.86%,92.31%,121.73%,18.86%,-109.97%,103.94%,100.15%,-12.31%,-99.54%,-28.16%,194.15%,-10.52%,-97.88%,-35.80%
Effective Tax Rate,24.87%,22.37%,25.37%,27.62%,28.51%,23.22%,28.59%,28.34%,28.09%,15.72%,27.72%,25.75%,26.52%,33.61%,12.89%,14.63%,14.69%,68.01%,12.13%,23.34%,26.55%,49.15%,37.45%,37.80%,35.13%,41.51%,34.85%,-,33.33%,35.79%,34.17%,21.48%,20.94%
EBITDA,10.88,13.53,19.65,15,18.37,17.64,18.54,21.27,28.62,22.22,17.91,15.67,7.88,8.03,9.88,7.36,4.15,2.09,7.48,4.78,3.81,3.93,5.29,5.9,4.91,5.68,6.12,-0.8,0.87,0.74,6.52,2.01,1.84
EBITDA Margin,26.38%,28.79%,37.13%,30.78%,35.33%,32.31%,32.85%,36.35%,41.01%,35.74%,28.82%,27.01%,18.95%,18.11%,22.26%,18.09%,11.84%,5.64%,21.92%,14.68%,12.41%,11.96%,16.05%,18.42%,17.17%,16.52%,17.45%,-2.69%,3.53%,2.75%,23.68%,12.59%,11.50%
Depreciation & Amortization,1.16,1.19,1.21,1.21,1.21,1.24,1.38,1.35,1.65,1.34,1.46,1.43,1.45,1.55,1.71,1.76,1.72,1.74,0.74,0.73,0.74,0.79,0.76,0.74,0.7,0.66,0.67,0.63,0.69,-1.67,3.11,0.66,0.68
EBIT,9.71,12.34,18.44,13.8,17.16,16.4,17.17,19.92,26.97,20.88,16.45,14.24,6.43,6.49,8.17,5.6,2.42,0.35,6.75,4.05,3.07,3.13,4.54,5.17,4.22,5.02,5.45,-1.43,0.19,2.4,3.41,1.35,1.17
EBIT Margin,23.56%,26.26%,34.84%,28.30%,33.00%,30.04%,30.41%,34.04%,38.65%,33.59%,26.47%,24.55%,15.46%,14.63%,18.40%,13.77%,6.92%,0.94%,19.77%,12.43%,10.00%,9.54%,13.76%,16.12%,14.73%,14.60%,15.55%,-4.81%,0.75%,8.95%,12.39%,8.46%,7.27%
