Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Net Income,12.54,-4.19,24.53,23.13,23.15,27.84,29.41,75.97,12.86,15.2,-71.13,-49.81,8.17,17.44,14.72,17.48,1.06,26.56,0.74,0.77,0.21,-0.03
Preferred Dividends,0,0,0,0,0,0,0,0,0,0,0,0.21,-7.06,174.48,0,0,0,72.38,0,0,0,0
Net Income Common,12.54,-4.19,24.53,23.13,23.15,27.84,29.41,75.97,12.86,15.2,-71.13,-50.02,15.23,-157.04,14.72,17.48,1.06,-45.82,0.74,0.77,0.21,-0.03
Net Income Growth,-45.85%,-,-16.61%,-69.56%,80.02%,83.13%,-,-,-15.57%,-,-,-,1338.91%,-,1891.56%,2172.63%,401.41%,-,-,-,-,-
Shares Outstanding (Basic),123,126,126,126,126,126,126,126,127,83,115,50,38,38,38,38,34,38,34,34,31,13
Shares Outstanding (Diluted),123,126,126,126,126,126,126,126,127,83,115,50,52,38,38,38,34,38,34,34,31,13
Shares Change,-2.21%,0.14%,-0.01%,-0.04%,-0.49%,52.23%,9.60%,154.86%,144.34%,120.32%,206.10%,31.67%,51.01%,-,9.47%,9.47%,11.11%,201.05%,-,-,-,-
EPS (Basic),0.10,-0.03,0.19,0.18,0.18,0.22,0.23,0.60,0.10,0.47,-0.62,-1.01,0.40,-1.19,-1.25,-0.19,0.04,-1.23,0.03,0.03,0.01,-
EPS (Diluted),0.10,-0.03,0.19,0.18,0.18,0.22,0.23,0.60,0.10,0.47,-0.62,-1.01,0.16,-1.19,-1.25,-0.19,0.04,-1.23,0.03,0.03,0.01,-
EPS Growth,-44.44%,-,-17.39%,-70.00%,80.00%,-53.19%,-,-,-37.50%,-,-,-,300.00%,-,-,-,300.00%,-,-,-,-,-
Free Cash Flow Per Share,0.24,0.18,0.25,0.17,0.25,0.21,0.27,0.10,0.15,0.10,0.03,0.09,0.19,0.34,0.32,0.46,-0.01,0.78,-0.01,-0.01,-0.00,-
Gross Margin,85.84%,81.75%,89.74%,90.23%,90.44%,90.82%,89.17%,93.23%,92.36%,92.51%,91.61%,91.72%,85.69%,91.22%,91.30%,91.79%,-,91.18%,-,-,-,-
Operating Margin,44.57%,17.80%,54.86%,63.04%,64.40%,68.23%,69.18%,73.42%,66.61%,61.27%,65.70%,17.90%,51.23%,67.28%,67.05%,69.82%,-,55.75%,-,-,-,-
Profit Margin,32.68%,-15.62%,48.42%,44.44%,46.25%,53.92%,49.95%,124.28%,29.23%,38.36%,-239.01%,-226.67%,87.40%,-602.25%,66.58%,69.43%,-,-87.79%,-,-,-,-
Free Cash Flow Margin,76.05%,83.69%,61.46%,41.27%,63.41%,51.39%,58.58%,21.78%,42.79%,20.60%,12.42%,20.80%,40.11%,48.29%,54.68%,69.16%,-,55.94%,-,-,-,-
Effective Tax Rate,25.25%,202.07%,6.61%,27.06%,26.41%,19.97%,26.13%,23.45%,25.79%,7.25%,-,-,0.13%,0.16%,0.28%,0.12%,22.59%,-1.92%,29.75%,14.59%,30.63%,-
EBITDA,19.56,7.21,28.09,33.29,32.63,36.21,40.7,100.64,21.14,20.67,-63.1,-44.26,9.07,17.58,14.85,17.64,1.37,26.48,1.05,0.9,0.3,-0.03
EBITDA Margin,50.98%,26.87%,55.44%,63.96%,65.17%,70.14%,69.11%,164.64%,48.04%,52.15%,-212.01%,-200.57%,52.03%,67.41%,67.20%,70.04%,-,50.74%,-,-,-,-
Depreciation & Amortization,0.4,0.81,0.21,0.45,0.36,0.94,-0.08,0.28,0.52,0.66,0.44,0.55,0.12,0.03,0.03,0.05,0,0.08,0,0,0,0
EBIT,19.16,6.4,27.87,32.83,32.27,35.27,40.78,100.36,20.62,20.01,-63.54,-44.81,8.95,17.55,14.83,17.59,1.37,26.4,1.05,0.9,0.3,-0.03
EBIT Margin,49.95%,23.87%,55.02%,63.08%,64.45%,68.32%,69.24%,164.18%,46.86%,50.49%,-213.49%,-203.06%,51.33%,67.31%,67.08%,69.84%,-,50.58%,-,-,-,-
