Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Pretax Income,29.88,44.36,11.05,17.23,33.68,22.41,23.34,42.43,31.75,39.73,51.46,21.77,-104.45,21.35,18.2,19.22,39.31,-9.87,18.99,6.17,11.36,6.92,7.2,3.57,1.61,1.47,-0.86,0,0,0
Income Tax,0.6,0.84,0,0,0,0.13,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
Net Income,29.29,43.52,11.05,17.23,33.68,22.28,23.34,42.43,31.75,39.5,51.46,21.77,-104.45,21.35,18.2,19.22,39.31,-9.87,18.99,6.17,11.36,6.92,7.2,3.57,1.61,1.47,-0.86,0,0,0
Net Income Growth,-13.05%,95.34%,-52.66%,-59.40%,6.07%,-43.59%,-54.64%,94.90%,-,84.98%,182.75%,13.27%,-,-,-4.17%,211.69%,246.09%,-,163.69%,72.73%,604.44%,371.27%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),65,65,65,65,65,65,65,65,65,65,65,54,52,52,52,52,51,39,42,35,29,20,25,17,11,1,0,0,0,0
Shares Outstanding (Diluted),65,65,65,65,65,65,65,65,65,65,65,54,52,52,52,52,51,39,42,35,29,20,25,17,11,1,0,0,0,0
Shares Change,-,-,-,-,-,-0.07%,-,20.05%,25.00%,25.08%,25.00%,4.16%,0.33%,33.92%,23.76%,45.93%,76.71%,97.29%,67.46%,105.44%,167.76%,1527.68%,2492058.90%,1722060.70%,1087945.60%,119997.40%,-,-,-,-
EPS (Basic),0.45,0.67,0.17,0.27,0.52,0.35,0.36,0.66,0.49,0.69,0.80,0.40,-2.02,0.41,0.35,0.37,0.76,-0.34,0.46,0.17,0.39,0.29,0.29,0.21,0.15,858.91,-858.40,-,-,-
EPS (Diluted),0.45,0.67,0.17,0.27,0.52,0.35,0.36,0.66,0.49,0.69,0.80,0.40,-2.02,0.41,0.35,0.37,0.76,-0.34,0.46,0.17,0.39,0.29,0.29,0.21,0.15,858.91,-858.40,-,-,-
EPS Growth,-13.46%,91.43%,-52.78%,-59.09%,6.12%,-49.28%,-55.00%,65.00%,-,68.29%,128.57%,8.11%,-,-,-23.91%,117.65%,94.87%,-,58.62%,-19.05%,160.00%,-99.97%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.67,0.98,-1.54,-2.76,-1.58,1.07,-0.15,0.49,2.71,0.55,1.13,0.60,-0.99,0.32,-1.98,0.77,-3.83,-8.47,-5.19,-4.38,-2.60,-17.34,-2.77,-12.91,-6.17,-83.90,-,-,-,-
Dividend Per Share,0.380,0.360,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.410,0.410,0.410,0.410,0.410,0.410,0.410,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,11.76%,5.88%,0%,0%,0%,0%,0%,-17.07%,-17.07%,-17.07%,-17.07%,0%,0%,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,73.21%,68.79%,81.17%,76.09%,74.61%,73.76%,73.14%,73.87%,69.04%,73.56%,81.02%,81.95%,83.05%,75.22%,76.32%,75.35%,77.80%,75.91%,72.77%,82.90%,69.92%,55.00%,85.98%,84.58%,83.95%,29.77%,-,-,-,-
Operating Margin,69.98%,63.90%,77.19%,72.08%,70.30%,70.35%,68.68%,75.16%,68.23%,74.12%,76.64%,77.99%,78.41%,74.92%,77.06%,74.66%,79.69%,81.92%,76.60%,87.78%,74.83%,78.18%,75.89%,68.49%,57.48%,-12.09%,-,-,-,-
Profit Margin,39.18%,74.58%,17.59%,32.90%,73.20%,43.24%,47.11%,91.27%,63.72%,81.81%,109.91%,45.48%,-202.83%,38.99%,34.54%,37.99%,98.55%,-29.25%,71.23%,28.78%,65.06%,69.04%,92.13%,78.83%,71.91%,168.95%,-,-,-,-
Free Cash Flow Margin,-57.48%,108.05%,-158.71%,-340.76%,-221.15%,134.10%,-19.71%,67.57%,350.80%,74.18%,155.51%,67.25%,-99.80%,30.28%,-193.80%,78.74%,-494.07%,-968.45%,-811.72%,-723.99%,-434.63%,-3384.05%,-882.37%,-4907.31%,-2995.92%,-11601.61%,-,-,-,-
Effective Tax Rate,1.99%,1.89%,-,-,-,0.60%,-,-,-,0.58%,-,-,-,-,-,-,-,-,-,-,0.00%,0.07%,-,-,-,-,-,-,-,-
EBITDA,49.43,60.62,25.43,28.26,44.32,36.64,35.61,55.45,43.59,53.42,65.88,39.08,-86.57,41.09,37.63,35.84,49.86,-2,25.52,11.49,15.65,9.91,7.43,3.77,1.81,1.49,-,-,-,-
EBITDA Margin,66.14%,103.89%,40.49%,53.96%,96.33%,71.11%,71.87%,119.27%,87.47%,110.66%,140.72%,81.64%,-168.11%,75.03%,71.41%,70.83%,124.99%,-5.92%,95.69%,53.64%,89.63%,98.97%,95.00%,83.30%,80.63%,172.06%,-,-,-,-
EBIT,49.43,60.62,25.43,28.26,44.32,36.64,35.61,55.45,43.59,53.42,65.88,39.08,-86.57,41.09,37.63,35.84,49.86,-2,25.52,11.49,15.65,9.91,7.43,3.77,1.81,1.49,-0.86,0,0,0
EBIT Margin,66.14%,103.89%,40.49%,53.96%,96.33%,71.11%,71.87%,119.27%,87.47%,110.66%,140.72%,81.64%,-168.11%,75.03%,71.41%,70.83%,124.99%,-5.92%,95.69%,53.64%,89.63%,98.97%,95.00%,83.30%,80.63%,172.06%,-,-,-,-
