Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Net Income Growth,0.56%,-18.49%,-36.92%,-7.64%,19.63%,84.48%,219.60%,192.37%,139.64%,39.18%,-49.17%,-48.99%,-45.58%,-38.24%,3.70%,38.62%,4.79%,187.82%,36.14%,-2.02%,42.43%,-,-,-,-,-
Shares Outstanding (Basic),14,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,15,13,13,13,13,13,13,13
Shares Outstanding (Diluted),15,15,15,15,15,15,15,15,16,15,15,15,16,16,16,16,16,17,15,14,14,14,14,14,14,-
Shares Change,-3.74%,-1.59%,0.38%,-1.22%,-2.52%,-1.79%,-2.25%,-0.41%,-1.06%,-3.73%,-4.49%,-5.86%,-3.51%,-3.72%,7.87%,19.82%,19.76%,22.41%,10.19%,0.64%,0.62%,8.27%,-,-,-,-
EPS (Basic),0.71,0.59,0.47,0.61,0.69,0.72,0.74,0.65,0.55,0.38,0.22,0.22,0.23,0.27,0.43,0.41,0.41,0.42,0.44,0.35,0.47,0.17,0.36,0.36,0.33,-
EPS (Diluted),0.70,0.58,0.46,0.60,0.67,0.70,0.73,0.64,0.55,0.37,0.22,0.22,0.23,0.26,0.42,0.40,0.40,0.40,0.44,0.35,0.46,0.17,0.35,0.36,0.33,-
EPS Growth,4.48%,-17.14%,-36.99%,-6.25%,21.82%,89.19%,231.82%,190.91%,139.13%,42.31%,-47.62%,-45.00%,-42.50%,-35.00%,-4.55%,14.29%,-13.04%,135.29%,25.71%,-2.78%,39.39%,-,-,-,-,-
Free Cash Flow Per Share,1.25,0.94,0.03,0.59,1.94,-0.10,-0.51,-0.12,0.56,2.35,-1.57,0.72,-0.50,0.27,0.53,0.43,0.62,0.86,1.15,-0.79,0.69,0.09,1.02,0.59,-0.21,-
Dividend Per Share,-,0.150,0.150,0.150,0.150,0.120,0.120,0.100,0.100,0.100,0.100,0.100,0.100,0.080,0.060,0.060,0.050,0.030,0.030,-,-,-,-,-,-,-
Dividend Growth,-,25.00%,25.00%,50.00%,50.00%,20.00%,20.00%,0%,0%,25.00%,66.67%,66.67%,100.00%,166.67%,100.00%,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,51.25%,48.58%,41.59%,51.23%,54.40%,57.69%,58.20%,55.59%,55.69%,41.63%,33.20%,32.79%,32.68%,36.77%,47.26%,46.03%,47.63%,48.82%,49.57%,38.30%,48.11%,41.99%,48.09%,48.98%,47.26%,-
Profit Margin,36.50%,34.12%,29.66%,36.21%,38.69%,40.45%,41.03%,39.25%,39.22%,29.24%,23.31%,23.34%,22.76%,25.61%,33.21%,32.43%,33.41%,34.00%,34.66%,26.86%,33.75%,14.11%,27.85%,28.19%,27.22%,-
Free Cash Flow Margin,64.14%,53.97%,1.98%,34.81%,108.96%,-5.38%,-28.21%,-6.93%,39.83%,182.52%,-162.79%,76.69%,-49.58%,25.57%,40.69%,34.17%,50.85%,69.90%,90.05%,-59.90%,50.22%,7.04%,79.67%,45.62%,-17.66%,-
Effective Tax Rate,28.78%,29.77%,28.69%,29.32%,28.88%,29.89%,29.50%,29.39%,29.57%,29.76%,29.80%,28.82%,30.36%,30.34%,29.73%,29.54%,29.86%,30.35%,30.09%,29.87%,29.85%,66.40%,42.10%,42.44%,42.40%,-
EBITDA,15.02,12.92,10.17,13.21,14.71,15.55,15.97,14.29,12.52,8.61,5.29,5.11,5.5,6.35,10.05,9.76,9.73,10.01,9.67,7.11,9.22,7.25,8.59,8.72,7.91,-
EBITDA Margin,53.23%,50.64%,43.38%,52.59%,55.56%,58.91%,59.44%,56.99%,57.38%,43.50%,35.72%,35.41%,35.02%,39.12%,49.16%,47.95%,49.53%,50.55%,51.24%,40.11%,49.68%,43.71%,49.75%,50.58%,48.95%,-
Depreciation & Amortization,0.56,0.53,0.42,0.34,0.31,0.32,0.33,0.35,0.37,0.37,0.37,0.38,0.37,0.38,0.39,0.39,0.37,0.34,0.31,0.32,0.29,0.29,0.29,0.28,0.27,-
EBIT,14.46,12.39,9.75,12.86,14.4,15.23,15.64,13.94,12.15,8.24,4.91,4.73,5.13,5.97,9.66,9.37,9.36,9.67,9.36,6.79,8.93,6.96,8.3,8.44,7.64,-
EBIT Margin,51.25%,48.58%,41.59%,51.23%,54.40%,57.69%,58.20%,55.59%,55.69%,41.63%,33.20%,32.79%,32.68%,36.77%,47.26%,46.03%,47.63%,48.82%,49.57%,38.30%,48.11%,41.99%,48.09%,48.98%,47.26%,-
