Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,6.77%,13.00%,13.84%,10.97%,7.09%,20.90%,25.62%,24.79%,37.08%,33.15%,34.39%,4.77%,7.99%,10.75%,14.52%,1.39%,5.38%,13.08%,9.58%,5.41%,11.23%,12.94%,9.82%,5.44%,0.05%,15.25%,25.54%,8.88%,7.46%,17.08%
Profit Margin,4.62%,10.97%,10.78%,9.02%,5.91%,15.79%,17.99%,18.03%,26.89%,24.02%,24.67%,3.61%,5.72%,8.25%,11.09%,2.26%,5.23%,9.87%,7.88%,4.89%,7.37%,9.43%,6.92%,3.83%,1.94%,10.40%,15.85%,7.18%,5.18%,11.26%
Free Cash Flow Margin,28.23%,71.80%,-79.52%,431.27%,495.61%,6.90%,-169.75%,332.71%,262.09%,-631.22%,-80.99%,20.16%,46.92%,-103.42%,-779.31%,377.90%,27.82%,-56.87%,-175.90%,144.84%,-60.99%,117.10%,-246.02%,15.88%,875.85%,30.09%,-346.60%,34.83%,-163.78%,342.76%
Effective Tax Rate,31.73%,15.67%,22.14%,17.78%,16.63%,24.48%,29.79%,27.26%,27.49%,27.56%,28.28%,24.37%,28.37%,23.27%,23.60%,-63.16%,2.80%,24.58%,17.71%,9.59%,34.43%,27.16%,29.53%,29.50%,-3800.00%,31.81%,37.92%,19.14%,30.59%,34.77%
EBITDA,0.78,1.21,1.2,1.12,0.84,1.89,2.21,2.15,3.16,3.17,2.39,0.47,0.54,0.65,0.65,0.14,0.23,0.43,0.34,0.21,0.33,0.38,0.3,0.19,0.05,0.42,0.85,0.26,0.22,0.42
EBITDA Margin,12.65%,18.74%,20.23%,16.85%,14.12%,26.64%,31.02%,29.71%,41.25%,36.90%,39.37%,11.34%,14.84%,16.20%,17.73%,4.97%,8.66%,15.83%,12.08%,7.66%,13.42%,15.06%,11.72%,7.51%,2.34%,17.30%,27.17%,10.92%,9.48%,19.36%
Depreciation & Amortization,0.36,0.37,0.38,0.39,0.42,0.41,0.39,0.36,0.32,0.32,0.3,0.27,0.25,0.22,0.12,0.1,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
EBIT,0.42,0.84,0.82,0.73,0.42,1.48,1.83,1.79,2.84,2.85,2.09,0.2,0.29,0.43,0.53,0.04,0.14,0.36,0.27,0.15,0.27,0.32,0.25,0.14,0,0.37,0.8,0.21,0.17,0.37
EBIT Margin,6.77%,13.00%,13.84%,10.97%,7.09%,20.90%,25.62%,24.79%,37.08%,33.15%,34.39%,4.77%,7.99%,10.75%,14.52%,1.39%,5.38%,13.08%,9.58%,5.41%,11.23%,12.94%,9.82%,5.44%,0.05%,15.25%,25.54%,8.88%,7.46%,17.26%
