Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Income Tax,0.05,0.29,0,0,0,0,0,0,0,-0,0,0,0,0.1,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0
Net Income,11.98,18.49,11.72,-0.82,2.85,19.31,10.23,6.71,9.37,20.75,10.91,13.57,1.75,8.48,4.72,8.62,5.83,4.57,3.6,2.19,1.4,0.85,-0.17,-1.24,-0.88,-0.9,0,0,0,0
Net Income Growth,320.05%,-4.21%,14.57%,-,-69.56%,-6.96%,-6.21%,-50.56%,436.35%,144.82%,131.06%,57.54%,-70.05%,85.60%,31.20%,293.58%,315.70%,437.03%,-,-,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),41,41,41,41,41,40,33,32,32,31,27,27,26,22,20,16,15,11,9,9,9,3,4,1,0,0,0,0,0,0
Shares Outstanding (Diluted),41,41,41,41,41,40,33,32,32,31,27,27,26,22,20,16,15,11,9,9,9,3,4,1,0,0,0,0,0,0
Shares Change,-2.09%,2.20%,22.96%,27.22%,31.33%,29.34%,21.59%,21.58%,21.70%,37.83%,36.42%,69.42%,75.49%,102.66%,125.49%,80.94%,70.17%,292.65%,149.56%,607.40%,2487.56%,25844.63%,213000.90%,73611.64%,19995.98%,546.31%,-,-,-,-
EPS (Basic),0.30,0.46,0.29,-0.02,0.07,0.52,0.31,0.21,0.30,0.71,0.40,0.51,0.07,0.39,0.24,0.55,0.40,0.44,0.41,0.25,0.16,0.82,-0.05,-1.01,-2.63,-83.82,-,-,-,-
EPS (Diluted),0.30,0.46,0.29,-0.02,0.07,0.52,0.31,0.21,0.30,0.71,0.40,0.51,0.07,0.39,0.24,0.55,0.40,0.44,0.41,0.25,0.16,0.82,-0.05,-1.01,-2.63,-83.82,-,-,-,-
EPS Growth,328.57%,-11.54%,-6.45%,-,-76.67%,-26.76%,-22.50%,-58.82%,328.57%,82.05%,66.67%,-7.27%,-82.50%,-11.36%,-41.46%,120.00%,150.00%,-46.34%,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.46,-4.83,-2.23,-1.30,-0.47,-1.67,-0.53,0.20,0.50,-3.47,-0.96,-1.20,2.26,-1.83,-2.35,-2.82,-0.10,-9.52,-5.37,-1.90,-0.49,-14.88,-11.38,-29.39,0.52,-304.34,-,-,-,-
Dividend Per Share,-,0.360,0.330,0.300,0.270,0.250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,-,44.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,78.32%,78.30%,75.52%,74.23%,79.70%,71.13%,73.20%,72.73%,81.46%,74.96%,76.27%,77.42%,74.01%,76.12%,75.43%,75.98%,74.61%,71.38%,69.50%,72.71%,64.31%,41.65%,13.93%,-656.81%,-15565.75%,-,-,-,-,-
Operating Margin,74.32%,73.67%,69.08%,66.84%,72.99%,64.69%,66.05%,66.80%,76.11%,72.87%,69.85%,66.92%,66.19%,71.88%,66.90%,69.91%,67.73%,63.51%,59.71%,61.07%,50.48%,23.57%,-14.35%,-969.03%,-26838.84%,-,-,-,-,-
Profit Margin,30.49%,50.24%,42.89%,-3.25%,14.83%,109.82%,54.98%,35.80%,57.06%,123.59%,76.74%,115.03%,11.79%,57.43%,39.89%,52.55%,48.01%,61.21%,65.24%,49.65%,41.63%,44.56%,-14.41%,-967.61%,-26833.85%,-,-,-,-,-
Free Cash Flow Margin,-47.13%,-531.79%,-333.34%,-213.47%,-100.41%,-376.58%,-93.50%,34.93%,96.25%,-633.50%,-184.08%,-271.81%,394.77%,-276.50%,-397.10%,-270.23%,-12.09%,-1400.91%,-863.49%,-375.19%,-125.94%,-2179.99%,-3514.20%,-28212.62%,5266.70%,-,-,-,-,-
Effective Tax Rate,0.42%,1.54%,-,-,-,0.00%,-,0.00%,-,-0.00%,-,-,0.08%,1.16%,-,-,-,3.93%,-,-,-,0.40%,-,-,-,-,-,-,-,-
EBITDA,22.95,26.47,15.31,0.79,4.43,19.56,11.04,7.47,10.1,21.22,11.32,13.6,1.91,9.1,5.13,8.71,5.99,5.03,3.79,2.23,1.42,0.85,-0.17,-1.24,-0.88,-0.9,0,0,0,0
EBITDA Margin,58.39%,71.91%,56.02%,3.15%,23.04%,111.25%,59.34%,39.87%,61.50%,126.38%,79.61%,115.22%,12.91%,61.66%,43.39%,53.12%,49.29%,67.43%,68.66%,50.66%,42.28%,44.74%,-14.41%,-967.61%,-26833.85%,-,-,-,-,-
EBIT,22.95,26.47,15.31,0.79,4.43,19.56,11.04,7.47,10.1,21.22,11.32,13.6,1.91,9.1,5.13,8.71,5.99,5.03,3.79,2.23,1.42,0.85,-0.17,-1.24,-0.88,-0.9,0,0,0,0
EBIT Margin,58.39%,71.91%,56.02%,3.15%,23.04%,111.25%,59.34%,39.87%,61.50%,126.38%,79.61%,115.22%,12.91%,61.66%,43.39%,53.12%,49.29%,67.43%,68.66%,50.66%,42.28%,44.74%,-14.41%,-967.61%,-26833.85%,-,-,-,-,-
