Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
EPS Growth,-18.66%,-2.72%,-13.70%,3.33%,-10.07%,-2.65%,2.82%,35.14%,46.08%,45.19%,52.69%,23.33%,2.00%,14.29%,4.49%,-6.25%,-4.76%,85.71%,43.55%,-,-,-,-,-
Free Cash Flow Per Share,0.14,2.04,0.88,0.88,0.20,1.28,1.56,0.66,0.68,2.46,0.18,2.69,-0.55,1.42,0.78,0.33,-0.36,1.67,0.81,0.67,-0.80,1.67,-,1.39
Dividend Per Share,0.250,0.250,0.250,0.220,0.220,0.220,0.500,0.210,0.210,0.210,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,-,-,-,-,-,-
Dividend Growth,13.64%,13.64%,-50.00%,4.76%,4.76%,4.76%,150.00%,5.00%,5.00%,5.00%,0%,0%,0%,0%,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,42.22%,49.28%,42.50%,53.67%,51.64%,52.29%,54.35%,55.31%,55.14%,49.56%,54.28%,48.39%,40.92%,46.41%,40.92%,43.47%,47.36%,42.77%,43.59%,44.03%,48.13%,37.25%,44.75%,69.51%
Profit Margin,31.50%,37.76%,32.06%,40.85%,38.68%,39.66%,41.07%,41.98%,41.80%,46.24%,41.04%,32.65%,33.69%,35.75%,32.55%,34.01%,36.36%,35.07%,34.40%,35.77%,36.71%,19.79%,30.35%,48.15%
Free Cash Flow Margin,4.16%,54.28%,19.91%,23.29%,5.63%,34.81%,43.76%,18.53%,19.11%,76.38%,5.37%,75.82%,-17.95%,48.34%,27.11%,12.15%,-13.21%,64.14%,31.13%,24.98%,-27.83%,67.28%,-,24.92%
Effective Tax Rate,24.98%,23.38%,24.57%,23.89%,25.09%,24.14%,24.44%,24.11%,24.19%,26.06%,24.39%,24.39%,17.66%,22.98%,20.45%,21.76%,23.22%,18.35%,21.28%,18.27%,23.75%,46.97%,32.18%,30.12%
EBITDA,16.15,18.19,15.13,16.01,14.28,15.46,15.59,16.06,16.05,16.54,15.26,11.67,9.58,10.49,9.04,8.09,9.02,7.88,7.99,8.29,9.76,6.71,-,26.06
EBITDA Margin,47.65%,53.47%,46.03%,56.10%,54.26%,54.93%,57.06%,58.36%,58.26%,66.31%,57.19%,45.93%,44.43%,50.26%,44.17%,45.94%,49.78%,45.59%,46.35%,46.35%,50.72%,40.48%,-,70.18%
Depreciation & Amortization,1.92,1.43,1.16,0.69,0.69,0.75,0.74,0.84,0.86,0.94,0.78,0.7,0.76,0.8,0.67,0.44,0.44,0.46,0.46,0.46,0.5,0.53,-,0.47
EBIT,14.24,16.76,13.96,15.31,13.59,14.72,14.85,15.22,15.19,15.59,14.49,10.97,8.82,9.68,8.37,7.66,8.58,7.42,7.54,7.83,9.26,6.18,5.65,25.59
EBIT Margin,42.00%,49.28%,42.50%,53.67%,51.64%,52.28%,54.35%,55.31%,55.14%,62.53%,54.28%,43.18%,40.92%,46.41%,40.92%,43.47%,47.36%,42.94%,43.70%,43.76%,48.14%,37.31%,44.75%,68.90%
