Metrics,2022-12-31,2022-09-30,2022-06-30,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30
Pretax Income,644.52,340.34,-,325.4,396.85,255.34,225.59,-612.95,96.19,-279.75,23.16,484.9,247.96,216.32,445.67,"1,018.4",-100.49,236.68,619.43,"-1,013.67",388.71,399.45,418.65,410.49,212.34,269.91,209.72,-,111.04
Income Tax,159.29,70.02,-,-5.37,75.92,55.26,44.37,-53.34,16.35,-47.56,3.94,80.91,19.92,61.86,76.53,32.49,35.31,42.92,83.58,97.37,85.73,130.36,67.75,30.71,-131.95,9.29,78,-,31
Net Income,485.24,270.32,-,330.77,320.93,200.08,181.21,-559.61,79.84,-232.2,19.22,403.99,228.03,154.46,369.13,985.92,-135.79,193.77,535.85,"-1,111.05",302.97,269.1,350.9,379.78,344.28,260.62,131.72,-,80.03
Net Income Growth,51.20%,35.11%,-,-,301.98%,-,842.89%,-,-64.99%,-,-94.79%,-59.02%,-,-20.29%,-31.11%,-,-,-27.99%,52.71%,-,-12.00%,3.25%,166.41%,-,330.18%,-,-,-,-
Shares Outstanding (Basic),179,179,170,170,170,168,168,168,182,186,186,186,186,185,185,185,185,183,183,182,121,120,120,120,119,117,117,101,100
Shares Outstanding (Diluted),180,180,-,172,172,169,169,168,183,186,186,187,186,187,187,187,185,186,186,182,124,121,121,121,121,117,117,-,100
Shares Change,4.72%,6.31%,0.51%,2.72%,-6.11%,-8.86%,-9.14%,-10.15%,-1.94%,-0.56%,-0.22%,0.01%,0.72%,0.55%,0.44%,2.40%,49.81%,53.63%,53.72%,50.94%,2.19%,3.28%,3.28%,20.09%,20.86%,-,-,-,-
EPS (Basic),5.48,3.01,-,3.90,3.77,2.38,2.16,-6.24,0.88,-2.50,0.21,4.36,2.46,1.67,3.99,10.69,-1.47,2.11,5.84,-17.42,5.00,4.50,5.87,6.38,5.76,4.46,2.25,-,1.60
EPS (Diluted),5.47,3.01,-,3.85,3.74,2.37,2.14,-6.24,0.87,-2.50,0.21,4.33,2.45,1.66,3.96,10.58,-1.47,2.09,5.77,-17.22,4.91,4.45,5.81,6.32,5.70,4.46,2.25,-,1.60
EPS Growth,46.14%,27.10%,-,-,328.03%,-,940.29%,-,-64.28%,-,-94.79%,-59.10%,-,-20.74%,-31.41%,-,-,-53.12%,-0.67%,-,-13.88%,-0.02%,157.90%,-,255.84%,-,-,-,-
Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.280,-,-,2.960,-,-,-,-,-,-,-,-
Gross Margin,80.55%,73.40%,-,78.77%,84.83%,83.76%,84.13%,48.58%,76.57%,78.11%,89.95%,92.64%,92.41%,92.65%,91.31%,90.15%,88.02%,89.71%,92.97%,87.56%,92.14%,92.13%,94.25%,94.71%,94.58%,94.20%,93.39%,-,93.84%
Operating Margin,58.09%,39.92%,-,32.21%,33.69%,25.28%,23.56%,-49.17%,11.08%,-34.48%,1.16%,21.20%,11.03%,7.61%,11.69%,11.72%,-7.53%,2.81%,15.59%,-15.66%,24.97%,31.56%,38.46%,37.04%,24.78%,35.80%,36.79%,-,36.20%
Profit Margin,44.60%,32.16%,-,32.40%,26.05%,17.78%,16.47%,-48.21%,7.81%,-30.77%,1.88%,17.09%,11.09%,6.97%,18.64%,42.78%,-6.21%,6.49%,14.23%,-14.21%,20.01%,22.75%,34.35%,35.46%,39.27%,35.52%,23.67%,-,26.14%
Effective Tax Rate,24.71%,20.57%,-,-1.65%,19.13%,21.64%,19.67%,-,17.00%,-,17.00%,16.69%,8.04%,28.60%,17.17%,3.19%,-,18.13%,13.49%,-,22.06%,32.63%,16.18%,7.48%,-62.14%,3.44%,37.19%,-,27.92%
EBIT,641.08,340.72,-,343.46,418.41,278.12,236.57,-621.51,85.19,-296.7,-1.96,411.53,247.96,216.32,445.67,"1,018.4",-100.49,236.68,619.43,"-1,013.67",388.71,399.45,418.65,410.49,212.34,269.91,209.72,-,111.04
EBIT Margin,58.92%,40.53%,-,33.64%,33.96%,24.72%,21.51%,-53.54%,8.33%,-39.31%,-0.19%,17.41%,12.06%,9.76%,22.50%,44.19%,-4.59%,7.92%,16.45%,-12.97%,25.68%,33.76%,40.98%,38.32%,24.22%,36.78%,37.69%,-,36.26%
