Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
Pretax Income,19.33,16.52,-21.41,-37.92,-21.03,12.04,1.99,38.74,24.15,69.35,9.38,46.48,-97.02,15.59,7.59,-1.21,29.34,-47.59,-8.24,15.21,-28.96,22.05,1.59,4.29,-21.5,4.75,5.77,1.32,2.25,5.66,-11.93,0.99,3.49,3.61,-6.34
Income Tax,1.58,2.86,-4.91,-8.04,-4.85,2.61,0.48,9.02,5.59,18.23,3.56,11.24,-23.66,4.56,1.64,-0.28,6.19,-7.27,-0.86,3.39,-6.73,6.25,0.07,-0.31,-8.42,1.1,1.81,0.31,0.66,1.47,-4.39,0.13,1.1,1.26,-2.56
Net Income,17.75,13.66,-16.5,-29.89,-16.19,9.43,1.5,29.72,18.56,51.12,5.82,35.24,-73.36,11.02,5.95,-0.93,23.15,-40.32,-7.38,11.82,-22.23,15.8,1.52,4.6,-13.08,3.65,3.96,1.02,1.59,4.19,-7.54,0.86,2.39,2.35,-3.78
Net Income Growth,-,44.91%,-,-,-,-81.55%,-74.15%,-15.67%,-,363.79%,-2.29%,-,-,-,-,-,-,-,-,157.27%,-,333.23%,-61.63%,351.03%,-,-12.94%,-,19.18%,-33.21%,78.56%,-,-,-,-,-
Shares Outstanding (Basic),22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,24,24,24,24,24,25,25,25,25,24,25,25,25,25,-
Shares Outstanding (Diluted),22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,24,24,24,24,24,25,25,25,25,25,25,25,25,-,-
Shares Change,-0.38%,-0.27%,-0.34%,-0.37%,-0.76%,-1.10%,-1.21%,-1.16%,-0.98%,-0.81%,-0.71%,-0.77%,-0.63%,-1.03%,-2.02%,-2.29%,-3.93%,-6.21%,-3.62%,-4.00%,-1.35%,-3.57%,-5.46%,-4.56%,-5.35%,1.82%,-0.09%,-0.67%,-0.93%,-2.63%,-,-,-,-,-
EPS (Basic),0.81,0.62,-0.75,-1.36,-0.73,0.43,0.07,1.34,0.83,2.28,0.26,1.57,-3.27,0.49,0.26,-0.04,1.02,-1.75,-0.32,0.51,-0.95,0.66,0.06,0.19,-0.55,0.15,0.16,0.04,0.06,0.17,-0.30,0.03,0.09,-,-
EPS (Diluted),0.81,0.62,-0.75,-1.36,-0.73,0.43,0.07,1.34,0.83,2.28,0.26,1.57,-3.27,0.49,0.26,-0.04,1.02,-1.75,-0.32,0.51,-0.95,0.66,0.06,0.19,-0.55,0.15,0.16,0.04,0.06,0.17,-0.30,0.03,0.09,-,-
EPS Growth,-,44.19%,-,-,-,-81.14%,-73.08%,-14.65%,-,365.31%,0%,-,-,-,-,-,-,-,-,168.42%,-,340.00%,-62.50%,375.00%,-,-11.76%,-,33.33%,-33.33%,-,-,-,-,-,-
Free Cash Flow Per Share,8.36,-1.82,-2.72,0.03,1.29,-11.33,11.61,-0.54,10.96,-0.33,-0.86,-12.54,0.73,0.00,-0.28,-1.31,-0.56,3.19,2.44,-0.96,-1.25,2.19,-5.10,0.70,-0.60,-2.10,2.67,-0.31,0.00,-4.61,0.58,0.49,1.52,-0.95,-
Dividend Per Share,-,0.100,-,0.100,-,0.100,-,0.100,-,0.100,-,0.100,-,0.100,-,0.100,-,0.100,-,0.100,-,0.100,-,0.100,0.100,-,-,0.100,-,-,-,-,-,-,-
Gross Margin,-3.16%,100.00%,100.00%,100.00%,100.00%,91.31%,89.30%,-73.56%,-14.54%,74.18%,100.00%,100.00%,100.00%,59.18%,100.00%,100.00%,29.92%,100.00%,100.00%,100.00%,100.00%,93.85%,100.00%,100.00%,100.00%,96.77%,88.24%,96.96%,93.93%,93.67%,129.30%,97.63%,91.53%,97.03%,121.21%
Operating Margin,-208.24%,-34.70%,-122.13%,-86.84%,-128.04%,-15.22%,-8.00%,-418.28%,-273.76%,-38.44%,-182.62%,-177.12%,-21.61%,-15.09%,-94.15%,-65.36%,-169.30%,-26.53%,-74.99%,-71.85%,-90.37%,-30.12%,-116.46%,-126.65%,-86.87%,0.81%,-82.50%,-67.53%,-99.96%,-65.40%,-23.05%,-75.56%,-84.96%,-29.33%,-15.28%
Profit Margin,720.24%,181.27%,-643.95%,-1173.88%,-626.88%,67.36%,71.16%,1193.89%,798.06%,425.67%,298.97%,1704.74%,-2476.54%,78.76%,216.09%,-19.33%,497.57%,-468.02%,-158.14%,246.54%,-472.66%,136.38%,28.94%,90.21%,-262.24%,22.38%,72.63%,20.53%,35.27%,46.57%,-160.77%,18.63%,52.22%,30.55%,-77.28%
Free Cash Flow Margin,7447.95%,-530.57%,-2335.28%,28.04%,1106.04%,-1785.09%,12140.63%,-478.38%,10476.04%,-60.62%,-984.94%,-13574.31%,555.40%,0.64%,-226.62%,-614.50%,-273.11%,840.06%,1204.14%,-462.47%,-624.88%,447.99%,-2318.64%,325.42%,-289.11%,-320.66%,1219.56%,-155.38%,1.66%,-1249.95%,310.94%,267.36%,837.05%,-314.26%,-609.38%
Effective Tax Rate,8.17%,17.28%,-,-,-,21.69%,24.36%,23.29%,23.15%,26.29%,38.00%,24.19%,-,29.28%,21.58%,-,21.10%,-,-,22.27%,-,28.33%,4.22%,-7.23%,-,23.22%,31.34%,23.04%,29.33%,25.96%,-,13.46%,31.58%,35.00%,-
EBITDA,19.52,16.68,-21.26,-37.81,-20.91,12.19,2.17,38.99,24.25,69.4,9.43,45.77,-96.17,15.66,7.66,-1.17,29.39,-47.46,-8.16,15.26,-28.93,22.07,1.66,4.36,-21.43,4.79,5.84,1.4,2.68,5.94,-11.6,1.32,3.82,3.97,-6.05
EBITDA Margin,791.97%,221.28%,-829.66%,-1484.92%,-809.88%,87.08%,102.89%,1566.37%,1042.92%,577.87%,484.78%,2214.13%,-3246.76%,111.92%,278.03%,-24.23%,631.73%,-551.00%,-174.90%,318.10%,-615.05%,190.49%,31.61%,85.59%,-429.68%,29.40%,107.06%,28.16%,59.26%,66.01%,-247.38%,28.71%,83.71%,51.65%,-123.49%
Depreciation & Amortization,0.09,0.09,0.09,0.07,0.09,0.09,0.09,0.19,0.01,0.01,0.02,-0.78,0.8,0.01,-0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
EBIT,19.43,16.59,-21.35,-37.88,-21,12.1,2.08,38.8,24.24,69.39,9.41,46.54,-96.97,15.65,7.66,-1.17,29.38,-47.47,-8.17,15.25,-28.93,22.06,1.66,4.36,-21.43,4.79,5.83,1.39,2.67,5.93,-11.61,1.32,3.82,3.96,-6.05
EBIT Margin,788.32%,220.08%,-833.18%,-1487.71%,-813.36%,86.43%,98.67%,1558.82%,1042.41%,577.78%,483.86%,2251.72%,-3273.73%,111.86%,278.10%,-24.35%,631.60%,-551.07%,-175.03%,317.99%,-615.14%,190.45%,31.54%,85.52%,-429.76%,29.37%,106.99%,28.04%,59.20%,65.97%,-247.44%,28.65%,83.64%,51.62%,-123.58%
