Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
Net Income,17.34,24.57,21.09,19.17,25.7,34.9,21.45,23.15,26.68,46.11,30.91,21.67,18.86,16.81,6.83,4.83,1.1,7.44,7.55,6.95,5.24,-37.45,3.34,0.22,1.33,6.75,-9.71,-0.32,0.26,-11.18,41.89,-7.02,-16.11,53.31,-14.2
Net Income Growth,-32.56%,-29.58%,-1.66%,-17.18%,-3.67%,-24.32%,-30.61%,6.81%,41.47%,174.31%,352.85%,349.03%,1612.99%,125.97%,-9.60%,-30.51%,-78.97%,-,125.85%,3130.23%,292.80%,-,-,-,422.75%,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,25,24,23,22,23,19,19,19,19,18,18,18,18,18,17,19,18,18,18,-
Shares Outstanding (Diluted),27,27,27,26,27,42,42,42,43,43,26,25,40,25,25,25,40,25,24,24,24,19,23,19,18,18,18,18,18,16,19,-,-,-,-
Shares Change,1.38%,-36.07%,-36.87%,-37.24%,-38.05%,-2.17%,60.09%,65.33%,6.21%,72.61%,5.08%,3.62%,0.83%,0.45%,3.57%,1.60%,67.54%,31.90%,5.21%,28.47%,29.27%,2.91%,25.10%,3.07%,1.19%,12.35%,-3.15%,1.66%,1.64%,-10.64%,-,-,-,-,-
EPS (Basic),0.69,0.98,0.84,0.76,1.03,1.40,0.86,0.92,1.07,1.88,1.25,0.88,0.78,0.70,0.28,0.20,0.05,0.32,0.34,0.30,0.27,-1.98,0.17,0.01,0.07,0.36,-0.53,-0.02,0.01,-0.87,0.67,-,-,-,-
EPS (Diluted),0.67,0.95,0.82,0.74,1.00,1.27,0.82,0.89,1.03,1.53,1.22,0.86,0.72,0.69,0.28,0.20,0.04,0.31,0.33,0.30,0.24,-1.95,0.16,0.01,0.07,0.36,-0.53,-0.02,0.01,-0.87,0.67,-,-,-,-
EPS Growth,-33.00%,-25.20%,0%,-16.85%,-2.91%,-16.99%,-32.79%,3.49%,43.06%,121.74%,335.71%,330.00%,1700.00%,122.58%,-15.15%,-33.33%,-83.33%,-,106.25%,2900.00%,242.86%,-,-,-,600.00%,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-1.00,-1.44,6.41,6.32,-1.72,-0.45,7.16,4.00,-6.00,6.85,7.15,5.91,-1.26,5.14,2.58,2.45,-1.75,0.17,4.38,3.10,-2.90,2.11,3.98,1.65,-1.95,1.07,3.41,0.95,0.24,-3.33,2.95,4.29,0.02,2.43,-
Dividend Per Share,0.250,0.250,0.250,0.250,0.250,3.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,-,-,-,-,-,-
Dividend Growth,0%,-91.80%,400.00%,400.00%,400.00%,6000.00%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,14.60%,21.43%,17.90%,18.74%,20.36%,23.89%,20.87%,21.79%,21.23%,29.39%,23.56%,21.36%,16.77%,19.67%,11.35%,8.15%,-0.07%,9.51%,8.62%,7.76%,1.95%,13.47%,-19.90%,-1.91%,1.73%,13.82%,-1.62%,-11.49%,2.37%,-27.61%,29.77%,-8.89%,-17.84%,36.90%,-17.16%
Profit Margin,8.67%,8.78%,7.93%,8.22%,10.44%,11.14%,9.27%,9.62%,12.91%,14.32%,10.39%,9.32%,9.42%,6.76%,3.92%,2.89%,0.86%,4.24%,5.39%,5.31%,3.91%,-19.65%,4.26%,0.20%,1.10%,3.89%,-8.00%,-0.36%,0.22%,-10.77%,28.43%,-9.69%,-19.57%,35.87%,-17.85%
Free Cash Flow Margin,-12.57%,-12.99%,60.11%,68.10%,-17.48%,-3.56%,77.10%,41.69%,-72.47%,52.55%,59.21%,62.60%,-15.20%,48.99%,35.53%,36.12%,-32.39%,2.24%,69.65%,53.80%,-41.85%,20.92%,96.02%,28.39%,-29.81%,11.25%,51.54%,19.35%,3.83%,-53.00%,37.80%,106.38%,0.37%,29.86%,-
Effective Tax Rate,6.51%,36.17%,28.97%,30.71%,18.10%,23.50%,29.77%,29.30%,0.35%,22.30%,27.95%,28.79%,7.59%,39.25%,42.29%,42.49%,-1329.87%,35.78%,-2.68%,-14.55%,-365.01%,325.82%,-,-,-188.53%,43.78%,-,-,83.62%,-,4.49%,-,-,2.77%,-
EBITDA,27.65,47.3,38.37,36.72,41.05,54.66,39.21,41.33,35.39,68.01,51.49,40.53,29.42,36.39,19.87,17.19,7.33,15.19,9.62,8.16,3.13,18.57,-7.88,0.72,2.55,14.09,2.67,-1.84,5.46,-11,51.67,-4.93,-13.16,56.51,-
EBITDA Margin,13.83%,16.89%,14.42%,15.75%,16.67%,17.45%,16.95%,17.17%,17.12%,21.12%,17.30%,17.43%,14.70%,14.63%,11.40%,10.31%,5.72%,8.66%,6.86%,6.24%,2.34%,9.75%,-10.04%,0.66%,2.11%,8.12%,2.20%,-2.06%,4.73%,-10.60%,35.07%,-6.80%,-15.99%,38.03%,-
Depreciation & Amortization,9.11,8.8,8.68,9.06,9.67,9.04,8.67,8.59,8.61,8.66,8.59,10.1,9.01,8.72,8.04,8.8,7.25,3.61,2.26,2.09,2.01,1.99,2.04,2.02,2.09,2.1,4,4.03,3.9,3.92,7.81,1.51,1.53,1.68,-
EBIT,18.54,38.5,29.69,27.66,31.38,45.62,30.54,32.74,26.78,59.35,42.9,30.43,20.41,27.67,11.83,8.39,0.08,11.58,7.35,6.06,1.13,16.58,-9.92,-1.3,0.46,12,-1.34,-5.86,1.56,-14.92,43.86,-6.44,-14.69,54.83,-13.64
EBIT Margin,9.27%,13.75%,11.16%,11.87%,12.74%,14.56%,13.20%,13.60%,12.95%,18.43%,14.42%,13.08%,10.20%,11.13%,6.79%,5.03%,0.06%,6.60%,5.25%,4.64%,0.84%,8.70%,-12.64%,-1.19%,0.38%,6.92%,-1.10%,-6.57%,1.35%,-14.37%,29.77%,-8.89%,-17.84%,36.90%,-17.16%
