Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Shares Change,1.78%,-12.89%,-0.24%,2.95%,13.37%,46.20%,44.24%,45.13%,7.12%,-8.10%,-16.01%,-18.93%,0.46%,3.53%,3.20%,2.94%,2.93%,2.80%,2.81%,3.57%,4.49%,5.09%,5.45%,6.21%,2.02%,4.56%,-2.61%,2.70%,5.49%,401.06%,571.63%,543.15%,566.83%,-14.36%,-30.27%,-23.11%,-,-,-,-
EPS (Basic),0.13,0.21,0.41,1.77,0.40,0.30,0.27,0.10,-0.49,0.28,-0.38,-0.87,-1.10,0.01,-,-0.12,-0.23,-0.16,-0.27,-0.72,-0.35,-1.13,-0.10,-0.30,-0.35,-0.40,-0.45,-1.05,0.05,0.10,-,-0.05,-0.10,-0.15,-0.60,-0.80,-0.65,-,-,-
EPS (Diluted),0.13,0.23,0.41,1.73,0.39,0.29,0.26,0.09,-0.49,0.28,-0.38,-0.87,-1.10,0.01,-,-0.12,-0.23,-0.16,-0.27,-0.72,-0.35,-1.13,-0.10,-0.30,-0.35,-0.40,-0.45,-1.05,0.05,0.10,-,-0.05,-0.10,-0.15,-0.60,-0.80,-0.65,-,-,-
EPS Growth,-66.67%,-20.69%,57.69%,1822.22%,-,3.57%,-,-,-,2700.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.92,0.17,0.89,1.71,0.19,1.11,0.77,0.77,-0.62,0.57,5.63,2.19,-2.63,-1.37,-2.49,-1.52,1.75,-4.59,-0.73,-2.83,0.00,-5.11,-1.72,-0.31,-0.31,-0.06,-0.24,-0.36,-0.01,0.10,0.29,0.07,0.00,0.59,0.64,-0.20,1.35,-1.62,0.55,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,143.08%,86.34%,86.93%,83.79%,85.84%,86.23%,85.54%,85.07%,84.76%,86.16%,84.76%,83.57%,85.98%,85.74%,79.76%,87.39%,86.94%,85.61%,84.83%,84.98%,83.57%,81.87%,82.24%,80.88%,79.30%,81.78%,83.62%
Operating Margin,7.25%,8.05%,11.79%,15.18%,15.83%,11.01%,12.13%,4.70%,-47.15%,-40.77%,-53.58%,-203.14%,-36.41%,0.20%,-0.14%,-5.80%,-11.41%,-7.38%,-12.34%,-34.35%,-20.53%,-58.41%,-4.31%,-18.27%,-24.01%,-24.89%,-32.03%,-82.46%,2.82%,3.80%,1.88%,-3.87%,-7.07%,-12.78%,-12.40%,-17.72%,-18.85%,8.53%,9.59%,8.55%
Profit Margin,5.56%,8.98%,14.17%,55.16%,14.10%,11.10%,11.04%,4.59%,-44.49%,-35.31%,-48.32%,-194.44%,-36.66%,0.12%,-0.19%,-5.59%,-11.43%,-7.42%,-12.35%,-34.39%,-20.56%,-58.81%,-4.24%,-18.24%,-23.97%,-24.72%,-31.85%,-78.65%,2.72%,3.37%,0.82%,-4.27%,-7.85%,-13.27%,-13.15%,-19.05%,-18.85%,8.53%,9.90%,8.14%
Free Cash Flow Margin,39.93%,7.05%,30.49%,53.17%,6.60%,42.56%,30.96%,36.88%,-54.55%,61.61%,583.19%,381.42%,-173.71%,-64.54%,-106.52%,-69.05%,86.19%,-216.32%,-33.68%,-134.45%,0.06%,-271.91%,-92.32%,-18.16%,-20.10%,-3.45%,-16.32%,-26.64%,-0.36%,5.81%,18.63%,5.75%,0.31%,13.13%,13.64%,-4.84%,38.97%,-53.03%,21.48%,-
Effective Tax Rate,23.23%,-11.53%,-20.14%,-263.35%,10.89%,-0.81%,8.98%,2.47%,-,-,-,-,-,37.43%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.52%,11.33%,56.48%,-,-,-,-,-,-,-,-3.23%,4.77%
EBITDA,30.16,32.71,46.64,60.66,56.86,39.34,40.42,21.12,-38.14,-17,-21.26,-61.29,-34.04,18.49,13.59,3.2,-4.08,1.39,-7.19,-48.26,-19.44,-77.49,4.79,-14.66,-19.63,-23.99,-29.07,-78.21,10.94,11.21,7.96,1.31,-1.05,-5.07,-3.8,-6.09,-6.29,3.61,3.04,-
EBITDA Margin,12.27%,12.45%,15.29%,18.38%,19.64%,15.00%,16.42%,10.33%,-36.03%,-22.52%,-29.93%,-151.85%,-25.95%,9.81%,6.63%,1.68%,-2.34%,0.77%,-3.89%,-27.27%,-12.82%,-49.53%,3.11%,-10.50%,-15.77%,-18.38%,-25.37%,-75.61%,7.19%,8.27%,6.84%,1.35%,-1.30%,-7.44%,-6.77%,-12.63%,-16.25%,10.79%,11.09%,-
Depreciation & Amortization,12.35,11.55,10.68,10.56,11.04,10.46,10.55,11.51,11.77,9.98,13.14,17.19,13.73,18.12,13.88,14.3,15.86,14.84,15.65,12.58,11.7,13.8,11.31,10.85,10.25,8.51,7.63,7.09,6.66,6.05,5.77,5.06,4.69,3.64,3.16,2.46,1.01,0.76,0.41,-
EBIT,17.8,21.15,35.96,50.11,45.82,28.87,29.87,9.61,-49.91,-26.98,-34.4,-78.47,-47.77,0.37,-0.29,-11.1,-19.94,-13.44,-22.84,-60.84,-31.14,-91.3,-6.52,-25.51,-29.88,-32.49,-36.7,-85.3,4.29,5.15,2.18,-3.75,-5.75,-8.71,-6.95,-8.55,-7.3,2.86,2.63,1.78
EBIT Margin,7.25%,8.05%,11.79%,15.18%,15.83%,11.01%,12.13%,4.70%,-47.15%,-35.74%,-48.42%,-194.44%,-36.41%,0.20%,-0.14%,-5.82%,-11.43%,-7.41%,-12.37%,-34.38%,-20.53%,-58.35%,-4.23%,-18.27%,-24.01%,-24.89%,-32.03%,-82.46%,2.82%,3.80%,1.88%,-3.87%,-7.07%,-12.78%,-12.40%,-17.72%,-18.85%,8.53%,9.59%,8.55%
