Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31
Shares Outstanding (Diluted),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,31,31,26,25,19,18,17,17,17,17,-,-
Shares Change,-1.96%,-1.64%,-1.01%,-0.25%,0.54%,1.09%,47.53%,47.61%,52.26%,52.59%,3.88%,3.96%,0.77%,0.70%,0.72%,0.59%,-1.87%,-1.66%,0.26%,16.65%,27.67%,61.74%,66.94%,53.09%,43.25%,12.41%,6.71%,-,-,-,-,-,-
EPS (Basic),0.78,0.81,0.68,0.41,0.74,1.02,0.96,0.91,1.12,1.17,-0.14,0.71,0.02,0.69,0.77,0.60,0.63,0.55,0.69,0.72,0.65,0.80,0.28,0.44,0.40,0.32,0.07,0.92,0.85,0.54,0.93,-,-
EPS (Diluted),0.78,0.81,0.68,0.41,0.74,1.02,0.94,0.90,1.10,1.15,-0.14,0.70,0.02,0.68,0.76,0.59,0.62,0.54,0.68,0.70,0.63,0.78,0.27,0.43,0.40,0.30,0.07,0.92,0.85,0.54,0.93,-,-
EPS Growth,5.41%,-20.59%,-27.66%,-54.44%,-32.73%,-11.30%,-,28.57%,5400.00%,69.12%,-,18.64%,-96.77%,25.93%,11.76%,-15.71%,-1.59%,-30.77%,151.85%,62.79%,57.50%,160.00%,285.71%,-53.26%,-52.94%,-44.44%,-92.47%,-,-,-,-,-,-
Free Cash Flow Per Share,1.91,0.88,4.53,5.05,6.05,1.99,0.63,2.07,-3.68,-2.78,0.25,-1.49,-3.37,2.50,-0.16,-1.48,1.03,2.28,1.96,0.82,1.54,-0.26,-0.84,-3.15,6.11,-1.07,-9.77,-3.64,0.67,6.11,-7.39,-,-
Dividend Per Share,0.150,0.130,0.130,0.130,0.130,0.110,0.110,0.110,0.110,0.090,0.090,0.090,0.090,0.080,0.080,0.080,0.080,0.080,0.060,0.060,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,15.38%,18.18%,18.18%,18.18%,18.18%,22.22%,22.22%,22.22%,22.22%,12.50%,12.50%,12.50%,12.50%,0%,33.33%,33.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,-
Operating Margin,36.42%,37.53%,33.25%,21.18%,33.29%,40.87%,36.67%,37.90%,41.96%,34.92%,-6.92%,27.35%,1.19%,30.33%,33.49%,28.05%,31.69%,29.68%,32.92%,34.63%,31.01%,32.34%,15.80%,26.61%,24.64%,22.58%,22.35%,25.05%,27.44%,18.73%,32.03%,-,-
Profit Margin,28.76%,29.70%,25.96%,15.72%,26.33%,31.76%,30.19%,28.92%,32.41%,27.02%,-5.07%,20.62%,1.07%,23.98%,25.33%,20.97%,24.28%,22.30%,25.06%,25.59%,24.27%,27.07%,10.20%,16.79%,15.83%,14.74%,1.69%,23.37%,25.62%,17.84%,30.39%,-,-
Free Cash Flow Margin,70.29%,32.00%,173.27%,193.79%,214.95%,61.80%,20.02%,65.44%,-106.79%,-77.80%,7.21%,-43.15%,-150.92%,85.93%,-5.37%,-51.24%,39.42%,91.53%,70.66%,29.08%,57.92%,-9.26%,-30.84%,-121.16%,239.39%,-33.64%,-249.44%,-92.60%,20.18%,203.78%,-242.67%,-,-
Effective Tax Rate,21.04%,20.84%,21.91%,25.77%,20.91%,22.29%,17.66%,23.69%,22.77%,22.63%,-,24.58%,9.70%,20.95%,24.36%,25.25%,23.37%,24.87%,23.87%,26.10%,21.72%,16.31%,35.43%,36.91%,35.74%,34.70%,92.45%,6.70%,6.66%,4.78%,5.12%,-,-
EBITDA,49.3,51.14,43.93,29.27,47.83,66.26,58.49,60.22,71.96,63.05,-4.53,33.15,3.64,29.8,34.26,27.53,27.46,24.52,29.87,31.79,27.2,29.65,14.65,18.93,16.57,17.43,20.27,20.41,18.66,12.12,18.76,-,-
EBITDA Margin,38.96%,39.82%,35.83%,23.78%,35.74%,43.10%,38.99%,40.23%,44.10%,37.35%,-4.10%,29.89%,5.25%,33.11%,36.21%,30.90%,34.05%,32.08%,35.02%,36.88%,33.41%,34.87%,17.81%,28.27%,26.90%,28.51%,28.35%,30.24%,32.75%,23.52%,35.85%,-,-
Depreciation & Amortization,3.22,2.95,3.17,3.21,3.28,3.42,3.48,3.49,3.5,4.11,3.11,2.82,2.82,2.51,2.58,2.53,1.9,1.84,1.79,1.93,1.96,2.15,1.66,1.11,1.39,3.63,4.29,3.5,3.02,2.47,2,-,-
EBIT,46.08,48.19,40.76,26.06,44.55,62.83,55.01,56.73,68.46,58.94,-7.64,30.33,0.83,27.29,31.68,25,25.56,22.68,28.08,29.86,25.24,27.5,12.99,17.81,15.18,13.8,15.98,16.91,15.64,9.65,16.76,-,-
EBIT Margin,36.42%,37.52%,33.25%,21.18%,33.29%,40.87%,36.67%,37.90%,41.96%,34.92%,-6.92%,27.35%,1.19%,30.33%,33.49%,28.05%,31.69%,29.68%,32.92%,34.63%,31.01%,32.34%,15.80%,26.61%,24.64%,22.58%,22.35%,25.05%,27.44%,18.73%,32.03%,-,-
