Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Preferred Dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796.87,820.11,754.57,701.91,248.11,132.68,-
Net Income Common,551.48,599.03,581.21,534.66,655.85,636.34,626.38,590.37,493.94,602.67,456.71,419.39,411.28,597.88,660.51,703.18,774.17,649.3,606.56,439.05,"-1,303.86",-278.74,-122.77,-285.11,17.92,60.85,-
Net Income Growth,-15.91%,-5.86%,-7.21%,-9.44%,32.78%,5.59%,37.15%,40.77%,20.10%,0.80%,-30.86%,-40.36%,-46.88%,-7.92%,8.89%,60.16%,-,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),"1,385","1,412","1,423","1,432","1,431","1,425","1,422","1,405","1,418","1,454","1,514","1,523","1,539","1,553","1,534","1,494","1,487","1,483","1,506","1,503",780,665,665,665,665,665,665
Shares Outstanding (Diluted),"1,411","1,463","1,470","1,474","1,485","1,481","1,487","1,476","1,438","1,467","1,522","1,538","1,513","1,580","1,568","1,559","1,563","1,571","1,621","1,624",780,665,665,665,665,665,-
Shares Change,-5.03%,-1.22%,-1.14%,-0.09%,3.29%,0.96%,-2.26%,-4.06%,-4.98%,-7.11%,-2.94%,-1.33%,-3.17%,0.54%,-3.32%,-4.00%,100.42%,136.27%,143.82%,144.20%,17.26%,-,-,-,-,-,-
EPS (Basic),0.39,0.42,0.41,0.37,0.46,0.45,0.44,0.42,0.35,0.41,0.30,0.28,0.27,0.38,0.43,0.47,0.52,0.44,0.40,0.29,-1.52,-0.42,-0.18,-0.43,0.03,0.09,-
EPS (Diluted),0.39,0.41,0.40,0.36,0.44,0.43,0.42,0.40,0.34,0.41,0.30,0.27,0.28,0.38,0.42,0.45,0.49,0.41,0.37,0.27,-1.52,-0.42,-0.18,-0.43,0.03,0.09,-
EPS Growth,-11.36%,-4.65%,-4.76%,-10.00%,29.41%,4.88%,40.00%,48.15%,21.43%,7.89%,-28.57%,-40.13%,-42.62%,-7.99%,12.30%,67.04%,-,-,-,-,-,-,-,-,-,-,-
Dividend Per Share,-,-,0.205,-,-,-,0.170,-,-,-,0.120,-,-,-,0.190,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,-,-,20.59%,-,-,-,41.67%,-,-,-,-36.84%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,83.07%,83.34%,80.13%,79.66%,78.99%,81.80%,80.92%,80.45%,74.91%,81.10%,84.96%,88.15%,75.25%,79.15%,81.30%,82.35%,80.21%,79.81%,77.98%,74.14%,68.66%,76.12%,80.58%,74.08%,84.19%,70.30%,-
Operating Margin,20.22%,22.21%,24.63%,23.79%,21.39%,28.90%,29.56%,31.03%,32.14%,38.42%,31.33%,21.64%,35.29%,40.75%,46.75%,53.15%,34.69%,43.79%,44.05%,41.87%,12.02%,46.44%,52.09%,42.04%,32.90%,33.10%,-
Profit Margin,18.08%,20.16%,21.80%,21.85%,26.79%,25.20%,26.27%,27.94%,26.66%,33.61%,25.23%,19.91%,33.36%,37.54%,40.23%,47.02%,55.20%,57.95%,56.93%,45.95%,-137.91%,-22.35%,-11.52%,-42.62%,3.61%,16.53%,-
Effective Tax Rate,18.48%,15.84%,16.93%,15.57%,-15.32%,14.99%,14.95%,15.18%,16.89%,16.42%,24.41%,17.53%,12.19%,17.94%,18.79%,16.73%,-33.35%,12.43%,20.67%,17.72%,-,22.65%,15.59%,15.01%,7.57%,9.92%,-
EBIT,676.46,711.78,699.63,633.29,568.75,748.52,736.46,696.04,594.32,721.06,604.19,508.56,468.37,728.6,813.36,844.48,580.56,741.48,764.61,533.63,-581.13,699.92,748.5,490.4,287.82,214.83,-
EBIT Margin,22.18%,23.95%,26.24%,25.88%,23.23%,29.64%,30.89%,32.94%,32.07%,40.21%,33.37%,24.14%,37.99%,45.75%,49.54%,56.47%,41.39%,66.18%,71.77%,55.85%,-61.47%,56.13%,70.22%,73.31%,58.04%,58.35%,-
