Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30
Net Income,3.53,6.06,4.29,2.49,2.81,5.12,4.18,3,3.12,3.82,3.68,1.98,0.87,2.22,2.51,2.08,2.21,2.13,1.93,1.53,1.52,-0.11,1.77,1.12,2.16,1.19,0.65,1.15,0.9,0.71,1.23,0.76,-7.58,0.88,0.85,0.67,0.46,0.86,0.68
Net Income Growth,25.73%,18.27%,2.70%,-16.96%,-10.06%,34.28%,13.69%,51.62%,257.39%,72.05%,46.41%,-4.95%,-60.44%,4.13%,30.32%,36.24%,44.91%,-,8.63%,36.86%,-29.62%,-,172.35%,-3.38%,141.25%,66.62%,-46.99%,52.24%,-,-19.16%,44.64%,12.80%,-,2.92%,24.85%,-,-,-,-
Shares Outstanding (Basic),10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,-,-,-
Shares Change,-3.32%,-0.77%,-2.20%,-2.11%,-1.12%,-2.03%,-1.49%,-2.01%,-4.79%,-4.66%,-5.65%,-5.09%,-3.74%,-5.22%,-4.92%,-5.09%,-5.71%,-4.34%,-3.40%,-4.14%,-3.66%,-8.70%,-8.60%,-6.83%,-7.22%,-1.02%,-0.71%,-1.05%,-,-,-,-,-,-,-,-,-,-,-
EPS (Basic),0.39,0.67,0.47,0.27,0.30,0.54,0.44,0.32,0.33,0.38,0.40,0.21,0.09,0.24,0.25,0.21,0.22,0.21,0.19,0.15,0.15,-0.01,0.17,0.10,0.20,0.11,0.06,0.09,0.07,0.06,0.10,0.06,-0.62,-,-,-,-,-,-
EPS (Diluted),0.39,0.67,0.47,0.27,0.30,0.54,0.44,0.32,0.33,0.38,0.40,0.21,0.09,0.23,0.25,0.21,0.22,0.21,0.19,0.15,0.14,-0.01,0.17,0.11,0.20,0.11,0.06,0.09,0.07,0.06,0.10,0.06,-0.62,-,-,-,-,-,-
EPS Growth,30.00%,24.07%,6.82%,-15.63%,-9.09%,42.11%,10.00%,52.38%,266.67%,65.22%,60.00%,0%,-59.09%,9.52%,31.58%,40.00%,57.14%,-,11.76%,36.36%,-30.00%,-,183.33%,22.22%,185.71%,83.33%,-40.00%,50.00%,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.64,0.18,0.44,0.52,0.17,0.17,0.46,0.04,0.24,0.93,0.05,0.33,-0.19,0.24,0.27,0.24,0.51,0.11,0.41,0.01,0.38,0.06,0.26,0.21,0.23,0.09,-0.49,0.57,0.09,0.12,-0.13,0.06,-0.51,0.03,0.23,-0.10,-,-,-
Dividend Per Share,0.070,0.070,0.070,0.070,0.070,0.070,0.060,0.060,0.060,0.060,0.050,0.050,0.050,0.040,0.030,0.030,0.030,0.030,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,0%,0%,16.67%,16.67%,16.67%,16.67%,20.00%,20.00%,20.00%,50.00%,66.67%,66.67%,66.67%,33.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,22.30%,31.21%,22.30%,10.56%,17.09%,29.23%,26.42%,20.41%,22.90%,28.48%,33.64%,19.18%,10.30%,23.94%,26.84%,23.72%,25.83%,23.95%,22.59%,18.40%,18.42%,13.91%,23.17%,15.84%,25.70%,19.88%,11.66%,18.19%,14.83%,11.06%,21.76%,13.76%,-124.45%,17.29%,17.22%,11.71%,8.64%,18.23%,14.95%
Profit Margin,18.43%,27.53%,21.68%,13.12%,15.69%,24.71%,22.06%,17.40%,19.89%,23.29%,24.19%,15.53%,8.35%,19.57%,21.80%,19.17%,20.99%,19.84%,18.36%,15.01%,15.01%,-1.18%,17.45%,11.82%,21.44%,13.83%,7.71%,12.69%,11.13%,8.25%,16.24%,10.33%,-107.93%,13.40%,12.74%,9.94%,7.20%,13.11%,11.65%
Free Cash Flow Margin,32.56%,8.31%,21.95%,27.17%,9.29%,7.99%,24.71%,2.09%,15.55%,58.25%,3.25%,27.17%,-19.66%,22.45%,25.14%,24.14%,53.38%,12.07%,44.80%,0.76%,43.61%,7.75%,30.76%,26.47%,27.86%,13.94%,-74.92%,81.76%,14.07%,18.68%,-21.94%,10.27%,-95.64%,6.85%,46.11%,-19.36%,61.11%,-103.88%,99.78%
Effective Tax Rate,18.95%,14.26%,16.01%,15.80%,16.49%,17.83%,18.46%,18.12%,13.16%,18.22%,28.10%,19.02%,18.94%,18.25%,18.77%,19.17%,18.74%,17.15%,18.70%,18.44%,18.51%,108.46%,24.68%,25.42%,16.54%,30.40%,33.91%,30.23%,24.94%,25.34%,25.35%,24.88%,-,22.50%,26.05%,15.15%,16.70%,28.10%,22.11%
EBITDA,4.75,7.57,5.68,3.57,3.74,6.64,5.49,3.99,3.93,5.01,5.47,2.78,1.42,3.3,3.42,2.91,3.05,3.16,2.7,2.2,2.2,1.7,2.64,2.02,2.92,2.03,1.29,2.22,1.49,1.23,1.89,1.31,-8.45,1.47,1.48,1.06,0.94,1.57,1.28
EBITDA Margin,24.82%,34.37%,28.68%,18.82%,20.88%,32.01%,29.01%,23.15%,25.06%,30.56%,36.01%,21.83%,13.53%,29.14%,29.73%,26.80%,28.99%,29.42%,25.74%,21.64%,21.70%,17.50%,26.02%,21.40%,28.89%,23.64%,15.26%,24.36%,18.51%,14.26%,25.01%,17.86%,-120.34%,22.28%,22.19%,15.69%,14.81%,24.06%,21.96%
Depreciation & Amortization,0.4,0.5,0.57,0.62,0.38,0.4,0.37,0.33,0.34,0.34,0.36,0.34,0.34,0.59,0.33,0.33,0.33,0.59,0.33,0.33,0.33,0.35,0.29,0.52,0.32,0.32,0.3,0.56,0.3,0.28,0.25,0.3,0.29,0.33,0.33,0.27,0.39,0.38,0.41
EBIT,4.35,7.07,5.11,2.96,3.36,6.24,5.12,3.66,3.59,4.67,5.11,2.44,1.08,2.71,3.09,2.57,2.72,2.57,2.37,1.87,1.87,1.35,2.35,1.5,2.59,1.71,0.99,1.65,1.2,0.96,1.65,1.01,-8.74,1.14,1.15,0.79,0.55,1.19,0.87
EBIT Margin,22.74%,32.11%,25.82%,15.58%,18.78%,30.07%,27.06%,21.25%,22.90%,28.48%,33.64%,19.18%,10.30%,23.94%,26.84%,23.72%,25.83%,23.95%,22.59%,18.40%,18.42%,13.91%,23.17%,15.84%,25.70%,19.88%,11.66%,18.19%,14.83%,11.06%,21.76%,13.76%,-124.45%,17.29%,17.22%,11.71%,8.64%,18.23%,14.95%
