Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30
Shares Outstanding (Basic),485,493,496,491,422,425,426,426,426,427,427,427,428,435,446,458,461,467,476,485,488,492,501,506,509,512,519,529,528,528,531,538,546,547,560,560,560,560,560
Shares Outstanding (Diluted),488,495,497,493,425,427,428,428,428,428,428,428,429,436,447,459,463,469,478,486,489,494,502,507,511,514,521,530,530,530,533,540,550,551,560,560,560,560,560
Shares Change,14.84%,16.08%,16.28%,15.37%,-0.75%,-0.35%,-0.04%,-0.00%,-0.35%,-1.83%,-4.28%,-6.91%,-7.16%,-6.99%,-6.38%,-5.52%,-5.47%,-4.98%,-4.89%,-4.19%,-4.32%,-3.97%,-3.64%,-4.33%,-3.60%,-3.05%,-2.30%,-1.77%,-3.52%,-3.73%,-4.79%,-3.59%,-1.82%,-1.67%,0.04%,-,-,-,-
EPS (Basic),1.00,1.27,1.23,0.68,0.94,1.17,1.18,1.45,1.38,0.99,0.68,0.53,0.03,0.98,0.97,0.95,0.92,0.97,0.92,0.88,0.78,1.34,0.68,0.63,0.61,0.54,0.56,0.46,0.41,0.41,0.40,0.35,0.38,0.36,0.34,0.56,0.30,0.27,0.26
EPS (Diluted),1.00,1.26,1.23,0.67,0.93,1.17,1.18,1.44,1.37,0.99,0.68,0.53,0.03,0.98,0.97,0.95,0.92,0.95,0.91,0.88,0.78,1.33,0.68,0.63,0.61,0.55,0.56,0.46,0.41,0.42,0.40,0.35,0.38,0.36,0.34,0.56,0.30,0.27,0.26
EPS Growth,7.53%,7.69%,4.24%,-53.47%,-32.12%,18.18%,73.53%,171.70%,4466.67%,1.02%,-29.90%,-44.21%,-96.74%,3.16%,6.59%,7.95%,17.95%,-28.57%,33.82%,39.68%,27.87%,141.82%,21.43%,36.96%,48.78%,30.95%,40.00%,31.43%,7.89%,16.67%,17.65%,-37.50%,26.67%,33.33%,30.77%,-,-,-,-
Free Cash Flow Per Share,2.28,2.95,5.88,-3.83,3.56,2.45,2.94,1.31,-1.64,1.75,1.67,-0.29,-3.14,1.56,0.80,0.17,1.06,1.41,-0.69,1.22,1.26,0.56,1.61,-0.81,1.57,0.31,0.83,0.52,0.61,0.56,0.47,0.65,0.08,0.02,0.25,0.50,1.17,1.64,0.27
Dividend Per Share,0.420,0.420,0.420,0.390,0.390,0.390,0.390,0.390,0.390,0.390,0.390,0.390,0.390,0.360,0.360,0.320,0.320,0.270,0.270,0.220,0.220,0.180,0.180,0.140,0.140,0.120,0.120,0.120,0.100,0.100,0.100,0.100,0.100,0.100,-,-,-,-,-
Dividend Growth,7.69%,7.69%,7.69%,0%,0%,0%,0%,0%,0%,8.33%,8.33%,21.88%,21.88%,33.33%,33.33%,45.45%,45.45%,50.00%,50.00%,57.14%,57.14%,50.00%,50.00%,16.67%,40.00%,20.00%,20.00%,20.00%,0%,0%,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,33.88%,40.04%,39.58%,26.81%,32.64%,39.20%,40.25%,45.61%,43.41%,36.07%,27.51%,23.87%,4.26%,35.43%,36.69%,37.88%,37.66%,36.94%,38.76%,38.55%,36.20%,35.90%,37.42%,34.84%,33.70%,32.83%,33.00%,30.39%,29.05%,29.01%,29.57%,25.11%,28.00%,25.56%,25.28%,33.43%,22.49%,20.27%,21.83%
Profit Margin,24.90%,30.03%,29.75%,18.62%,24.12%,28.54%,29.79%,33.81%,32.68%,26.78%,21.20%,17.50%,1.14%,27.96%,28.11%,28.41%,28.21%,29.84%,29.34%,29.85%,27.53%,47.54%,24.87%,23.98%,24.30%,22.36%,22.41%,20.45%,18.90%,19.37%,18.80%,16.92%,18.58%,17.80%,17.44%,21.98%,15.89%,14.81%,14.29%
Free Cash Flow Margin,56.43%,70.41%,141.92%,-105.50%,91.53%,59.60%,74.05%,30.63%,-38.91%,47.19%,52.24%,-9.56%,-127.06%,44.47%,23.16%,5.23%,32.40%,43.77%,-22.21%,41.43%,44.44%,19.56%,58.86%,-30.92%,62.11%,12.61%,33.31%,23.23%,28.35%,26.12%,22.24%,31.26%,3.91%,0.90%,12.82%,19.66%,62.49%,89.38%,14.98%
Effective Tax Rate,23.87%,21.98%,22.46%,25.56%,22.66%,23.62%,23.05%,22.90%,22.43%,21.34%,17.43%,19.35%,47.83%,17.57%,21.02%,22.60%,23.05%,16.97%,23.37%,22.59%,22.87%,-32.41%,32.61%,31.17%,26.70%,31.88%,30.95%,32.69%,33.54%,33.23%,35.06%,32.62%,33.65%,30.39%,31.02%,34.24%,29.36%,26.92%,34.55%
EBITDA,759,913,909,706,579,824,791,964,910,698,453,391,227,711,712,703,685,674,683,670,616,619,619,596,551,542,562,494,437,452,444,403,428,356,391,576,331,308,319
EBITDA Margin,38.72%,44.15%,44.26%,39.60%,35.26%,47.22%,46.75%,52.91%,50.58%,44.09%,33.24%,30.40%,21.48%,46.56%,46.32%,45.92%,45.58%,44.69%,45.96%,47.05%,44.51%,44.18%,45.15%,44.95%,42.78%,42.98%,43.43%,41.58%,38.23%,39.61%,39.19%,35.89%,38.04%,32.16%,36.07%,40.45%,31.67%,30.02%,31.65%
Depreciation & Amortization,118,117,121,260,67,172,136,165,152,159,103,112,204,193,165,141,134,132,114,121,122,116,113,134,124,128,142,133,112,121,116,121,113,73,117,100,96,100,99
EBIT,641,796,788,446,512,652,655,799,758,539,350,279,23,518,547,562,551,542,569,549,494,503,506,462,427,414,420,361,325,331,328,282,315,283,274,476,235,208,220
EBIT Margin,32.70%,38.49%,38.36%,25.01%,31.18%,37.36%,38.71%,43.85%,42.13%,34.05%,25.68%,21.70%,2.18%,33.92%,35.59%,36.71%,36.66%,35.94%,38.29%,38.55%,35.69%,35.90%,36.91%,34.84%,33.15%,32.83%,32.46%,30.39%,28.43%,29.01%,28.95%,25.11%,28.00%,25.56%,25.28%,33.43%,22.49%,20.27%,21.83%
