Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
Pretax Income,7.98,2.69,-2.73,-0.63,16.36,13.68,16.85,33.69,21.67,34.52,38.47,56.53,-74.31,9.3,2.74,8.52,8.86,-1.69,4.81,2.28,2.84,0.22,2.35,2.97,3.54,4.35,3.21,3.02,1.19,-1.59,-0.48,-0.08
Income Tax,0.2,0.09,-0.35,0.26,0.15,0.85,0.17,1.1,0.13,0.06,0.13,0.11,0.24,0.13,0.01,0,0,0.11,0,0.01,-0,0.02,0,0,0,0,0,0,0,0,0,0
Net Income,7.78,2.6,-2.38,-0.89,16.21,12.84,16.68,32.58,21.54,34.46,38.34,56.42,-74.55,9.18,2.73,8.51,8.86,-1.81,4.8,2.27,2.84,0.2,2.35,2.97,3.54,4.35,3.2,3.02,1.19,-1.59,-0.48,-0.08
Net Income Growth,-52.02%,-79.73%,-,-,-24.74%,-62.75%,-56.50%,-42.24%,-,275.45%,1305.46%,562.79%,-,-,-43.22%,274.18%,211.74%,-,104.35%,-23.44%,-19.61%,-95.47%,-26.64%,-1.65%,197.35%,-,-,-,-,-,-,-
Shares Outstanding (Basic),32,31,31,31,31,29,28,28,28,28,28,28,26,20,19,16,14,13,11,10,9,8,8,7,7,6,6,5,4,2,2,0
Shares Outstanding (Diluted),32,31,31,31,31,29,28,28,28,28,28,28,26,20,19,16,14,13,11,10,9,8,8,7,7,6,6,5,4,2,2,0
Shares Change,5.11%,5.03%,9.66%,9.66%,9.66%,4.39%,-,-0.00%,7.46%,38.41%,49.75%,79.38%,81.22%,59.67%,65.08%,58.58%,64.26%,55.41%,45.19%,32.99%,30.62%,34.65%,42.43%,52.54%,57.65%,272.33%,143.44%,30748.74%,-,-,-,-
EPS (Basic),0.24,0.08,-0.08,-0.03,0.52,0.43,0.59,1.16,0.76,1.25,1.36,2.00,-2.84,0.46,0.15,0.54,0.61,-0.23,0.42,0.23,0.32,-0.01,0.30,0.40,0.52,0.75,0.58,0.62,0.28,-0.68,-0.21,-4.95
EPS (Diluted),0.24,0.08,-0.08,-0.03,0.52,0.43,0.59,1.16,0.76,1.25,1.36,2.00,-2.84,0.46,0.15,0.54,0.61,-0.23,0.42,0.23,0.32,-0.01,0.30,0.40,0.52,0.75,0.58,0.62,0.28,-0.68,-0.21,-4.95
EPS Growth,-53.85%,-81.40%,-,-,-31.58%,-65.60%,-56.62%,-42.00%,-,171.74%,806.67%,270.37%,-,-,-64.29%,134.78%,90.63%,-,40.00%,-42.50%,-38.46%,-,-48.28%,-35.48%,85.71%,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.49,1.35,-0.58,-0.23,0.36,-3.87,-1.48,-0.03,-0.05,-1.23,-0.51,1.37,-1.96,-1.20,-5.43,-3.79,-1.17,-5.15,-2.63,-6.44,-0.59,-2.29,-1.07,-2.51,-6.30,-0.94,-6.14,-2.85,-5.84,-9.31,-50.84,-
Dividend Per Share,0.410,0.410,0.460,0.460,0.460,0.460,0.410,0.410,0.410,0.410,0.410,0.410,0.410,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,-10.87%,-10.87%,12.20%,12.20%,12.20%,12.20%,0%,0%,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,48.11%,50.02%,57.56%,62.89%,51.39%,59.04%,55.89%,56.23%,62.59%,71.07%,71.89%,72.62%,68.97%,64.55%,67.83%,65.74%,66.86%,65.46%,64.88%,62.05%,56.77%,56.07%,57.48%,55.55%,58.09%,64.42%,64.04%,62.32%,67.69%,54.20%,77.37%,-
Operating Margin,45.04%,46.84%,53.83%,58.98%,46.59%,55.23%,50.62%,50.75%,56.23%,65.20%,66.08%,67.61%,62.61%,57.51%,61.85%,58.95%,59.64%,57.89%,55.88%,51.68%,46.16%,45.39%,46.17%,42.98%,43.02%,52.12%,45.79%,39.18%,42.79%,28.25%,31.20%,-
Profit Margin,19.80%,7.53%,-8.20%,-3.32%,61.44%,53.17%,65.46%,136.91%,104.69%,169.91%,205.32%,291.91%,-395.86%,62.58%,18.39%,68.00%,77.34%,-17.19%,55.07%,31.37%,41.73%,3.11%,38.00%,56.15%,79.19%,86.76%,92.73%,104.05%,47.37%,-74.18%,-41.87%,-
Free Cash Flow Margin,40.75%,121.03%,-62.31%,-26.14%,42.33%,-471.35%,-163.90%,-3.00%,-6.80%,-170.34%,-77.60%,199.52%,-272.55%,-165.81%,-689.10%,-475.91%,-147.15%,-624.45%,-343.09%,-879.70%,-76.52%,-296.11%,-136.17%,-352.71%,-951.83%,-113.82%,-978.70%,-479.05%,-995.09%,-709.72%,-9959.18%,-
Effective Tax Rate,2.52%,3.38%,-,-,0.94%,6.19%,1.01%,3.27%,0.60%,0.18%,0.34%,0.20%,-,1.34%,0.29%,0.04%,0.03%,-,0.02%,0.33%,-0.03%,10.76%,-,0.05%,0.00%,-,0.02%,-,0.07%,-,-,-
EBITDA,7.98,2.69,-2.73,-0.63,16.36,13.68,16.85,33.69,21.67,34.52,38.47,56.53,-74.31,9.3,2.74,8.52,8.86,-1.69,4.81,2.28,2.84,0.22,2.35,2.97,3.54,4.35,3.21,3.02,1.19,-1.85,-0.23,-0.08
EBITDA Margin,20.31%,7.79%,-9.41%,-2.36%,62.03%,56.68%,66.13%,141.55%,105.32%,170.21%,206.02%,292.48%,-394.60%,63.43%,18.44%,68.02%,77.37%,-16.11%,55.08%,31.48%,41.72%,3.48%,38.00%,56.18%,79.19%,86.76%,92.75%,104.05%,47.40%,-86.08%,-19.95%,-
EBIT,7.98,2.69,-2.73,-0.63,16.36,13.68,16.85,33.69,21.67,34.52,38.47,56.53,-74.31,9.3,2.74,8.52,8.86,-1.69,4.81,2.28,2.84,0.22,2.35,2.97,3.54,4.35,3.21,3.02,1.19,-1.85,-0.23,-0.08
EBIT Margin,20.31%,7.79%,-9.41%,-2.36%,62.03%,56.68%,66.13%,141.55%,105.32%,170.21%,206.02%,292.48%,-394.60%,63.43%,18.44%,68.02%,77.37%,-16.11%,55.08%,31.48%,41.72%,3.48%,38.00%,56.18%,79.19%,86.76%,92.75%,104.05%,47.40%,-86.08%,-19.95%,-
