Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
Pretax Income,1,-7.29,-1.52,-8.4,-2.91,-0.78,-1.21,5.74,-4.63,3.27,0.5,1.55,-4.71,-3.15,-2.03,-2.88,-0.67,-4.78,-3.53,-1.1,0.23,0.18,-19.03,-1.35,-1.79,-3.89,-1.46,-1.14,-2.03,-2.26,1.28,0.63,0.46,-0.04,-2.1,-1.73,-
Income Tax,0,-9.4,-0,0,-0.04,0.02,-0,0.18,0.01,-0.01,-0.04,0.04,0.01,-0.12,-0.8,0,0.01,0,0.03,0.01,0.02,-0.04,-0.14,-0.28,0.01,0.53,0.02,-0.62,0,0.05,-0.05,0.05,0,-0.1,0.13,-0.19,-
Net Income,1,2.11,-1.52,-8.4,-2.87,-0.8,-1.21,5.55,-4.64,3.27,0.54,1.51,-4.73,-3.03,-1.23,-2.88,-0.68,-4.78,-3.55,-1.11,0.21,0.22,-18.9,-1.07,-1.8,-4.42,-1.48,-0.51,-2.03,-2.3,1.33,0.58,0.46,0.06,-2.23,-1.54,-
Preferred Dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.21,0.21,0.22,0.02,0.02,-
Net Income Common,1,2.11,-1.52,-8.4,-2.87,-0.8,-1.21,5.55,-4.64,3.27,0.54,1.51,-4.73,-3.03,-1.23,-2.88,-0.68,-4.78,-3.55,-1.11,0.21,0.22,-18.9,-1.07,-1.8,-4.42,-1.48,-0.51,-2.03,-2.3,1.21,0.37,0.25,-0.16,-2.25,-1.55,-
Net Income Growth,-,-,-,-,-,-,-,268.90%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),12,12,11,10,10,10,10,10,10,10,10,10,10,10,10,8,8,9,9,9,9,9,8,8,8,8,8,8,8,5,6,4,4,3,3,2,2
Shares Outstanding (Diluted),12,12,11,10,10,10,10,10,10,10,10,10,10,10,10,8,8,9,9,9,9,9,8,8,8,8,8,8,8,5,6,4,4,3,3,2,-
Shares Change,25.84%,26.00%,14.54%,0.27%,0.27%,0.27%,0.64%,0.95%,0.93%,0.85%,0.91%,14.63%,13.48%,11.87%,11.57%,-1.76%,-0.78%,0.63%,11.43%,11.62%,11.62%,11.72%,0.89%,0.50%,-0.07%,42.13%,33.44%,87.53%,89.04%,100.94%,126.78%,71.81%,130.96%,-,-,-,-
EPS (Basic),0.08,0.26,-0.14,-0.86,-0.30,-0.08,-0.12,0.57,-0.48,0.34,0.06,0.16,-0.49,-0.33,-0.13,-0.34,-0.08,-0.56,-0.42,-0.13,0.02,0.11,-2.46,-0.14,-0.24,-0.58,-0.19,-0.07,-0.27,-0.49,0.21,0.09,0.06,0.33,-0.89,-0.66,-
EPS (Diluted),0.08,0.26,-0.14,-0.86,-0.30,-0.08,-0.12,0.57,-0.48,0.34,0.06,0.16,-0.49,-0.33,-0.13,-0.34,-0.08,-0.56,-0.42,-0.13,0.02,0.11,-2.46,-0.14,-0.24,-0.58,-0.19,-0.07,-0.27,-0.49,0.21,0.09,0.06,0.33,-0.89,-0.66,-
EPS Growth,-,-,-,-,-,-,-,256.25%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.49,-2.16,0.13,-0.71,-0.88,0.76,0.26,-0.10,-0.36,0.62,0.17,-0.90,0.41,0.84,0.79,0.24,-0.26,-1.11,-0.05,-0.38,-0.46,-0.99,1.32,0.45,0.51,-0.01,0.13,0.28,0.39,1.24,-0.88,-0.86,-0.36,2.81,0.06,-,-
Gross Margin,44.21%,14.05%,36.70%,9.85%,28.97%,40.29%,39.51%,49.44%,26.40%,48.46%,45.30%,52.79%,33.90%,35.91%,37.77%,36.87%,40.52%,26.96%,33.17%,40.37%,46.31%,43.34%,-39.72%,36.56%,37.23%,29.15%,40.03%,41.20%,39.19%,42.21%,48.41%,44.42%,45.11%,40.43%,33.55%,34.66%,-
Operating Margin,7.59%,-22.93%,-3.59%,-31.45%,-8.97%,-1.08%,-2.60%,17.74%,-15.79%,11.95%,3.88%,8.30%,-18.67%,-10.34%,-6.00%,-9.44%,-0.27%,-16.71%,-12.20%,-2.28%,3.20%,3.11%,-98.47%,-4.53%,-6.67%,-14.54%,-5.12%,-4.62%,-9.38%,-10.53%,6.72%,5.68%,4.84%,0.89%,-13.09%,-10.75%,-
Profit Margin,4.07%,7.41%,-5.78%,-34.03%,-11.31%,-2.91%,-4.53%,15.66%,-17.62%,10.91%,2.03%,5.95%,-21.89%,-12.09%,-5.15%,-12.66%,-2.80%,-19.86%,-14.34%,-4.40%,0.86%,0.83%,-99.76%,-4.06%,-7.17%,-17.23%,-6.07%,-2.23%,-9.71%,-11.56%,6.37%,2.27%,1.60%,-0.92%,-14.64%,-10.47%,-
Free Cash Flow Margin,-24.48%,-92.56%,5.25%,-28.14%,-33.62%,26.79%,9.25%,-2.73%,-13.35%,20.13%,5.98%,-34.06%,18.39%,32.11%,31.69%,8.68%,-9.15%,-39.56%,-1.74%,-12.74%,-15.83%,-31.73%,53.57%,13.07%,15.63%,-0.37%,3.95%,9.34%,14.15%,33.35%,-26.32%,-21.52%,-9.42%,43.59%,0.91%,-,-
Effective Tax Rate,-,-,-,-,-,-,-,3.21%,-,-0.21%,-8.85%,2.84%,-,-,-,-,-,-,-,-,7.79%,-20.11%,-,-,-,-,-,-,-,-,-3.76%,7.66%,-,-,-,-,-
EBITDA,1.69,-6.4,-0.57,-7.47,-1.98,0.15,-0.27,6.71,-3.68,4.3,1.46,2.67,-3.81,-2.09,-1.08,-1.83,0.16,-3.77,-2.73,-0.27,1.08,1.01,-18.53,-0.92,-1.29,-3.45,-1.05,-0.75,-1.63,-1.88,1.73,1.13,0.93,0.43,-1.79,-,-
EBITDA Margin,6.87%,-22.44%,-2.16%,-30.25%,-7.81%,0.55%,-1.03%,18.93%,-13.98%,14.33%,5.50%,10.54%,-17.66%,-8.33%,-4.53%,-8.02%,0.66%,-15.68%,-11.02%,-1.05%,4.34%,3.82%,-97.80%,-3.49%,-5.16%,-13.45%,-4.31%,-3.24%,-7.81%,-9.41%,9.07%,6.98%,5.98%,2.49%,-11.64%,-,-
Depreciation & Amortization,0,0.14,0.18,0.2,0.22,0.24,0.24,0.24,0.23,0.29,0.24,0.39,0.17,0.34,0.23,0.33,0.12,0.2,0.2,0.22,0.23,0.21,0.2,0.21,0.28,0.26,0.24,0.25,0.24,0.27,0.27,0.26,0.23,0.24,0.21,-,-
EBIT,1.69,-6.54,-0.75,-7.67,-2.2,-0.09,-0.51,6.47,-3.91,4.01,1.22,2.28,-3.98,-2.42,-1.31,-2.16,0.04,-3.97,-2.93,-0.49,0.85,0.8,-18.73,-1.13,-1.57,-3.71,-1.29,-0.99,-1.87,-2.15,1.46,0.87,0.71,0.19,-2,-1.6,-
EBIT Margin,6.86%,-22.93%,-2.83%,-31.07%,-8.67%,-0.31%,-1.91%,18.24%,-14.85%,13.36%,4.59%,9.01%,-18.44%,-9.68%,-5.50%,-9.48%,0.17%,-16.49%,-11.82%,-1.92%,3.42%,3.02%,-98.88%,-4.30%,-6.26%,-14.47%,-5.31%,-4.31%,-8.96%,-10.79%,7.67%,5.36%,4.53%,1.07%,-12.98%,-10.82%,-
