Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
Income Tax,2.83,3,4.15,1.74,3.72,1.11,2.89,2.52,1.36,-1.13,1.4,-3.12,-0.47,-0.14,2.26,0.78,0.4,0.59,-0.36,-2.59,-1.99,-12.38,-0.78,-1.01,-2.29,-2.05,2.54,-0.16,2.81,1.32,6.55,6.02,3.96,3.21,4.75
Net Income,10.87,12.48,11.91,6.15,6,0.67,6.63,6.23,2.41,7.29,5.81,1.28,1.76,-2.4,-0.66,1.52,-3.06,-7.35,-6.12,-16.71,-7.29,-14.61,-0.74,-2.16,-4.51,-4.01,4.03,-0.33,5.71,-2.29,14.76,12.16,6.24,5.03,7.47
Preferred Dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,7.1,12.75,12.61,12.81,10.69
Net Income Common,10.87,12.48,11.91,6.15,6,0.67,6.63,6.23,2.41,7.29,5.81,1.28,1.76,-2.4,-0.66,1.52,-3.06,-7.35,-6.12,-16.71,-7.29,-14.61,-0.74,-2.16,-4.51,-4.01,4.03,-0.33,5.71,-2.39,7.66,-0.59,-6.37,-7.77,-3.23
Net Income Growth,81.16%,1753.94%,79.75%,-1.30%,149.05%,-90.76%,14.06%,387.26%,37.24%,-,-,-15.97%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-47.47%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-
Shares Outstanding (Diluted),12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-,11,11,11,-,-,-,-,-,-
Shares Change,1.57%,0.12%,-0.09%,-0.35%,0.68%,5.05%,5.05%,4.71%,3.34%,-0.01%,0.07%,-0.07%,0.91%,0.57%,0.57%,0.89%,0.23%,0.23%,0.29%,0.19%,0.45%,0.69%,0.24%,-1.05%,-2.48%,-2.09%,-1.71%,-0.49%,0.64%,-,-,-,-,-,-
EPS (Basic),0.95,1.10,1.06,0.55,0.53,0.06,0.59,0.55,0.21,0.65,0.52,0.11,0.16,-0.22,-0.06,0.14,-0.27,-0.66,-0.55,-1.50,-0.65,-1.31,-0.06,-0.20,-0.40,-0.37,0.35,-0.05,0.50,-0.29,0.95,-0.10,-0.75,-0.95,-0.40
EPS (Diluted),0.91,1.06,1.01,0.52,0.51,0.06,0.56,0.53,0.21,0.65,0.52,0.11,0.16,-0.22,-0.06,0.14,-0.27,-0.66,-0.55,-1.50,-0.65,-1.31,-0.06,-0.20,-0.40,-0.37,0.35,-0.05,0.50,-0.29,0.95,-0.10,-0.75,-0.95,-0.40
EPS Growth,78.43%,1666.67%,80.36%,-1.89%,142.86%,-90.77%,7.69%,381.82%,31.25%,-,-,-21.43%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-63.16%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.34,1.42,1.21,0.25,-1.70,0.04,-0.83,1.91,-0.21,0.72,-0.31,0.72,0.20,0.44,-0.24,0.78,-1.10,0.69,-0.46,-0.19,-0.22,0.75,-0.06,-0.39,-0.75,1.65,0.11,1.17,1.15,-0.47,1.96,0.12,0.62,1.77,-
Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.225,0.225,0.225,0.225,0.225,0.225,-,-,-,-,-,-
Gross Margin,35.66%,37.57%,38.88%,35.79%,35.25%,33.19%,37.84%,39.79%,40.09%,36.80%,37.01%,32.35%,34.67%,30.20%,35.37%,33.45%,32.19%,30.62%,32.83%,32.34%,26.30%,30.35%,31.88%,30.39%,28.74%,30.33%,35.79%,30.80%,34.37%,33.59%,39.97%,37.51%,32.99%,33.31%,34.46%
Operating Margin,16.95%,18.06%,18.77%,13.27%,15.78%,9.87%,16.76%,16.94%,19.97%,14.79%,16.33%,6.92%,10.14%,5.00%,10.82%,15.08%,5.37%,-0.57%,6.61%,4.32%,-4.30%,-37.36%,5.53%,1.32%,-3.23%,-1.34%,14.41%,6.16%,15.82%,10.64%,24.77%,20.61%,15.13%,12.66%,17.72%
Profit Margin,9.00%,9.87%,9.56%,5.43%,5.39%,0.72%,6.65%,6.69%,2.71%,8.66%,7.02%,1.79%,2.37%,-3.30%,-0.92%,2.28%,-4.57%,-10.72%,-8.61%,-27.19%,-13.29%,-25.41%,-1.20%,-3.94%,-8.05%,-5.96%,4.96%,-0.44%,6.61%,-2.55%,7.12%,-0.62%,-8.24%,-8.85%,-4.17%
Free Cash Flow Margin,3.19%,12.81%,10.92%,2.46%,-17.16%,0.50%,-9.39%,22.98%,-2.67%,9.58%,-4.25%,11.39%,3.03%,6.86%,-3.74%,12.96%,-18.39%,11.20%,-7.29%,-3.48%,-4.51%,14.58%,-1.00%,-7.86%,-14.81%,27.10%,1.53%,17.88%,15.02%,-5.68%,20.60%,1.43%,9.08%,22.81%,-
Effective Tax Rate,20.65%,19.37%,25.84%,22.07%,38.25%,62.30%,30.35%,28.81%,36.07%,-18.30%,19.44%,-,-36.02%,-,141.04%,33.80%,-,-,-,-,-,-,-,-,-,-,38.69%,-,33.00%,-,30.75%,33.11%,38.81%,38.93%,38.89%
EBITDA,24.29,26.63,27.22,18.61,21.2,12.69,20.27,19.61,16.97,16.79,17.49,9.15,11.62,7.81,12.14,13.01,7.9,3.71,3.94,-8.75,1.14,-17.59,7.96,6.13,2.8,3.27,15.81,8.77,17.67,13.36,29.76,23.77,16.15,13.92,-
EBITDA Margin,20.10%,21.06%,21.85%,16.42%,19.02%,13.61%,20.35%,21.03%,19.05%,19.95%,21.15%,12.82%,15.71%,10.76%,16.93%,19.44%,11.81%,5.41%,5.55%,-14.24%,2.08%,-30.60%,13.05%,11.17%,5.00%,4.85%,19.46%,11.89%,20.46%,14.28%,27.63%,24.88%,20.89%,15.84%,-
Depreciation & Amortization,3.8,3.87,3.84,3.57,3.61,3.49,3.57,3.82,4.22,4.39,3.98,4.22,4.24,4.31,4.45,4.27,4.22,4.27,4.26,4.97,4.91,4.08,4.17,4.14,4.53,4.4,4.23,4.19,4.11,4.14,3.82,3.98,4.06,3.57,-
EBIT,20.48,22.76,23.38,15.04,17.59,9.2,16.7,15.79,12.75,12.4,13.51,4.94,7.38,3.51,7.69,8.74,3.67,-0.57,-0.32,-13.72,-3.77,-21.67,3.79,1.99,-1.74,-1.13,11.58,4.58,13.56,9.22,25.94,19.79,12.09,10.36,14.17
EBIT Margin,16.95%,18.00%,18.77%,13.27%,15.78%,9.87%,16.76%,16.94%,14.31%,14.73%,16.33%,6.92%,9.98%,4.83%,10.72%,13.06%,5.49%,-0.82%,-0.45%,-22.32%,-6.87%,-37.70%,6.21%,3.63%,-3.10%,-1.68%,14.25%,6.21%,15.70%,9.86%,24.08%,20.71%,15.64%,11.79%,18.31%
