Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
EPS (Diluted),-1.46,-4.61,0.63,-0.65,0.03,-0.65,-1.02,2.39,0.59,0.09,0.31,0.53,0.87,0.69,0.60,0.36,0.79,-0.30,-1.03,0.33,0.50,0.15,0.25,0.42,0.43,-,-,-
EPS Growth,-,-,-,-,-94.92%,-,-,350.94%,-32.18%,-86.96%,-48.33%,47.22%,10.13%,-,-,9.09%,58.00%,-,-,-21.43%,16.28%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.35,-0.53,2.01,2.64,1.79,2.33,1.21,1.15,2.60,2.20,0.89,2.92,3.64,4.38,3.37,3.62,2.96,3.59,2.30,2.77,2.69,10.20,-0.57,-0.29,1.42,6.26,-,-
Dividend Per Share,-,-,0.110,0.110,0.110,0.110,0.110,0.110,0.055,0.055,0.055,0.055,0.055,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,-,-,0%,0%,100.00%,100.00%,100.00%,100.00%,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,46.33%,33.08%,47.33%,35.58%,44.33%,31.59%,38.27%,44.47%,51.78%,15.26%,49.96%,58.03%,59.59%,43.86%,55.73%,53.31%,60.09%,52.06%,42.74%,51.28%,60.85%,55.21%,51.46%,54.13%,58.28%,46.00%,49.33%,-
Operating Margin,17.96%,-3.02%,14.27%,5.98%,20.21%,-6.85%,11.55%,17.56%,33.15%,18.89%,21.15%,30.13%,34.01%,33.86%,33.43%,30.13%,32.13%,28.80%,23.34%,29.42%,40.48%,36.43%,24.73%,30.00%,38.02%,24.05%,25.65%,-
Profit Margin,-40.58%,-152.35%,18.90%,-14.91%,0.69%,-22.10%,-30.34%,73.33%,16.04%,3.38%,10.12%,16.75%,21.70%,17.57%,15.80%,11.05%,21.10%,-9.11%,-33.16%,10.59%,13.39%,4.53%,6.27%,10.79%,10.22%,6.93%,11.61%,-
Free Cash Flow Margin,-9.67%,-17.72%,60.05%,60.96%,37.56%,71.73%,36.13%,33.69%,67.14%,68.24%,28.50%,90.50%,88.76%,105.54%,86.20%,110.50%,78.25%,105.68%,74.32%,83.95%,70.48%,286.10%,-13.77%,-7.19%,33.06%,171.45%,-,-
Effective Tax Rate,-,-,40.34%,-,45.29%,-,-,24.64%,24.71%,45.35%,-6.82%,4.62%,5.22%,24.52%,29.10%,30.69%,21.33%,-,-,24.48%,32.99%,64.52%,50.40%,39.39%,36.22%,44.02%,38.99%,-
EBITDA,29.2,-143.22,102.65,17.8,50.6,-1.08,-22.32,169.56,58.68,31.06,34.8,45.91,60.1,62.17,60.6,45.96,69.7,10.49,-35.91,46.1,61.65,44.14,43.32,50.12,54.11,37.94,-,-
EBITDA Margin,19.92%,-117.06%,75.63%,10.18%,26.26%,-0.82%,-16.11%,118.97%,36.58%,23.49%,27.35%,34.83%,35.92%,36.15%,34.95%,30.18%,39.71%,6.69%,-25.33%,30.56%,35.44%,31.20%,27.81%,33.08%,33.23%,27.42%,-,-
Depreciation & Amortization,9.02,8.34,9.5,8.67,9.81,7.27,7.29,7.44,4.97,4.19,4.36,4.45,4.5,4.45,4.61,4.65,4.92,4.71,4.62,4.47,4.54,4.07,4.79,4.68,4.65,4.66,-,-
EBIT,20.18,-151.56,93.15,9.12,40.78,-8.35,-29.61,162.13,53.72,26.88,30.44,41.45,55.6,57.72,55.99,41.31,64.78,5.78,-40.53,41.63,57.11,40.07,38.53,45.45,49.45,33.28,41.85,-
EBIT Margin,13.77%,-123.87%,68.63%,5.22%,21.17%,-6.39%,-21.37%,113.75%,33.49%,20.32%,23.92%,31.45%,33.23%,33.56%,32.29%,27.13%,36.90%,3.69%,-28.59%,27.60%,32.83%,28.33%,24.73%,30.00%,30.37%,24.05%,30.79%,-
