Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31
Net Income Growth,15.76%,39.57%,7.37%,-31.57%,0.05%,-7.64%,-1.26%,332.65%,48.44%,-8.99%,-12.26%,-72.32%,-44.42%,13.07%,10.11%,4.89%,2.89%,413.48%,15.46%,21.37%,19.77%,-79.34%,9.63%,3.71%,-13.42%,12.63%,-3.01%,0.55%,-,-,-,-,-
Shares Outstanding (Basic),127,127,127,128,128,128,129,129,130,130,130,130,130,130,133,134,135,135,135,138,140,140,140,140,140,140,140,139,139,139,139,139,139
Shares Outstanding (Diluted),128,128,128,128,128,128,129,130,131,130,130,130,130,131,133,135,135,135,136,138,140,140,140,140,140,140,140,139,139,139,139,139,-
Shares Change,-0.07%,-0.41%,-1.09%,-1.40%,-1.89%,-1.55%,-0.67%,-0.14%,0.18%,-0.28%,-2.10%,-3.45%,-3.58%,-3.08%,-2.06%,-2.47%,-3.24%,-3.29%,-2.88%,-1.13%,0.07%,0.05%,0.14%,0.13%,0.13%,0.06%,0.03%,-,-,-,-,-,-
EPS (Basic),0.52,0.62,0.54,0.46,0.45,0.45,0.50,0.67,0.44,0.48,0.50,0.15,0.30,0.52,0.56,0.54,0.52,0.45,0.50,0.50,0.49,0.09,0.42,0.41,0.41,0.41,0.38,0.39,0.47,0.36,0.39,0.39,-
EPS (Diluted),0.52,0.63,0.54,0.46,0.45,0.44,0.50,0.67,0.44,0.48,0.50,0.15,0.30,0.52,0.56,0.54,0.52,0.45,0.50,0.50,0.49,0.09,0.42,0.41,0.41,0.41,0.38,0.39,0.47,0.36,0.39,0.39,-
EPS Growth,15.56%,43.18%,8.00%,-31.34%,2.27%,-8.33%,0%,346.67%,46.67%,-7.69%,-10.71%,-72.22%,-42.31%,15.56%,12.00%,8.00%,6.12%,400.00%,19.05%,21.95%,19.51%,-78.05%,10.53%,5.13%,-12.77%,13.89%,-2.56%,0%,-,-,-,-,-
Free Cash Flow Per Share,0.64,0.97,1.19,0.75,0.50,0.90,0.35,0.69,1.16,0.79,-0.11,1.19,-0.51,0.91,0.16,0.55,0.40,0.47,0.60,0.87,0.36,0.40,0.41,0.65,0.46,0.26,0.26,0.60,0.34,-0.11,0.95,-,-
Dividend Per Share,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.240,0.240,0.240,0.240,0.220,0.220,0.220,0.220,0.200,-,-,-,-,-,-,-
Dividend Growth,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8.33%,8.33%,8.33%,8.33%,9.09%,9.09%,9.09%,9.09%,10.00%,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,42.85%,47.50%,44.83%,42.02%,42.52%,39.21%,45.88%,53.96%,44.34%,47.80%,48.47%,22.52%,34.25%,49.99%,51.59%,51.03%,50.33%,47.85%,49.43%,50.39%,50.34%,51.20%,52.50%,51.00%,51.11%,50.79%,51.08%,52.41%,55.26%,47.81%,52.61%,51.89%,-
Profit Margin,32.21%,36.68%,33.60%,31.53%,31.89%,31.87%,34.43%,40.19%,33.34%,36.57%,36.61%,16.99%,26.49%,37.26%,38.43%,38.02%,37.50%,35.02%,36.58%,37.29%,37.25%,6.35%,32.70%,32.07%,32.26%,30.60%,31.45%,33.27%,34.47%,29.78%,32.77%,32.32%,-
Free Cash Flow Margin,39.08%,57.04%,73.54%,51.10%,35.12%,64.48%,24.34%,41.46%,86.93%,60.95%,-8.26%,130.73%,-45.25%,65.06%,10.73%,38.92%,28.87%,37.07%,44.37%,65.08%,27.28%,30.12%,32.21%,51.24%,36.38%,19.75%,21.74%,50.58%,25.21%,-8.91%,78.82%,-,-
Effective Tax Rate,24.84%,22.78%,25.04%,24.96%,25.00%,18.72%,24.96%,25.52%,24.80%,23.49%,24.48%,24.58%,22.65%,25.47%,25.50%,25.50%,25.50%,26.81%,25.99%,26.00%,26.00%,87.60%,37.71%,37.12%,36.89%,39.75%,38.43%,36.52%,37.63%,37.72%,37.71%,37.71%,-
EBITDA,99.73,115.67,105.35,94.4,92.54,80.16,99.93,130.39,90.36,94.17,101.74,43.52,67.37,108.87,116.61,115.6,108.45,94.98,105.39,107.65,105.06,110.01,109.75,106.34,104.28,106.26,101.76,105.36,110.63,73.18,105.98,-,-
EBITDA Margin,48.07%,53.31%,51.29%,50.14%,51.13%,44.81%,53.52%,60.41%,52.23%,55.78%,57.21%,36.87%,45.92%,59.79%,60.40%,60.68%,58.15%,55.44%,57.22%,58.13%,57.59%,59.75%,61.49%,59.94%,59.28%,57.50%,60.12%,63.89%,58.19%,43.40%,63.27%,-,-
Depreciation & Amortization,10.83,12.61,13.27,15.29,15.58,10.01,14.27,13.92,13.64,13.47,15.54,16.94,17.12,17.85,17.02,18.37,14.59,13.01,14.34,14.34,13.22,15.75,16.05,15.86,14.36,12.39,15.29,18.93,5.56,-7.44,17.85,-,-
EBIT,88.9,103.07,92.08,79.11,76.96,70.15,85.66,116.46,76.72,80.7,86.2,26.58,50.25,91.02,99.6,97.23,93.86,81.97,91.06,93.32,91.84,94.26,93.7,90.48,89.91,93.87,86.47,86.43,105.07,80.62,88.13,87.59,-
EBIT Margin,42.85%,47.50%,44.83%,42.02%,42.52%,39.21%,45.88%,53.96%,44.34%,47.80%,48.47%,22.52%,34.25%,49.99%,51.59%,51.03%,50.33%,47.85%,49.43%,50.39%,50.34%,51.20%,52.50%,51.00%,51.11%,50.79%,51.08%,52.41%,55.26%,47.81%,52.61%,51.89%,-
