Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
Net Income Growth,56.19%,14.98%,22.36%,-,-53.60%,-48.88%,6.46%,-22.61%,1205.95%,209.07%,121.00%,85.91%,-87.41%,-13.18%,5.96%,56.46%,30.53%,-5.81%,14.74%,27.98%,33.07%,58.97%,17.65%,27.24%,5.21%,6.27%,7.31%,5.90%,43.14%,28.32%,28.63%,8.54%,-,-,-,-,-
Shares Outstanding (Basic),"1,129","1,139","1,154","1,158","1,163","1,174","1,174","1,174","1,173","1,173","1,172","1,173","1,173","1,174","1,175","1,175","1,171","1,175","1,181","1,187","1,192","1,203","1,202","1,202","1,203","1,207","1,207","1,210","1,216","1,225","1,221","1,218","1,218","1,218","1,218","1,218","1,218"
Shares Outstanding (Diluted),"1,134","1,143","1,157","1,158","1,172","1,183","1,187","1,186","1,190","1,190","1,190","1,184","1,185","1,188","1,188","1,187","1,188","1,194","1,199","1,202","1,217","1,230","1,223","1,215","1,216","1,218","1,214","1,215","1,225","1,235","1,227","1,224","1,224","1,224","1,224","1,224",-
Shares Change,-3.24%,-3.38%,-2.53%,-2.36%,-1.51%,-0.59%,-0.25%,0.17%,0.42%,0.17%,0.17%,-0.25%,-0.25%,-0.50%,-0.92%,-1.25%,-2.38%,-2.93%,-1.96%,-1.07%,0.08%,0.99%,0.74%,-,-0.73%,-1.38%,-1.06%,-0.74%,0.08%,0.90%,0.25%,-,0.49%,-,-,-,-
EPS (Basic),0.70,0.81,1.15,-0.29,0.44,0.68,0.93,1.01,0.94,1.33,0.87,1.30,0.07,0.43,0.39,0.70,0.57,0.50,0.37,0.44,0.43,0.51,0.32,0.34,0.32,0.33,0.27,0.27,0.30,0.29,0.25,0.25,0.21,0.23,0.19,0.23,-
EPS (Diluted),0.70,0.80,1.15,-0.29,0.43,0.68,0.92,1.00,0.92,1.32,0.86,1.29,0.07,0.43,0.39,0.69,0.56,0.49,0.36,0.44,0.42,0.51,0.31,0.34,0.32,0.32,0.27,0.27,0.30,0.30,0.25,0.25,0.21,0.23,0.19,0.23,-
EPS Growth,62.79%,17.65%,25.00%,-,-53.26%,-48.48%,6.98%,-22.48%,1214.29%,206.98%,120.51%,86.96%,-87.50%,-12.24%,8.33%,56.82%,33.33%,-3.92%,16.13%,29.41%,31.25%,59.38%,14.81%,25.93%,6.67%,6.67%,8.00%,8.00%,42.86%,30.43%,31.58%,8.70%,-,-,-,-,-
Free Cash Flow Per Share,0.89,0.88,1.53,1.12,0.89,0.86,1.10,0.90,1.31,1.27,0.92,1.35,1.14,0.51,0.80,0.88,0.69,0.77,3.77,-0.14,-0.44,-0.27,0.70,0.62,0.50,0.64,0.51,0.41,0.50,0.46,0.44,0.33,0.29,0.42,0.35,-,-
Gross Margin,40.16%,42.39%,43.56%,40.82%,42.62%,44.58%,46.04%,48.48%,49.18%,47.63%,48.43%,48.56%,40.91%,44.93%,44.47%,45.55%,44.82%,45.69%,45.40%,47.26%,47.84%,57.99%,44.09%,45.57%,46.08%,46.70%,46.53%,47.81%,48.78%,49.37%,49.69%,52.24%,53.11%,54.26%,50.68%,53.00%,-
Operating Margin,14.19%,16.85%,16.33%,11.23%,10.97%,15.18%,16.87%,18.07%,17.27%,15.75%,17.90%,18.08%,8.62%,16.11%,15.92%,16.38%,12.55%,14.15%,13.30%,14.83%,14.49%,22.52%,13.06%,13.71%,14.49%,15.43%,13.05%,14.00%,16.00%,16.08%,14.61%,17.33%,15.07%,15.87%,13.77%,16.64%,-
Profit Margin,11.29%,12.47%,19.43%,-5.01%,7.85%,11.58%,17.58%,18.98%,18.18%,25.62%,18.70%,29.08%,1.82%,10.22%,10.55%,19.12%,16.16%,13.82%,11.84%,13.64%,13.87%,16.56%,11.73%,13.11%,12.91%,13.08%,12.11%,12.19%,14.35%,14.36%,13.33%,13.28%,11.93%,13.04%,11.85%,14.17%,-
Free Cash Flow Margin,14.22%,13.53%,25.80%,19.00%,15.87%,14.59%,20.83%,16.99%,25.48%,24.30%,19.66%,30.03%,28.89%,12.09%,21.47%,24.04%,19.60%,21.53%,120.74%,-4.41%,-14.30%,-8.73%,25.96%,23.82%,20.27%,25.86%,23.17%,18.68%,23.78%,22.07%,23.65%,17.50%,16.38%,23.16%,21.82%,-,-
Effective Tax Rate,25.98%,17.03%,15.72%,795.92%,19.08%,-13.46%,6.70%,12.68%,-25.80%,15.71%,10.75%,14.95%,68.06%,40.63%,4.55%,12.73%,6.97%,14.87%,18.20%,13.63%,6.75%,28.24%,15.74%,8.05%,12.33%,16.84%,10.28%,15.00%,13.51%,12.20%,14.00%,23.56%,20.56%,17.58%,15.22%,13.80%,-
EBITDA,"1,344","1,436","1,908",382,957,"1,032","1,488","1,672","1,172","2,160","1,442","2,096",556,"1,081",711,"1,171",947,909,721,789,733,"1,091",645,648,621,658,545,556,596,582,503,549,462,479,405,-,-
EBITDA Margin,19.09%,19.45%,27.87%,5.61%,14.76%,14.92%,24.07%,26.80%,19.43%,35.32%,26.42%,39.84%,12.04%,21.79%,16.24%,27.20%,22.94%,21.51%,19.58%,20.46%,19.89%,29.14%,19.91%,20.66%,20.87%,22.07%,20.43%,20.98%,23.43%,22.77%,22.28%,23.90%,21.62%,21.84%,20.51%,-,-
Depreciation & Amortization,270,326,330,333,328,326,323,316,300,301,298,297,293,227,227,228,230,223,188,180,185,227,194,201,183,189,185,176,174,164,153,150,141,132,129,-,-
EBIT,"1,074","1,110","1,578",49,629,706,"1,165","1,356",872,"1,859","1,144","1,799",263,854,484,943,717,686,533,609,548,864,451,447,438,469,360,380,422,418,350,399,321,347,276,326,-
EBIT Margin,15.26%,15.03%,23.05%,0.72%,9.70%,10.21%,18.85%,21.74%,14.45%,30.40%,20.96%,34.20%,5.70%,17.21%,11.06%,21.90%,17.37%,16.23%,14.47%,15.79%,14.87%,23.08%,13.92%,14.25%,14.72%,15.73%,13.50%,14.34%,16.59%,16.35%,15.50%,17.37%,15.02%,15.82%,13.97%,16.44%,-
