Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31
Net Income,9.61,17.73,-4.62,7.66,10.21,-66.29,-23.89,20.84,-103.46,-20.26,26.28,35.61,-36.82,20.47,-25.17,20.31,22.73,11.63,19.58,16.98,15.63,0.22,10.35,14.54,18.45,25.67,21.37,14.6,12.84,12.67,18.96,12.49,9.38,8.87,17.17,9.51,9.14,-,-
Preferred Dividends,2.63,2.63,2.63,2.63,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Net Income Common,6.98,15.1,-7.25,5.04,9.33,-66.29,-23.89,20.84,-103.46,-20.26,26.28,35.61,-36.82,20.47,-25.17,20.31,22.73,11.63,19.58,16.98,15.63,0.22,10.35,14.54,18.45,25.67,21.37,14.6,12.84,12.67,18.96,12.49,9.38,8.87,17.17,9.51,9.14,-,-
Net Income Growth,-25.16%,-,-,-75.82%,-,-,-,-41.48%,-,-,-,75.38%,-,75.99%,-,19.57%,45.38%,5092.86%,89.17%,16.80%,-15.27%,-99.13%,-51.55%,-0.38%,43.73%,102.62%,12.68%,16.87%,36.90%,42.91%,10.44%,31.28%,2.62%,-,-,-,-,-,-
Shares Outstanding (Basic),38,37,37,37,37,37,37,34,31,31,31,31,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,36
Shares Outstanding (Diluted),38,38,37,38,38,37,37,35,31,31,31,31,30,31,30,31,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,-,-
Shares Change,0.61%,0.89%,0.46%,9.09%,22.27%,20.38%,20.46%,12.36%,0.78%,0.99%,1.86%,0.30%,0.01%,1.18%,0.01%,1.30%,0.92%,0.41%,0.53%,-0.04%,-0.44%,0.54%,0.95%,1.61%,1.97%,1.58%,1.76%,2.09%,2.21%,2.52%,2.17%,1.48%,1.10%,-5.14%,-19.42%,-,-,-,-
EPS (Basic),0.19,0.40,-0.19,0.13,0.25,-1.82,-0.64,0.61,-3.37,-0.66,0.86,1.17,-1.21,0.68,-0.83,0.67,0.76,0.39,0.65,0.57,0.53,0.01,0.35,0.49,0.63,0.88,0.73,0.50,0.44,0.44,0.66,0.44,0.33,0.31,0.60,0.33,0.32,-,-
EPS (Diluted),0.18,0.40,-0.19,0.13,0.25,-1.82,-0.64,0.60,-3.37,-0.65,0.85,1.16,-1.21,0.67,-0.83,0.66,0.75,0.39,0.64,0.56,0.52,0.01,0.34,0.48,0.61,0.85,0.71,0.49,0.43,0.42,0.64,0.43,0.32,0.31,0.60,0.33,0.32,-,-
EPS Growth,-28.00%,-,-,-78.33%,-,-,-,-48.28%,-,-,-,75.76%,-,71.79%,-,17.86%,44.23%,3800.00%,88.24%,16.67%,-14.75%,-98.82%,-52.11%,-2.04%,41.86%,102.38%,10.94%,13.95%,34.38%,35.48%,6.67%,30.30%,0%,-,-,-,-,-,-
Free Cash Flow Per Share,0.48,1.36,0.73,1.94,1.70,3.87,-26.00,-0.40,-2.64,-1.70,-2.81,-2.32,-2.15,41.93,4.79,1.08,1.18,1.29,2.93,3.86,1.62,3.00,1.86,1.66,0.52,2.49,1.82,0.97,0.02,0.59,1.90,0.82,0.87,1.51,1.37,0.82,0.86,-,-
Dividend Per Share,0.050,0.050,0.050,0.050,0.050,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.800,0.300,0.300,0.300,1.650,0.200,0.200,0.200,0.160,0.160,0.160,0.160,-,-,-,-,-,-
Dividend Growth,0%,-83.33%,-83.33%,-83.33%,-83.33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-62.50%,0%,0%,0%,-51.52%,50.00%,50.00%,50.00%,931.25%,25.00%,25.00%,25.00%,-,-,-,-,-,-,-,-,-,-
Gross Margin,34.09%,40.27%,23.96%,34.33%,32.85%,-17.09%,13.04%,42.58%,-49.47%,8.96%,40.18%,47.12%,12.18%,29.07%,7.51%,33.27%,34.65%,29.37%,33.07%,32.21%,34.15%,22.70%,31.88%,35.23%,40.27%,45.61%,44.95%,43.01%,44.03%,44.14%,49.88%,43.50%,41.10%,45.79%,51.27%,42.57%,43.71%,-,-
Operating Margin,8.22%,16.17%,0.17%,7.74%,7.83%,-30.94%,-9.99%,18.13%,-75.75%,-7.87%,18.53%,22.88%,-34.77%,13.00%,-10.72%,12.55%,13.22%,7.55%,11.17%,9.41%,8.99%,3.83%,7.20%,8.78%,12.53%,17.33%,16.09%,13.11%,12.57%,13.20%,17.13%,12.89%,9.46%,6.52%,18.43%,11.01%,11.77%,-,-
Profit Margin,2.96%,6.69%,-3.60%,2.73%,4.62%,-31.97%,-12.51%,10.88%,-56.54%,-10.43%,14.81%,19.07%,-33.38%,8.49%,-10.87%,9.21%,10.61%,5.42%,8.71%,7.45%,7.16%,0.10%,4.69%,7.18%,10.46%,15.19%,14.12%,10.85%,9.77%,10.13%,14.24%,10.39%,7.41%,7.35%,15.35%,8.91%,9.17%,-,-
Free Cash Flow Margin,7.71%,22.57%,13.63%,39.24%,31.51%,69.64%,-507.54%,-7.24%,-44.27%,-26.78%,-48.42%,-37.91%,-59.53%,528.78%,62.82%,14.80%,16.49%,18.04%,39.03%,50.62%,22.07%,40.80%,24.89%,24.09%,8.58%,42.94%,34.92%,21.05%,0.45%,13.49%,41.06%,19.58%,19.68%,35.69%,34.98%,22.00%,24.77%,-,-
Effective Tax Rate,24.61%,41.33%,-,25.31%,24.56%,-,-,35.83%,-,-,14.52%,10.43%,-,29.00%,-,18.65%,10.84%,11.21%,11.46%,8.23%,8.65%,96.28%,23.83%,6.52%,7.67%,5.40%,4.08%,6.42%,10.44%,13.97%,9.84%,9.20%,8.64%,-43.49%,9.89%,6.78%,10.31%,-,-
EBITDA,19.36,37.55,0.34,14.31,15.82,-59.44,-19.07,34.73,-138.61,-10.27,32.88,42.73,-38.34,35.4,-24.82,27.65,28.3,20.41,25.11,21.45,19.64,10.47,15.89,17.78,22.11,31.71,24.35,17.64,16.51,18.51,22.8,15.5,11.97,10.63,20.61,11.76,11.74,-,-
EBITDA Margin,8.22%,16.63%,0.17%,7.74%,7.83%,-28.67%,-9.99%,18.13%,-75.75%,-5.29%,18.53%,22.88%,-34.77%,14.68%,-10.72%,12.55%,13.22%,9.51%,11.17%,9.41%,8.99%,4.80%,7.20%,8.78%,12.53%,18.76%,16.09%,13.11%,12.57%,14.80%,17.13%,12.89%,9.46%,8.80%,18.43%,11.01%,11.77%,-,-
Depreciation & Amortization,0,1.05,0,0,0,4.72,0,0,0,5.02,0,0,0,4.06,0,0,0,4.22,0,0,0,2.12,0,0,0,2.41,0,0,0,2,0,0,0,2.76,0,0,0,-,-
EBIT,19.36,36.5,0.34,14.31,15.82,-64.16,-19.07,34.73,-138.61,-15.29,32.88,42.73,-38.34,31.34,-24.82,27.65,28.3,16.2,25.11,21.45,19.64,8.34,15.89,17.78,22.11,29.29,24.35,17.64,16.51,16.51,22.8,15.5,11.97,7.87,20.61,11.76,11.74,-,-
EBIT Margin,8.22%,16.17%,0.17%,7.74%,7.83%,-30.94%,-9.99%,18.13%,-75.75%,-7.87%,18.53%,22.88%,-34.77%,13.00%,-10.72%,12.55%,13.22%,7.55%,11.17%,9.41%,8.99%,3.83%,7.20%,8.78%,12.53%,17.33%,16.09%,13.11%,12.57%,13.20%,17.13%,12.89%,9.46%,6.52%,18.43%,11.01%,11.77%,-,-
