Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Net Income,590,567,692,793,922,803,"1,130","1,232","1,014",728,303,37,275,731,"1,056",853,"1,107",783,671,696,640,385,555,496,499,576,604,489,582,547,574,541,552,531,548,472,558,443,641,536
Net Income Growth,-36.01%,-29.39%,-38.76%,-35.63%,-9.07%,10.30%,272.94%,3229.73%,268.73%,-0.41%,-71.31%,-95.66%,-75.16%,-6.64%,57.38%,22.56%,72.97%,103.38%,20.90%,40.32%,28.26%,-33.16%,-8.11%,1.43%,-14.26%,5.30%,5.23%,-9.61%,5.43%,3.01%,4.74%,14.62%,-1.08%,19.86%,-14.51%,-11.94%,-,-,-,-
Shares Outstanding (Basic),437,451,482,501,521,547,570,582,584,584,584,584,613,646,663,689,710,719,741,755,760,783,795,811,811,825,834,834,834,834,834,834,834,834,834,705,830,830,-,705
Shares Outstanding (Diluted),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,705,-,-,-,705
Shares Change,-16.16%,-17.67%,-15.44%,-13.77%,-10.72%,-6.26%,-2.41%,-0.36%,-4.82%,-9.66%,-12.01%,-15.32%,-13.58%,-10.09%,-10.43%,-8.67%,-6.62%,-8.16%,-6.87%,-6.94%,-6.24%,-5.19%,-4.63%,-2.75%,-2.76%,-1.00%,0.02%,0.02%,0.01%,0.01%,0.00%,18.22%,0.42%,0.42%,-,-,-,-,-,-
EPS (Basic),1.36,1.30,1.48,1.61,1.79,1.51,2.02,2.13,1.74,1.24,0.52,0.06,0.45,1.17,1.60,1.25,1.57,1.08,0.91,0.93,0.84,0.50,0.70,0.62,0.61,0.70,0.73,0.59,0.70,0.66,0.69,0.65,0.66,0.62,0.70,0.67,0.79,0.63,0.91,0.76
EPS (Diluted),1.35,1.29,1.47,1.60,1.77,1.50,2.00,2.12,1.73,1.23,0.52,0.06,0.45,1.16,1.60,1.24,1.56,1.08,0.91,0.92,0.83,0.49,0.70,0.61,0.61,0.70,0.73,0.58,0.70,0.65,0.69,0.65,0.66,0.62,0.70,0.67,0.79,0.63,0.91,0.76
EPS Growth,-23.73%,-14.00%,-26.50%,-24.53%,2.31%,21.95%,284.62%,3433.33%,284.44%,6.03%,-67.50%,-95.16%,-71.15%,7.41%,75.82%,34.78%,87.95%,120.41%,30.00%,50.82%,36.07%,-30.00%,-4.11%,5.17%,-12.86%,7.69%,5.80%,-10.77%,6.06%,4.84%,-1.43%,-2.99%,-16.46%,-1.59%,-23.08%,-11.84%,-,-,-,-
Free Cash Flow Per Share,4.32,4.10,3.39,3.62,2.68,3.66,3.19,2.48,3.15,3.57,2.54,4.08,2.50,3.62,3.62,2.85,3.23,3.58,3.63,2.87,2.52,3.15,3.65,2.13,1.82,2.09,2.18,1.76,1.80,2.27,1.58,1.57,2.00,1.25,1.55,1.74,2.13,1.38,-,-
Dividend Per Share,0.230,0.230,0.230,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.210,0.210,0.210,0.210,0.150,0.150,0.150,0.150,0.130,0.130,0.130,0.130,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,4.55%,4.55%,4.55%,0%,0%,0%,0%,0%,0%,0%,0%,4.76%,4.76%,4.76%,4.76%,40.00%,40.00%,40.00%,40.00%,15.38%,15.38%,15.38%,15.38%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,41.38%,39.16%,46.42%,49.60%,54.27%,48.27%,60.95%,63.38%,58.52%,48.56%,27.86%,5.65%,27.60%,46.05%,56.38%,51.60%,58.36%,48.42%,45.87%,47.78%,46.16%,47.43%,47.85%,46.38%,46.27%,49.73%,52.85%,47.89%,53.70%,49.94%,52.16%,51.68%,54.21%,51.85%,54.70%,48.94%,59.33%,46.16%,63.97%,60.32%
Profit Margin,30.91%,29.97%,34.84%,36.90%,40.58%,37.02%,45.92%,47.59%,45.13%,37.45%,20.49%,3.54%,19.87%,36.55%,43.30%,38.99%,44.19%,37.46%,34.46%,37.28%,34.88%,20.87%,30.21%,29.19%,29.53%,31.54%,33.15%,30.37%,33.68%,31.47%,32.58%,32.47%,33.89%,32.28%,34.10%,30.24%,37.20%,29.55%,40.16%,37.77%
Free Cash Flow Margin,98.80%,97.62%,82.28%,84.55%,61.44%,92.39%,73.75%,55.66%,81.84%,107.30%,100.27%,227.85%,111.05%,116.80%,98.36%,89.85%,91.38%,123.25%,137.90%,116.01%,104.36%,133.82%,157.97%,101.47%,87.57%,94.41%,99.62%,91.43%,86.81%,108.69%,74.74%,78.81%,102.21%,63.59%,80.58%,78.60%,118.13%,76.38%,110.53%,-
Effective Tax Rate,24.26%,22.44%,24.04%,24.83%,24.61%,22.57%,24.11%,24.46%,22.24%,22.06%,24.63%,22.92%,25.88%,20.63%,23.20%,24.45%,24.28%,22.63%,24.86%,21.97%,24.44%,56.00%,36.86%,37.06%,36.19%,36.56%,37.28%,36.58%,37.28%,36.98%,37.54%,37.17%,37.49%,37.75%,37.66%,38.22%,37.30%,35.98%,37.22%,37.38%
EBITDA,890,832,"1,016","1,161","1,330","1,142","1,582","1,728","1,399","1,027",499,145,467,"1,015","1,469","1,221","1,549","1,092",971,965,918,942,948,847,841,963,"1,019",825,982,915,965,905,920,888,912,796,921,719,"1,046",-
EBITDA Margin,46.62%,43.97%,51.16%,54.03%,58.54%,52.65%,64.28%,66.74%,62.26%,52.83%,33.74%,13.88%,33.74%,50.75%,60.23%,55.80%,61.84%,52.25%,49.87%,51.69%,50.03%,51.06%,51.61%,49.85%,49.76%,52.74%,55.93%,51.24%,56.83%,52.65%,54.77%,54.32%,56.48%,53.98%,56.75%,50.99%,61.40%,47.97%,65.54%,-
Depreciation & Amortization,111,101,105,106,107,105,93,97,95,93,97,97,96,94,94,92,87,80,78,73,71,67,69,59,59,55,56,54,54,47,46,44,37,35,33,32,31,27,25,-
EBIT,779,731,911,"1,055","1,223","1,037","1,489","1,631","1,304",934,402,48,371,921,"1,375","1,129","1,462","1,012",893,892,847,875,879,788,782,908,963,771,928,868,919,861,883,853,879,764,890,692,"1,021",856
EBIT Margin,40.81%,38.64%,45.87%,49.09%,53.83%,47.81%,60.50%,63.00%,58.03%,48.05%,27.18%,4.59%,26.81%,46.05%,56.38%,51.60%,58.36%,48.42%,45.87%,47.78%,46.16%,47.43%,47.85%,46.38%,46.27%,49.73%,52.85%,47.89%,53.70%,49.94%,52.16%,51.68%,54.21%,51.85%,54.70%,48.94%,59.33%,46.16%,63.97%,60.32%
