Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
Net Income Growth,-,-,-,-,-,-,-,-,81.53%,-14.00%,-5.50%,-,-,735.59%,77.96%,-,-,-,32.43%,-,-,-,-
Shares Outstanding (Basic),6,6,6,6,6,6,6,5,5,5,4,5,6,6,6,6,6,6,6,6,-,-,-
Shares Outstanding (Diluted),6,6,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,-,-,-,-,-,-
Shares Change,-5.76%,-6.69%,-0.47%,27.03%,25.05%,15.97%,33.00%,1.02%,-24.14%,-16.84%,-27.00%,-26.40%,0.09%,-3.49%,-3.53%,-3.60%,-,-,-,-,-,-,-
EPS (Basic),-0.07,-,0.02,-0.04,-0.01,-0.05,-0.02,-0.01,0.11,0.08,0.09,0.04,0.05,0.08,0.07,-,-0.08,-,-,-,-,-,-
EPS (Diluted),-0.07,-,0.02,-0.04,-0.01,-0.05,-0.02,-0.01,0.11,0.08,0.09,0.04,0.05,0.08,0.07,-,-0.08,-,-,-,-,-,-
EPS Growth,-,-,-,-,-,-,-,-,139.13%,-4.76%,32.35%,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.21,0.14,0.20,0.16,-0.09,-1.42,1.73,0.34,-0.24,0.76,0.36,-0.68,-0.22,0.58,0.03,-0.32,-0.12,-0.27,0.15,0.26,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-13.03%,0.56%,3.30%,-11.30%,-3.00%,-8.81%,-4.74%,-2.56%,14.29%,10.96%,29.35%,9.54%,12.38%,13.62%,13.83%,-2.77%,-17.47%,1.71%,6.44%,-16.94%,3.91%,-66.95%,7.40%
Profit Margin,-9.19%,0.54%,2.82%,-7.28%,-1.44%,-6.27%,-3.17%,-1.20%,10.92%,7.97%,7.48%,4.42%,8.18%,10.32%,10.56%,-0.24%,-12.10%,1.48%,6.23%,-11.63%,3.56%,-94.70%,5.05%
Free Cash Flow Margin,-29.69%,18.21%,27.07%,28.22%,-13.50%,-193.22%,286.39%,36.22%,-23.29%,72.51%,29.00%,-70.30%,-39.61%,75.20%,5.13%,-53.97%,-19.06%,-43.58%,24.48%,42.41%,-75.25%,-29.53%,87.35%
Effective Tax Rate,-,4.00%,14.48%,-,-,-,-,-,23.61%,27.27%,74.52%,53.70%,33.87%,24.27%,23.64%,-,-,13.24%,3.16%,-,9.09%,-,31.73%
EBITDA,-0.38,0.16,0.3,-0.22,0.04,-0.22,-0.01,0.06,0.85,0.75,1.78,0.58,0.6,0.83,0.74,0.07,-0.51,0.24,0.42,-0.5,0.3,-2.34,0.44
EBITDA Margin,-9.77%,3.64%,6.80%,-6.59%,1.02%,-5.15%,-0.17%,1.29%,17.80%,14.10%,32.34%,13.22%,17.14%,17.45%,17.95%,1.85%,-13.05%,6.10%,10.76%,-12.89%,8.29%,-62.45%,12.10%
Depreciation & Amortization,0.13,0.14,0.15,0.16,0.15,0.16,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.18,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.17,0.17
EBIT,-0.51,0.03,0.15,-0.37,-0.12,-0.38,-0.17,-0.11,0.68,0.58,1.62,0.42,0.43,0.65,0.57,-0.1,-0.68,0.07,0.25,-0.66,0.14,-2.51,0.27
EBIT Margin,-13.03%,0.56%,3.30%,-11.30%,-3.00%,-8.81%,-4.74%,-2.56%,14.29%,10.96%,29.35%,9.54%,12.38%,13.62%,13.83%,-2.77%,-17.47%,1.71%,6.44%,-16.94%,3.91%,-66.95%,7.40%
