Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Pretax Income,27.99,12.46,37.83,4.67,30.68,33.96,47.62,42.87,35.9,38.16,33.61,56.16,-121.1,26.84,-8.99,9.76,33.73,-1.16,6.08,13.11,21.09,26.98,25.54,15.5,16.17,17.4,29.17,25.95,-2.71,-9.98,9.65,9.22,9.79,-3.93,0.94,4.59,4.02,1.76,-1.17,-2.51
Net Income,27.99,12.46,37.83,4.67,30.68,33.96,47.62,42.87,35.9,38.16,33.61,56.16,-121.1,26.84,-8.99,9.76,33.73,-1.16,6.08,13.11,21.09,26.98,25.54,15.5,16.17,17.4,29.17,25.95,-2.71,-9.98,9.65,9.22,9.79,-3.93,0.94,4.59,4.02,1.76,-1.17,-2.51
Preferred Dividends,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.86,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Income Common,27.11,11.58,36.96,3.79,29.81,33.09,46.75,41.99,35.03,37.3,32.75,55.6,-121.1,26.84,-8.99,9.76,33.73,-1.16,6.08,13.11,21.09,26.98,25.54,15.5,16.17,17.4,29.17,25.95,-2.71,-9.98,9.65,9.22,9.79,-3.93,0.94,4.59,4.02,1.76,-1.17,-2.51
Net Income Growth,-9.04%,-64.99%,-20.94%,-90.97%,-14.90%,-11.29%,42.72%,-24.48%,-,38.98%,-,469.89%,-,-,-,-25.55%,59.92%,-,-76.20%,-15.45%,30.40%,55.11%,-12.43%,-40.27%,-,-,202.19%,181.62%,-,-,930.20%,100.68%,143.73%,-,-,-,-,-,-,-
Shares Outstanding (Basic),51,51,52,52,53,53,54,55,55,56,56,56,57,59,60,61,62,62,63,63,63,62,62,46,42,41,37,34,32,29,27,23,20,13,13,13,11,3,4,0
Shares Outstanding (Diluted),56,57,57,52,58,59,59,60,60,56,62,60,57,59,60,61,62,62,63,63,63,62,62,46,42,41,37,34,32,29,27,23,20,13,13,13,11,3,4,0
Shares Change,-3.27%,-3.36%,-3.46%,-12.35%,-3.50%,5.04%,-3.80%,0.43%,5.59%,-4.87%,3.33%,-1.73%,-7.54%,-5.87%,-4.76%,-3.15%,-1.17%,0.41%,1.18%,36.08%,49.87%,52.78%,64.95%,33.65%,30.55%,38.68%,37.73%,49.17%,63.17%,124.40%,109.54%,78.90%,82.37%,334.03%,225.33%,3965.11%,-,-,-,-
EPS (Basic),0.53,0.23,0.71,0.07,0.56,0.62,0.87,0.77,0.64,0.66,0.58,0.99,-2.12,0.45,-0.15,0.16,0.55,-0.01,0.10,0.21,0.34,0.44,0.41,0.34,0.39,0.42,0.78,0.75,-0.08,-0.48,0.35,0.40,0.50,-0.35,0.07,0.36,0.37,1.90,-0.29,-7.92
EPS (Diluted),0.53,0.23,0.71,0.07,0.56,0.62,0.87,0.77,0.64,0.66,0.58,0.99,-2.12,0.45,-0.15,0.16,0.55,-0.01,0.10,0.21,0.34,0.44,0.41,0.34,0.39,0.42,0.78,0.75,-0.08,-0.48,0.35,0.40,0.50,-0.35,0.07,0.36,0.37,1.90,-0.29,-7.92
EPS Growth,-5.36%,-62.90%,-18.39%,-90.91%,-12.50%,-6.06%,50.00%,-22.22%,-,46.67%,-,518.75%,-,-,-,-23.81%,61.76%,-,-75.61%,-38.24%,-12.82%,4.76%,-47.44%,-54.67%,-,-,122.86%,87.50%,-,-,400.00%,11.11%,35.14%,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.50,-0.39,1.39,-1.69,0.96,1.76,-0.90,-0.04,0.59,2.86,-0.13,2.89,-0.18,0.56,-0.96,1.25,-2.32,0.68,-0.55,-0.83,1.16,0.47,-3.62,-5.41,1.38,-1.42,-3.18,-1.96,-2.19,-3.17,-2.89,-4.70,-5.61,-12.07,-8.09,-5.36,-8.72,-37.13,-21.31,-
Dividend Per Share,0.440,0.440,0.400,0.400,0.400,0.390,0.380,0.360,0.370,0.360,0.370,0.370,0.370,0.550,0.370,0.450,0.370,0.570,0.370,0.370,0.370,0.370,0.370,0.370,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,10.00%,12.82%,5.26%,11.11%,8.11%,8.33%,2.70%,-2.70%,0%,-34.55%,0%,-17.78%,0%,-3.51%,0%,21.62%,0%,54.05%,0%,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,78.23%,77.42%,76.81%,74.04%,74.16%,73.15%,73.15%,73.25%,72.93%,73.47%,73.22%,74.09%,75.32%,75.53%,75.39%,75.65%,75.48%,75.43%,74.66%,74.74%,73.57%,73.54%,76.58%,76.43%,75.97%,75.40%,75.50%,75.68%,75.12%,74.49%,74.31%,74.63%,73.53%,69.23%,77.00%,78.69%,75.86%,88.22%,-88.12%,-15.00%
Operating Margin,75.12%,72.70%,72.86%,69.65%,69.74%,68.67%,68.64%,68.45%,68.97%,70.03%,68.37%,70.51%,72.69%,72.38%,73.21%,73.28%,72.70%,72.67%,71.45%,71.49%,70.49%,70.21%,73.91%,71.53%,72.27%,71.69%,71.07%,70.49%,69.92%,69.05%,68.95%,66.06%,66.94%,50.89%,69.86%,67.34%,59.07%,65.62%,-195.37%,-12055.00%
Profit Margin,46.44%,20.67%,62.48%,8.50%,62.74%,75.24%,106.82%,98.45%,85.75%,85.71%,76.55%,122.81%,-239.59%,50.19%,-16.12%,17.16%,61.11%,-2.06%,11.86%,24.99%,44.41%,54.50%,59.89%,40.01%,47.43%,52.47%,100.74%,100.79%,-11.72%,-48.26%,49.25%,57.86%,75.41%,-66.80%,8.91%,46.18%,60.55%,46.14%,-102.27%,-12555.00%
Free Cash Flow Margin,43.78%,-35.68%,122.13%,-198.63%,106.93%,213.70%,-111.00%,-5.23%,79.00%,367.50%,-16.43%,358.89%,-20.20%,61.78%,-102.62%,133.35%,-260.04%,75.80%,-67.59%,-98.59%,152.65%,59.25%,-525.31%,-641.69%,169.11%,-174.33%,-411.95%,-262.03%,-303.14%,-450.56%,-401.05%,-679.92%,-846.44%,-2684.71%,-998.85%,-694.78%,-1410.82%,-2943.98%,-7431.62%,-
EBITDA,45.27,29.25,49.32,13.25,38.3,43.17,55.14,49.92,42.88,48.83,40.9,65.6,-108.92,38.86,4.55,22.79,45.72,9.75,16.45,21.82,28.9,34.8,31.47,21.24,21.21,22.38,33.22,29.78,0.89,-6.97,12.31,11.34,11.57,-2.4,2.07,5.23,4.37,2.03,-1.09,-
EBITDA Margin,77.55%,52.20%,83.39%,29.72%,80.61%,98.16%,126.00%,117.04%,104.97%,112.22%,95.59%,144.89%,-215.49%,72.69%,8.16%,40.07%,82.84%,17.31%,32.08%,41.59%,60.87%,70.29%,73.78%,54.82%,62.19%,67.51%,114.73%,115.64%,3.86%,-33.69%,62.81%,71.23%,89.13%,-40.80%,19.69%,52.55%,65.81%,53.29%,-95.20%,-
EBIT,45.27,29.25,49.32,13.25,38.3,43.17,55.14,49.92,42.88,48.83,40.9,65.6,-108.92,38.86,4.55,22.79,45.72,9.75,16.45,21.82,28.9,34.8,31.47,21.24,21.21,22.38,33.22,29.78,0.89,-6.97,12.31,11.34,11.57,-2.4,2.07,5.23,4.37,2.03,-1.09,-2.51
EBIT Margin,77.55%,52.20%,83.39%,29.72%,80.61%,98.16%,126.00%,117.04%,104.97%,112.22%,95.59%,144.89%,-215.49%,72.69%,8.16%,40.07%,82.84%,17.31%,32.08%,41.59%,60.87%,70.29%,73.78%,54.82%,62.19%,67.51%,114.73%,115.64%,3.86%,-33.69%,62.81%,71.23%,89.13%,-40.80%,19.69%,52.55%,65.81%,53.29%,-95.20%,-12555.00%
