Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Dividend Per Share,0.080,0.070,0.070,0.070,0.070,0.060,0.060,0.060,0.060,0.053,0.053,0.053,0.053,0.047,0.047,0.047,0.047,0.040,0.040,0.040,0.040,0.033,-,-,-,-,-,-
Dividend Growth,14.29%,16.67%,16.67%,16.67%,16.67%,13.21%,13.21%,13.21%,13.21%,12.77%,12.77%,12.77%,12.77%,17.50%,17.50%,17.50%,17.50%,21.21%,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,67.83%,66.86%,68.89%,68.61%,68.29%,65.91%,72.73%,71.12%,73.67%,74.53%,73.88%,73.20%,59.66%,67.71%,63.29%,57.76%,51.98%,56.62%,64.20%,63.46%,65.78%,66.73%,65.41%,74.27%,68.94%,66.23%,72.79%,-
Profit Margin,42.82%,43.18%,46.96%,45.91%,45.38%,44.80%,48.83%,46.89%,50.97%,52.08%,50.88%,49.61%,37.94%,45.33%,40.77%,38.99%,35.87%,39.11%,45.74%,45.13%,47.40%,60.06%,37.26%,43.37%,38.81%,30.88%,44.00%,-
Free Cash Flow Margin,-279.93%,-766.82%,852.79%,-401.97%,1319.79%,306.31%,-609.81%,-26.50%,257.18%,307.05%,754.78%,-1453.22%,-1578.46%,694.52%,-1616.64%,-2629.75%,-5.40%,256.83%,71.41%,607.03%,-415.85%,-639.54%,830.46%,-297.99%,-412.06%,1251.48%,-844.69%,-
Effective Tax Rate,25.05%,23.67%,24.43%,25.12%,24.98%,24.16%,25.57%,25.91%,26.34%,25.62%,26.28%,25.69%,25.42%,23.89%,24.30%,24.48%,25.09%,26.98%,25.01%,24.89%,23.72%,6.14%,38.11%,38.12%,38.06%,39.55%,39.54%,-
EBITDA,74,75.53,78.02,72.65,67.43,73.36,79.16,69.95,84.66,80.87,75.11,55.86,33.42,39.91,26.91,21.92,14.25,21.25,22.45,20.95,19.85,21.75,16.98,23.91,14.81,14.55,19.26,-
EBITDA Margin,68.47%,67.45%,69.45%,69.19%,68.90%,66.43%,73.24%,71.69%,74.11%,74.99%,74.37%,73.81%,60.48%,68.42%,63.65%,58.15%,52.49%,56.96%,64.55%,63.79%,66.13%,67.02%,65.68%,74.47%,69.25%,66.55%,73.06%,-
Depreciation & Amortization,0.69,0.65,0.63,0.61,0.59,0.58,0.56,0.56,0.5,0.49,0.49,0.46,0.45,0.42,0.15,0.15,0.14,0.13,0.12,0.11,0.1,0.1,0.07,0.06,0.07,0.07,0.07,-
EBIT,73.32,74.88,77.4,72.03,66.84,72.78,78.6,69.39,84.15,80.38,74.61,55.4,32.96,39.5,26.76,21.77,14.11,21.12,22.32,20.84,19.75,21.66,16.91,23.85,14.74,14.48,19.19,-
EBIT Margin,67.83%,66.86%,68.89%,68.61%,68.29%,65.91%,72.73%,71.12%,73.67%,74.53%,73.88%,73.20%,59.66%,67.71%,63.29%,57.76%,51.98%,56.62%,64.20%,63.46%,65.78%,66.73%,65.41%,74.27%,68.94%,66.23%,72.79%,-
