Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Pretax Income,-0.16,3.1,1.31,2.51,-3.86,0.63,1.46,1.71,-0.69,2.37,2.94,3.14,-0.2,-0.98,1.3,1.33,3.22,0.22,0.41,-9.08,0,0,0,0,2.27
Income Tax,-0.08,2.6,-0.67,2.16,-1.6,0.35,-2.58,0.22,-0.29,-0.42,-0.33,-0.24,-0.04,-0.17,0.3,0.43,0.74,0.13,0.16,0.15,0,0,0,0,0
Net Income,-0.08,0.5,1.98,0.34,-2.26,0.28,4.04,1.49,-0.4,2.8,3.27,3.38,-0.16,-0.81,1,0.9,2.47,0.09,0.24,-9.23,0,0,0,0,2.27
Net Income Growth,-,81.52%,-50.97%,-77.00%,-,-90.13%,23.54%,-55.99%,-,-,227.35%,274.20%,-,-,314.11%,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),23,22,21,20,20,20,20,19,18,18,17,16,16,15,15,15,14,14,14,14,35,14,-,-,-
Shares Outstanding (Diluted),23,23,22,21,20,22,21,20,18,20,19,18,16,17,16,16,15,14,15,14,-,-,-,-,-
Shares Change,14.65%,5.85%,1.71%,4.31%,10.15%,9.05%,12.11%,13.48%,18.06%,19.06%,14.98%,11.71%,1.80%,21.85%,12.57%,18.71%,-56.32%,0.46%,-,-,-,-,-,-,-
EPS (Basic),-,0.03,0.09,0.02,-0.11,0.01,0.21,0.08,-0.02,0.16,0.19,0.21,-0.01,-0.06,0.07,0.06,0.17,-,0.02,-0.68,0.08,-,-,-,0.05
EPS (Diluted),-,0.03,0.09,0.02,-0.11,0.01,0.19,0.07,-0.02,0.15,0.17,0.19,-0.01,-0.05,0.06,0.06,0.16,-,0.02,-0.68,0.08,-,-,-,0.05
EPS Growth,-,200.00%,-52.63%,-71.43%,-,-93.33%,11.76%,-63.16%,-,-,183.33%,216.67%,-,-,200.00%,-,100.00%,-,-,-,60.00%,-,-,-,-
Free Cash Flow Per Share,-0.14,0.31,0.62,0.53,-0.38,0.17,0.30,0.26,0.31,0.24,0.43,0.30,-0.16,0.28,0.27,0.56,0.04,0.14,-0.02,0.32,0.06,0.03,-,-,-
Dividend Per Share,-,-,-,-,-,-,1.630,-,-,-,1.149,-,-,-,-,-,0.410,-,-,-,-,-,-,-,-
Dividend Growth,-,-,-,-,-,-,41.86%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,36.36%,41.08%,37.03%,40.29%,23.73%,37.57%,37.43%,41.12%,31.76%,42.11%,44.09%,46.85%,33.89%,22.21%,46.09%,46.47%,60.27%,41.50%,44.21%,-128.95%,53.15%,37.90%,33.51%,48.75%,50.79%
Operating Margin,2.53%,11.80%,6.57%,10.69%,-14.78%,5.34%,8.50%,9.92%,-2.57%,14.86%,21.76%,25.48%,0.98%,-15.66%,17.35%,19.98%,37.56%,9.52%,16.53%,-153.84%,32.65%,10.04%,8.17%,25.84%,28.31%
Profit Margin,-0.14%,0.87%,3.43%,0.65%,-5.47%,0.69%,9.68%,3.90%,-1.27%,8.07%,10.20%,11.29%,-0.76%,-5.84%,4.71%,4.66%,10.69%,0.60%,1.50%,-62.45%,-,-,-,-,22.92%
Free Cash Flow Margin,-5.49%,12.12%,22.33%,20.60%,-18.54%,8.46%,14.26%,12.87%,18.50%,12.46%,23.59%,16.40%,-12.25%,30.99%,19.24%,42.80%,2.15%,12.61%,-2.06%,29.13%,15.06%,4.15%,1.12%,47.05%,14.04%
Effective Tax Rate,-,83.86%,-50.72%,86.35%,-,56.19%,-176.25%,13.04%,-,-17.82%,-11.27%,-7.65%,-,-,23.17%,32.26%,23.13%,59.82%,40.49%,-,-,-,-,-,-
EBITDA,3.96,-0.27,11.24,6.54,-0.34,6.55,0.98,8.52,0.99,17.71,4.48,4.41,1.15,0.14,2.48,2.47,4.32,2.37,2.39,-7.76,1.33,1,1,0.69,2.94
EBITDA Margin,6.84%,-0.47%,19.49%,12.33%,-0.82%,16.27%,2.34%,22.32%,3.17%,51.12%,13.98%,14.74%,5.65%,1.04%,11.70%,12.72%,18.67%,16.10%,14.87%,-52.47%,9.13%,8.97%,9.21%,6.30%,29.70%
Depreciation & Amortization,2.4,-4.96,8.52,2.92,2.64,4.96,-1.24,6.27,1.08,14.69,0.96,0.79,0.75,0.59,0.57,0.51,0.48,1.48,0.35,0.35,0.34,0.26,0.32,0.16,0.14
EBIT,1.57,4.69,2.73,3.62,-2.98,1.58,2.22,2.26,-0.09,3.02,3.52,3.62,0.41,-0.45,1.91,1.96,3.84,0.89,2.04,-8.11,1,0.74,0.67,0.53,2.8
EBIT Margin,2.71%,8.17%,4.73%,6.83%,-7.21%,3.93%,5.32%,5.91%,-0.29%,8.71%,10.99%,12.09%,1.99%,-3.27%,9.01%,10.11%,16.61%,6.03%,12.68%,-54.83%,6.82%,6.65%,6.24%,4.84%,28.31%
