Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Net Income Growth,8.60%,48.07%,33.57%,-1.70%,43.16%,19.78%,66.57%,70.18%,60.82%,-1.02%,-41.60%,40.05%,-42.97%,75.21%,58.13%,-48.06%,21.43%,-,10.59%,185.49%,187.36%,-,-,-,-,-
Shares Outstanding (Basic),13,13,13,14,13,11,11,11,11,12,12,12,12,13,12,11,11,11,11,9,8,7,7,6,5,5
Shares Outstanding (Diluted),13,13,13,14,13,11,11,11,11,12,12,12,12,13,12,11,11,11,11,9,8,7,7,6,5,-
Shares Change,0.42%,21.32%,24.45%,24.63%,12.18%,-8.12%,-9.88%,-9.41%,-8.67%,-8.36%,-1.63%,5.63%,13.33%,16.58%,10.97%,20.25%,44.98%,49.73%,58.20%,47.44%,38.82%,33.58%,-,-,-,-
EPS (Basic),0.55,0.62,0.54,0.38,0.51,0.51,0.51,0.49,0.40,0.39,0.27,0.26,0.23,0.36,0.46,0.20,0.45,0.20,0.31,0.45,0.54,-0.16,0.46,0.23,0.26,-
EPS (Diluted),0.55,0.62,0.54,0.38,0.51,0.51,0.51,0.49,0.40,0.39,0.27,0.26,0.23,0.36,0.46,0.20,0.45,0.20,0.31,0.45,0.54,-0.16,0.46,0.23,0.26,-
EPS Growth,7.84%,21.57%,5.88%,-22.45%,27.50%,30.77%,88.89%,88.46%,73.91%,8.33%,-41.30%,30.00%,-48.89%,80.00%,48.39%,-55.56%,-16.67%,-,-32.61%,95.65%,107.69%,-,-,-,-,-
Free Cash Flow Per Share,0.58,1.21,0.95,0.57,0.21,0.45,-0.33,0.69,0.03,0.32,0.32,0.31,-0.31,0.07,0.23,0.66,-0.06,0.38,-0.16,-0.22,0.66,0.95,0.53,1.37,-1.92,-
Dividend Per Share,0.100,0.050,0.050,0.050,0.050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,100.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,37.25%,40.39%,38.74%,32.59%,31.50%,35.34%,34.75%,35.35%,30.69%,28.50%,23.65%,24.19%,19.06%,27.15%,39.85%,18.32%,41.66%,24.82%,37.98%,40.06%,41.50%,28.48%,40.34%,24.65%,34.45%,-
Profit Margin,26.75%,29.43%,27.51%,23.12%,24.26%,25.56%,25.44%,25.59%,22.30%,23.34%,17.52%,17.47%,13.48%,21.90%,28.69%,12.30%,29.57%,17.16%,25.92%,29.70%,29.30%,-6.43%,24.44%,13.50%,20.01%,-
Free Cash Flow Margin,28.08%,57.09%,48.24%,34.58%,9.99%,22.66%,-16.32%,36.24%,1.48%,19.14%,20.64%,20.72%,-18.21%,4.20%,14.42%,41.20%,-3.72%,26.89%,-12.82%,-14.29%,35.45%,52.80%,27.74%,79.17%,-146.29%,-
Effective Tax Rate,28.18%,27.14%,28.98%,29.06%,22.98%,27.67%,26.79%,27.61%,27.33%,18.09%,25.89%,27.77%,29.27%,19.33%,28.02%,32.88%,29.01%,30.87%,31.76%,25.86%,29.39%,122.57%,39.42%,45.24%,41.92%,-
EBITDA,10.63,12.04,11.18,8.4,9.41,8.48,8.36,8.29,7.21,6.66,5.14,5.2,4.93,6.48,8.42,3.97,7.65,4.33,5.68,6.3,6.28,4.22,5.75,3.14,2.65,-
EBITDA Margin,40.37%,44.02%,42.57%,37.21%,35.17%,39.86%,39.28%,39.97%,35.48%,34.25%,27.71%,29.10%,23.58%,30.94%,43.43%,21.92%,45.79%,28.39%,41.85%,43.63%,45.25%,32.37%,44.20%,28.19%,37.39%,-
Depreciation & Amortization,0.82,0.99,1.01,1.04,0.98,0.96,0.96,0.96,0.97,1.12,0.75,0.88,0.95,0.8,0.69,0.65,0.69,0.55,0.53,0.52,0.52,0.51,0.5,0.4,0.21,-
EBIT,9.81,11.05,10.18,7.36,8.42,7.52,7.39,7.33,6.24,5.54,4.38,4.32,3.98,5.69,7.73,3.32,6.96,3.79,5.16,5.78,5.76,3.72,5.25,2.74,2.44,-
EBIT Margin,37.25%,40.39%,38.74%,32.59%,31.50%,35.34%,34.75%,35.35%,30.69%,28.50%,23.65%,24.19%,19.06%,27.15%,39.85%,18.32%,41.66%,24.82%,37.98%,40.06%,41.50%,28.48%,40.34%,24.65%,34.45%,-
