Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30
Net Income,38.41,39.9,43.32,29.63,33.47,41.51,36.84,29.46,31.79,22.8,22.92,24.03,4.13,29.05,27.41,26.88,7.41,9.83,8.94,10.19,10.39,3.26,5.18,3.62,3.1,3.19,3.38,3.17,2.81,2.57,2.54,1.86,1.82,1.69,1.36,1.2,0.96,1,0.95
Preferred Dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
Net Income Common,38.41,39.9,43.32,29.63,33.47,41.51,36.84,29.46,31.79,22.8,22.92,24.03,4.13,29.05,27.41,26.88,7.41,9.83,8.94,10.19,10.39,3.26,5.14,3.62,3.1,3.19,3.38,3.17,2.81,2.54,2.52,1.84,1.8,1.67,1.34,1.18,0.94,0.98,0.95
Net Income Growth,14.76%,-3.88%,17.61%,0.58%,5.29%,82.04%,60.71%,22.59%,668.92%,-21.51%,-16.37%,-10.60%,-44.19%,195.68%,206.72%,163.67%,-28.70%,201.66%,73.83%,181.96%,235.31%,2.13%,52.30%,13.93%,10.13%,25.80%,34.09%,72.82%,55.93%,51.89%,87.98%,55.86%,92.32%,71.00%,40.65%,-,-,-,-
Shares Outstanding (Basic),54,54,54,54,50,49,50,49,49,50,50,50,50,52,54,54,55,24,24,24,24,23,15,15,15,11,11,11,11,11,11,9,9,9,9,9,9,9,-
Shares Change,9.23%,9.55%,8.99%,9.10%,0.32%,-0.73%,-0.25%,-1.82%,-2.13%,-4.32%,-7.20%,-7.16%,-7.41%,114.24%,121.24%,124.71%,125.98%,6.97%,58.74%,58.57%,58.52%,110.73%,41.93%,42.01%,42.00%,0.33%,0.51%,13.07%,13.04%,13.19%,17.88%,4.70%,4.70%,4.47%,-,-,-,-,-
EPS (Basic),0.71,0.74,0.80,0.55,0.66,0.85,0.75,0.60,0.64,0.46,0.46,0.48,0.08,0.56,0.52,0.50,0.14,0.41,0.37,0.42,0.43,0.12,0.26,0.24,0.20,0.28,0.32,0.30,0.26,0.24,0.24,0.19,0.19,0.18,0.21,0.19,0.15,0.17,0.16
EPS (Diluted),0.70,0.73,0.79,0.54,0.65,0.82,0.73,0.59,0.64,0.46,0.46,0.48,0.08,0.55,0.51,0.49,0.13,0.40,0.36,0.42,0.42,0.11,0.25,0.23,0.20,0.28,0.31,0.29,0.26,0.23,0.23,0.19,0.19,0.18,0.21,0.18,0.15,0.16,0.16
EPS Growth,7.69%,-10.98%,8.22%,-8.47%,1.56%,78.26%,58.70%,22.92%,700.00%,-16.36%,-9.80%,-2.04%,-38.46%,37.50%,41.67%,16.67%,-69.05%,263.64%,44.00%,82.61%,110.00%,-60.71%,-19.35%,-20.69%,-23.08%,21.74%,34.78%,52.63%,36.84%,27.78%,9.52%,5.56%,26.67%,12.50%,31.25%,-,-,-,-
Free Cash Flow Per Share,0.64,0.78,0.91,0.56,1.35,0.18,0.99,1.09,1.67,0.27,0.50,0.55,0.81,0.52,0.58,0.41,0.28,0.40,0.43,0.51,0.54,-1.42,0.40,-0.43,0.96,0.20,0.35,0.13,0.23,0.15,0.66,-0.28,0.82,-0.31,0.48,-0.47,0.31,0.03,-
Dividend Per Share,0.200,0.400,0.200,0.200,0.200,0.200,0.200,0.170,0.170,0.170,0.170,0.170,0.170,0.125,0.125,0.125,0.125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,0%,100.00%,0%,17.65%,17.65%,17.65%,17.65%,0%,0%,36.00%,36.00%,36.00%,36.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,46.61%,47.45%,52.15%,43.92%,47.16%,53.66%,52.70%,47.20%,50.74%,51.83%,44.44%,41.15%,8.85%,50.64%,50.27%,46.19%,12.30%,43.33%,36.27%,43.69%,44.54%,41.08%,38.48%,41.04%,37.38%,40.48%,42.25%,43.30%,41.52%,40.34%,39.52%,37.03%,32.36%,34.65%,30.12%,29.60%,24.48%,26.36%,26.29%
Profit Margin,36.22%,36.55%,40.65%,34.51%,37.97%,42.67%,42.17%,37.28%,39.55%,30.45%,34.98%,35.30%,10.60%,39.52%,39.36%,36.25%,9.70%,31.74%,31.21%,35.50%,33.29%,12.76%,25.25%,27.39%,26.04%,26.79%,27.73%,28.55%,27.53%,26.38%,26.06%,24.44%,24.01%,23.31%,19.37%,18.60%,15.62%,17.07%,17.33%
Free Cash Flow Margin,32.59%,38.43%,45.93%,35.09%,76.11%,9.20%,56.17%,68.21%,102.71%,17.81%,38.06%,40.54%,105.33%,37.00%,44.94%,30.38%,20.01%,31.43%,36.07%,43.00%,41.58%,-126.27%,30.04%,-49.62%,122.43%,18.04%,30.99%,12.32%,24.43%,16.59%,72.75%,-34.74%,103.86%,-40.99%,62.33%,-66.63%,47.27%,5.16%,-
Effective Tax Rate,22.28%,22.96%,22.04%,21.43%,19.49%,20.49%,19.98%,21.01%,22.05%,17.10%,21.29%,14.23%,-19.83%,21.95%,21.70%,21.52%,21.17%,26.74%,13.95%,18.74%,25.26%,68.93%,33.84%,33.27%,30.35%,33.82%,34.38%,34.06%,33.70%,33.62%,33.55%,33.29%,24.97%,31.92%,34.73%,36.11%,34.83%,33.91%,34.07%
EBITDA,54.19,56.45,60.19,42.71,45.95,55.96,50.59,40.95,44.55,31.43,33.17,31.78,7.54,40.78,39.43,38.18,13.4,15.14,12.01,14.28,15.89,11.73,8.54,5.85,4.89,5.31,5.55,5.23,4.64,4.26,4.2,3.1,2.76,2.81,2.43,2.21,1.8,1.84,-
EBITDA Margin,51.10%,51.72%,56.48%,49.74%,52.13%,57.52%,57.91%,51.83%,55.42%,41.97%,50.62%,46.69%,19.33%,55.48%,56.63%,51.50%,17.54%,48.91%,41.96%,49.72%,50.91%,45.97%,41.97%,44.31%,41.13%,44.62%,45.57%,47.03%,45.38%,44.34%,43.52%,41.32%,36.68%,39.18%,35.14%,34.87%,30.03%,32.17%,-
Depreciation & Amortization,4.76,4.67,4.62,5,4.38,3.76,4.56,3.66,3.77,3.92,4.05,3.77,4.09,3.56,4.43,3.94,4.01,1.73,1.63,1.73,1.99,1.25,0.71,0.43,0.45,0.49,0.4,0.41,0.39,0.39,0.39,0.32,0.33,0.33,0.35,0.33,0.33,0.33,-
EBIT,49.42,51.79,55.57,37.71,41.57,52.2,46.03,37.29,40.78,27.5,29.12,28.02,3.45,37.22,35,34.25,9.4,13.41,10.38,12.54,13.9,10.48,7.83,5.42,4.45,4.82,5.14,4.81,4.24,3.88,3.82,2.78,2.43,2.48,2.08,1.88,1.47,1.51,1.44
EBIT Margin,46.61%,47.45%,52.15%,43.92%,47.16%,53.66%,52.70%,47.20%,50.74%,36.73%,44.44%,41.15%,8.85%,50.64%,50.27%,46.19%,12.30%,43.33%,36.27%,43.69%,44.54%,41.08%,38.48%,41.04%,37.38%,40.48%,42.25%,43.30%,41.52%,40.34%,39.52%,37.03%,32.36%,34.65%,30.12%,29.60%,24.48%,26.36%,26.29%
