Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Income Tax,-18.7,-6.89,12.12,32.23,15.62,14.04,2.68,2.17,1.19,4.15,4.41,0.04,12.07,10.75,-3.91,1.43,-1.22,3.78,3.75,0.75,1.18,-2.78,0.56,0.28,0.44
Net Income,-0.63,0.35,29.25,33.08,29.1,7.53,0.65,1.98,0.26,3.6,1.64,2.41,20.4,-12,1.27,0.8,-2.94,9.61,-10.2,-7.66,-12.05,-9.69,-37.88,-5.24,4.45
Net Income Growth,-,-95.35%,4406.78%,1573.39%,11267.97%,109.28%,-60.48%,-17.93%,-98.74%,-,28.99%,202.64%,-,-,-,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),66,66,66,65,65,61,60,56,52,51,49,48,47,47,47,47,46,45,42,61,61,-,-,-,-
Shares Outstanding (Diluted),84,66,66,66,66,62,60,56,53,51,49,73,47,47,47,47,46,45,42,-,-,-,-,-,-
Shares Change,27.99%,6.57%,8.91%,16.80%,24.90%,21.38%,23.82%,-23.50%,10.99%,8.17%,3.72%,57.14%,2.66%,3.90%,11.12%,-23.60%,-24.44%,-,-,-,-,-,-,-,-
EPS (Basic),-0.01,-,0.45,0.51,0.45,0.13,0.01,0.04,-,0.07,0.03,0.05,0.43,-0.26,0.03,0.02,-0.06,0.23,-0.24,-,-,-,-,-,-
EPS (Diluted),-0.22,-,0.44,0.50,0.44,0.13,0.01,0.04,-,0.06,0.03,0.03,0.43,-0.26,0.03,0.02,-0.06,0.23,-0.24,-,-,-,-,-,-
EPS Growth,-,-,4300.00%,1150.00%,-,116.67%,-66.67%,33.33%,-,-,0%,50.00%,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.13,0.77,1.44,2.00,-0.12,1.17,1.40,2.09,0.60,1.30,1.38,1.22,0.00,1.27,1.36,0.67,0.30,0.37,1.11,0.36,0.17,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,3.85%,6.78%,15.39%,19.25%,13.67%,9.01%,4.74%,4.56%,3.73%,5.74%,5.58%,4.45%,19.46%,7.61%,4.08%,6.48%,3.58%,13.91%,-6.05%,5.06%,6.39%,1.53%,-6.11%,1.57%,8.41%
Profit Margin,-0.11%,0.06%,5.63%,6.14%,5.42%,1.44%,0.14%,0.46%,0.06%,0.95%,0.50%,0.77%,6.05%,-3.53%,0.40%,0.26%,-1.13%,3.88%,-4.33%,-3.31%,-6.14%,-5.10%,-21.02%,-3.33%,3.28%
Free Cash Flow Margin,-1.59%,9.21%,18.14%,24.25%,-1.47%,13.67%,18.40%,27.35%,7.94%,17.45%,20.32%,18.60%,0.06%,17.68%,20.21%,10.32%,5.40%,6.84%,20.01%,9.64%,5.31%,2.82%,25.54%,18.03%,-15.62%
Effective Tax Rate,-,-,29.30%,49.35%,34.92%,65.10%,80.49%,52.37%,82.25%,53.55%,72.85%,1.51%,37.18%,-,-,64.16%,-,28.25%,-,-,-,-,-,-,9.03%
EBITDA,100.35,102.76,139.21,153.66,126.24,97.28,69.55,62.59,58.55,59.2,55.09,51.54,84.76,52.91,50.92,50.29,39.75,51.59,32.24,35.75,24.77,22.26,-2.75,17.99,25.55
EBITDA Margin,18.00%,18.76%,26.78%,28.50%,23.53%,18.57%,15.30%,14.71%,14.85%,15.59%,16.62%,16.46%,25.15%,15.55%,16.08%,16.68%,15.29%,20.84%,13.68%,15.45%,12.62%,11.72%,-1.53%,11.44%,18.85%
Depreciation & Amortization,75.75,73.41,71.35,68.45,63.91,58.6,49.68,47.61,46.59,42.34,40.14,39.04,38.71,39,37.7,33.65,31.05,27.23,25.69,24.45,21.38,20.21,20.28,15.9,14.67
EBIT,24.59,29.35,67.86,85.2,62.34,38.68,19.87,14.98,11.96,16.86,14.95,12.5,46.05,13.91,13.22,16.65,8.7,24.36,6.54,11.3,3.39,2.05,-23.03,2.09,10.88
EBIT Margin,4.41%,5.36%,13.05%,15.80%,11.62%,7.38%,4.37%,3.52%,3.03%,4.44%,4.51%,3.99%,13.66%,4.09%,4.18%,5.52%,3.35%,9.84%,2.78%,4.88%,1.73%,1.08%,-12.78%,1.33%,8.03%
