Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
Net Income Growth,-98.85%,-94.06%,26.68%,52.62%,-12.47%,1.89%,0.17%,1583.40%,-,333.08%,767.27%,-23.47%,-,-34.87%,-72.67%,-65.38%,-80.95%,-85.38%,10.81%,45.51%,103.75%,1208.94%,269.70%,7863.41%,30.29%,-4.11%,19.92%,-96.87%,-41.89%,133.46%,352.57%,-40.92%,-,-,-,-,-
Shares Outstanding (Basic),44,44,44,44,44,43,43,43,43,41,41,41,40,40,40,40,40,40,40,40,40,40,35,35,35,34,34,34,34,34,34,33,33,33,-,-,-
Shares Change,0.98%,1.34%,1.30%,1.61%,2.32%,6.79%,6.85%,6.41%,5.94%,0.88%,0.74%,0.81%,0.43%,0.35%,0.29%,0.45%,0.52%,0.68%,15.73%,15.59%,15.55%,16.48%,1.34%,1.22%,1.16%,0.18%,0.12%,4.70%,4.67%,4.64%,-,-,-,-,-,-,-
EPS (Basic),0.01,0.04,0.97,2.22,0.79,0.69,0.78,1.48,0.92,0.72,0.83,0.09,-0.19,0.17,0.10,0.12,0.06,0.26,0.36,0.36,0.31,1.94,0.34,0.28,0.18,0.16,0.10,-,0.14,0.16,0.09,0.14,0.28,0.08,0.03,0.31,-
EPS (Diluted),0.01,0.04,0.96,2.16,0.76,0.66,0.76,1.41,0.88,0.70,0.81,0.09,-0.19,0.17,0.09,0.12,0.06,0.26,0.34,0.34,0.30,1.87,0.33,0.27,0.17,0.15,0.10,-,0.13,0.17,0.09,0.13,0.27,0.08,0.02,0.31,-
EPS Growth,-98.68%,-93.94%,26.32%,53.19%,-13.64%,-5.71%,-6.17%,1466.67%,-,311.76%,800.00%,-25.00%,-,-34.62%,-73.53%,-64.71%,-80.00%,-86.10%,3.03%,25.93%,76.47%,1146.67%,230.00%,-,30.77%,-11.76%,11.11%,-,-51.85%,112.50%,350.00%,-58.06%,-,-,-,-,-
Free Cash Flow Per Share,3.35,0.41,0.30,-1.99,3.12,0.30,-0.36,-1.92,-0.67,0.30,-5.28,0.52,-2.29,-3.35,-2.59,-3.97,-2.74,-4.01,3.24,0.12,-1.95,-2.11,-2.36,-2.91,-4.20,-1.67,-0.14,-2.24,-2.75,-2.05,-2.74,-4.54,-1.63,-3.41,-,-,-
Dividend Per Share,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.020,0.020,0.020,0.020,0.010,0.020,0.010,0.010,-,-,-,-,-,-
Dividend Growth,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50.00%,50.00%,50.00%,50.00%,100.00%,0%,100.00%,100.00%,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,4.46%,10.74%,40.89%,60.22%,39.50%,44.45%,43.87%,56.96%,45.87%,18.67%,51.61%,9.84%,-45.09%,16.72%,12.78%,13.72%,6.58%,18.68%,21.14%,26.53%,25.11%,64.73%,17.87%,23.45%,17.32%,16.31%,18.16%,2.63%,26.92%,29.44%,22.11%,28.49%,47.55%,20.17%,33.28%,36.60%,-
Profit Margin,0.48%,2.10%,33.64%,47.76%,31.77%,28.05%,34.29%,47.55%,38.70%,45.89%,38.33%,7.08%,-22.29%,12.81%,7.95%,10.92%,5.80%,26.20%,27.25%,25.65%,24.49%,62.72%,29.46%,22.52%,15.32%,15.71%,10.46%,0.48%,15.79%,18.22%,12.51%,16.73%,28.80%,12.79%,3.22%,36.60%,-
Free Cash Flow Margin,179.29%,21.14%,10.40%,-42.80%,125.59%,12.16%,-15.82%,-61.89%,-27.90%,19.07%,-242.75%,39.22%,-270.29%,-252.75%,-212.66%,-353.37%,-269.52%,-402.53%,248.59%,8.61%,-153.01%,-73.47%,-187.11%,-231.25%,-364.35%,-163.97%,-14.46%,-297.18%,-316.87%,-223.19%,-404.10%,-629.98%,-189.97%,-582.52%,-309.17%,-,-
Effective Tax Rate,88.98%,-149.93%,3.44%,20.67%,19.55%,36.90%,21.73%,16.53%,9.59%,-145.85%,25.73%,28.07%,-,23.38%,37.80%,11.83%,11.79%,-40.24%,-28.93%,3.33%,2.47%,2.19%,-64.83%,4.00%,11.55%,-119.99%,42.40%,81.91%,41.40%,38.14%,43.44%,41.28%,39.53%,36.56%,90.31%,-,-
EBITDA,8.81,5.87,49.47,127.47,48.3,53.25,48.56,81.47,48.87,17.18,50.83,10.82,-9.76,14.58,11.46,10.66,6.72,11.86,15.24,18.78,16.55,76.6,10.76,12.56,8.62,3.55,7.13,1.72,9.07,10.76,6.03,7.29,13.78,4.41,7.24,-,-
EBITDA Margin,10.66%,6.88%,38.81%,62.73%,44.47%,49.55%,49.20%,60.92%,47.97%,26.64%,57.68%,20.29%,-28.61%,27.34%,23.40%,23.61%,16.44%,29.61%,29.14%,33.79%,32.56%,66.98%,24.65%,28.86%,21.60%,10.18%,21.45%,6.68%,30.53%,34.29%,25.98%,30.99%,49.17%,23.03%,36.42%,-,-
Depreciation & Amortization,5.19,5.15,5.07,5.15,5.41,5.47,5.33,5.3,5.27,5.14,5.35,5.57,5.62,5.66,5.2,5.07,4.03,4.38,4.19,4.04,3.79,3.26,2.96,2.35,1.71,1.06,1.09,1.04,1.07,1.52,0.9,0.59,0.43,0.55,0.63,-,-
EBIT,3.61,0.72,44.39,122.32,42.9,47.78,43.23,76.17,43.61,12.04,45.48,5.25,-15.38,8.92,6.26,5.6,2.69,7.48,11.05,14.74,12.77,73.34,7.8,10.2,6.91,2.49,6.04,0.68,8.01,9.24,5.13,6.7,13.35,3.86,6.62,6.66,-
EBIT Margin,4.38%,0.84%,34.83%,60.20%,39.50%,44.45%,43.81%,56.96%,42.80%,18.67%,51.61%,9.84%,-45.09%,16.72%,12.78%,12.39%,6.58%,18.68%,21.14%,26.53%,25.11%,64.13%,17.87%,23.45%,17.32%,7.14%,18.16%,2.63%,26.95%,29.45%,22.12%,28.49%,47.63%,20.17%,33.28%,36.60%,-
