Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
EPS (Basic),0.27,0.31,0.30,0.32,0.27,0.24,0.28,0.24,0.22,0.22,0.21,0.20,0.20,-1.01,-0.26,-,-,-,-,-,-
EPS (Diluted),0.27,0.30,0.29,0.31,0.26,0.24,0.27,0.24,0.22,0.22,0.21,0.20,0.20,-1.01,-0.26,-,-,-,-,-,-
EPS Growth,3.85%,25.00%,7.41%,29.17%,18.18%,9.09%,28.57%,20.00%,10.00%,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.30,0.29,0.39,0.50,0.31,-1.08,0.46,-0.01,-0.20,0.64,-0.03,0.15,0.34,0.21,0.16,0.20,0.11,0.11,-,-,-
Dividend Per Share,0.140,0.100,0.100,0.100,0.100,0.070,0.070,0.570,0.070,0.050,0.050,0.050,-,-,-,-,-,-,-,-,-
Dividend Growth,40.00%,42.86%,42.86%,-82.46%,42.86%,40.00%,40.00%,1040.00%,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,32.27%,33.63%,33.20%,38.16%,33.41%,29.28%,35.82%,33.49%,31.42%,31.42%,34.89%,36.05%,36.43%,-217.03%,-49.32%,4.13%,23.02%,20.97%,27.26%,23.99%,21.96%
Profit Margin,26.90%,27.73%,27.47%,30.24%,27.51%,24.28%,29.07%,27.00%,25.30%,25.39%,27.73%,28.52%,28.41%,-158.49%,-38.92%,4.24%,18.30%,17.58%,21.61%,18.93%,17.47%
Free Cash Flow Margin,32.45%,28.60%,39.86%,51.79%,34.80%,-119.36%,54.32%,-0.63%,-25.23%,86.04%,-5.04%,22.84%,53.44%,36.50%,25.19%,33.86%,19.61%,17.55%,97.64%,-84.25%,64.32%
Effective Tax Rate,15.49%,16.82%,16.31%,20.20%,16.99%,16.31%,18.00%,18.69%,18.71%,18.57%,19.51%,20.15%,21.08%,-,-,-14.21%,19.01%,14.87%,19.59%,19.77%,19.19%
EBITDA,3.74,4.28,4.1,4.72,3.94,3.61,4.14,3.79,3.57,3.48,3.59,3.48,3.41,-16.95,-3.86,0.56,1.96,1.98,2.29,1.98,1.81
EBITDA Margin,34.61%,35.96%,35.63%,40.91%,35.93%,32.22%,39.08%,36.82%,35.28%,34.90%,39.31%,39.66%,39.54%,-214.21%,-46.17%,7.09%,26.14%,23.73%,30.55%,27.28%,26.11%
Depreciation & Amortization,0.3,0.31,0.32,0.35,0.31,0.36,0.38,0.37,0.42,0.37,0.44,0.35,0.31,0.27,0.29,0.27,0.27,0.26,0.28,0.27,0.31
EBIT,3.44,3.97,3.77,4.37,3.64,3.25,3.76,3.42,3.15,3.1,3.15,3.14,3.11,-17.22,-4.15,0.29,1.69,1.73,2.01,1.71,1.5
EBIT Margin,31.82%,33.34%,32.83%,37.90%,33.14%,29.01%,35.45%,33.21%,31.12%,31.18%,34.45%,35.72%,36.00%,-217.56%,-49.68%,3.72%,22.59%,20.66%,26.88%,23.60%,21.62%
