Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
Income Tax,26,5.6,27.9,36.7,30.7,29.6,53.3,79.7,43.1,50.1,40.8,30.1,-68.8,36.9,35.7,35.3,29.9,43.4,33.2,38.2,47.4,-285.6,46.1,21,7.5,9.2,8.5,2.7
Net Income,87.4,65,107.6,93.9,103.6,132.5,196.8,137.3,155.5,155.5,118.9,102.9,-247,112,112.1,109.4,94.1,106.8,111.2,140.6,165.2,471.7,99.5,41.7,42.6,37.8,53.4,46.3
Net Income Growth,-15.64%,-50.94%,-45.33%,-31.61%,-33.38%,-14.79%,65.52%,33.43%,-,38.84%,6.07%,-5.94%,-,4.87%,0.81%,-22.19%,-43.04%,-77.36%,11.76%,237.17%,287.79%,1147.88%,86.33%,-9.94%,-,-,-,-
Shares Outstanding (Basic),166,166,166,168,169,171,172,172,172,181,184,185,187,187,192,195,196,199,200,200,200,200,200,200,-,-,-,-
Shares Change,-2.00%,-2.89%,-3.88%,-2.65%,-1.92%,-5.97%,-6.26%,-6.79%,-7.82%,-3.24%,-4.07%,-5.25%,-4.80%,-5.61%,-4.37%,-2.62%,-1.99%,-0.88%,-,-,-,-,-,-,-,-,-,-
EPS (Basic),0.53,0.39,0.65,0.56,0.62,0.78,1.15,0.80,0.88,0.84,0.65,0.55,-1.35,0.59,0.58,0.56,0.48,0.54,0.55,0.70,0.82,2.77,0.49,0.29,0.38,0.33,0.48,0.42
EPS (Diluted),0.53,0.39,0.65,0.56,0.61,0.77,1.14,0.79,0.88,0.84,0.65,0.55,-1.35,0.59,0.58,0.56,0.48,0.54,0.55,0.70,0.82,2.74,0.49,0.28,0.38,0.36,0.46,0.41
EPS Growth,-13.11%,-49.35%,-42.98%,-29.11%,-30.68%,-8.33%,75.38%,43.64%,-,42.37%,12.07%,-1.79%,-,9.26%,5.45%,-20.00%,-41.46%,-80.29%,12.24%,150.00%,115.79%,661.11%,6.52%,-31.71%,-,-,-,-
Free Cash Flow Per Share,-0.67,0.84,1.32,0.94,-0.36,1.62,1.82,1.56,0.14,1.21,0.97,1.08,0.16,1.03,0.86,0.57,-0.21,1.17,1.20,0.57,0.28,1.08,0.78,-0.07,-,-,-,-
Dividend Per Share,0.390,0.390,0.390,0.390,0.380,0.380,0.380,0.380,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.320,0.320,0.320,-,-,-,-,-
Dividend Growth,2.63%,2.63%,2.63%,2.63%,5.56%,5.56%,5.56%,5.56%,0%,0%,0%,0%,0%,0%,0%,0%,12.50%,12.50%,12.50%,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,20.25%,13.16%,23.53%,25.90%,25.39%,22.60%,36.12%,30.47%,29.89%,30.05%,27.53%,20.60%,-59.90%,25.67%,26.79%,22.11%,23.97%,27.52%,25.52%,29.59%,29.98%,31.62%,24.38%,14.30%,21.80%,17.58%,26.16%,21.94%
Profit Margin,17.63%,12.62%,20.98%,16.90%,16.71%,19.00%,28.63%,18.59%,24.15%,23.66%,20.91%,19.86%,-44.51%,18.63%,20.91%,20.41%,18.12%,19.59%,19.13%,23.73%,28.11%,75.86%,17.55%,10.51%,18.28%,14.44%,21.80%,18.01%
Free Cash Flow Margin,-22.23%,26.92%,42.72%,28.50%,-9.74%,39.69%,45.77%,36.50%,3.76%,33.31%,31.47%,38.69%,5.35%,32.00%,30.75%,20.60%,-8.13%,42.52%,41.35%,19.31%,9.39%,34.95%,27.50%,-3.63%,29.01%,41.23%,15.96%,-
Effective Tax Rate,22.93%,7.93%,20.59%,28.10%,22.86%,18.26%,21.31%,36.73%,21.70%,24.37%,25.55%,22.63%,-,24.78%,24.15%,24.40%,24.11%,28.89%,22.99%,21.36%,22.30%,-153.47%,31.66%,33.49%,14.97%,19.57%,13.73%,5.51%
EBITDA,122.6,81.1,145.7,141.5,147,175.5,263.1,230.3,212.4,220.4,174.5,147.2,-297.5,169.3,166.5,164.2,143.1,164.8,169.2,198.5,231.8,212.5,165.1,74.1,57.5,58.3,68.2,-
EBITDA Margin,24.73%,15.74%,28.41%,25.47%,23.71%,25.17%,38.27%,31.19%,32.98%,33.54%,30.69%,28.42%,-53.61%,28.16%,31.06%,30.64%,27.56%,30.23%,29.11%,33.51%,39.44%,34.17%,29.12%,18.68%,24.68%,22.28%,27.84%,-
Depreciation & Amortization,6.1,7.4,7.1,7.7,9.5,10.2,9.8,10.1,10.6,11.6,11.6,11,15,17.1,15.2,15.3,15,10.6,20.8,15.8,15.4,22.3,14.8,9.4,6.3,10.8,5.8,-
EBIT,116.5,73.7,138.6,133.8,137.5,165.3,253.3,220.2,201.8,208.8,162.9,136.2,-312.5,152.2,151.3,148.9,128.1,154.2,148.4,182.7,216.4,190.2,150.3,64.7,51.2,47.5,62.4,50.4
EBIT Margin,23.50%,14.31%,27.02%,24.09%,22.18%,23.71%,36.85%,29.82%,31.34%,31.77%,28.65%,26.29%,-56.32%,25.32%,28.23%,27.79%,24.67%,28.29%,25.53%,30.84%,36.82%,30.59%,26.51%,16.31%,21.97%,18.15%,25.47%,19.60%
