Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Net Income Growth,5.90%,81.93%,26.15%,23.55%,22.26%,-11.21%,48.76%,81.39%,54.48%,33.22%,24.31%,137.73%,3.72%,41.02%,-,-,-,-
Shares Outstanding (Basic),208,208,206,205,204,203,202,202,199,190,188,178,166,148,143,143,222,222
Shares Outstanding (Diluted),210,210,208,207,207,208,208,207,205,198,195,185,175,157,151,151,223,222
Shares Change,1.28%,0.99%,0.06%,-0.09%,1.20%,5.30%,6.79%,11.85%,17.48%,26.37%,28.80%,22.97%,-21.85%,-29.56%,-,-,-,-
EPS (Basic),0.42,0.42,0.34,0.33,0.41,0.24,0.27,0.27,0.34,0.29,0.20,0.17,0.26,0.08,0.21,0.09,0.19,0.13
EPS (Diluted),0.42,0.42,0.33,0.33,0.40,0.23,0.26,0.27,0.33,0.28,0.19,0.16,0.25,0.06,0.20,0.09,0.19,0.13
EPS Growth,5.00%,82.61%,26.92%,22.22%,21.21%,-17.86%,36.84%,68.75%,32.00%,366.67%,-5.00%,77.78%,31.58%,-53.85%,-,-,-,-
Free Cash Flow Per Share,0.26,0.93,0.92,0.80,0.13,0.87,0.85,0.67,0.22,0.67,0.69,0.99,-0.18,0.71,0.71,0.62,-0.13,0.43
Dividend Per Share,0.090,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,-,-
Dividend Growth,12.50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,-,-,-
Gross Margin,65.23%,65.25%,64.22%,63.02%,62.12%,61.30%,63.05%,62.26%,62.10%,62.97%,60.55%,58.10%,61.42%,61.21%,60.37%,49.60%,58.63%,54.97%
Operating Margin,37.23%,31.24%,35.81%,35.88%,35.83%,32.93%,32.24%,32.12%,35.96%,30.71%,27.49%,26.23%,33.08%,27.54%,28.99%,16.25%,24.77%,17.88%
Profit Margin,26.68%,30.35%,24.06%,23.00%,26.64%,17.66%,20.64%,21.21%,24.82%,23.62%,17.29%,14.38%,18.72%,20.95%,14.73%,6.73%,22.67%,16.41%
Free Cash Flow Margin,16.44%,65.97%,65.88%,54.87%,8.73%,63.50%,64.96%,51.97%,15.71%,54.28%,60.51%,82.74%,-12.84%,53.64%,50.47%,46.53%,-15.72%,53.91%
Effective Tax Rate,27.43%,13.27%,26.30%,27.21%,14.18%,47.09%,26.62%,23.75%,19.34%,22.71%,23.21%,29.80%,26.49%,42.77%,25.84%,32.99%,10.15%,10.44%
EBITDA,153.97,139.03,135.11,138.12,141.57,136.46,119.81,114.74,125.59,111.45,87.14,81.65,96.23,107.92,74.43,53.26,80.64,65.74
EBITDA Margin,46.77%,47.44%,47.06%,46.48%,45.45%,49.29%,45.16%,43.99%,45.94%,47.82%,40.94%,38.49%,41.02%,54.69%,37.03%,27.96%,43.17%,36.80%
Depreciation & Amortization,45.4,44.88,44.78,44.77,44.45,43.65,44.82,41.87,40.97,39.84,38.86,37.92,37.18,36.4,35.13,34.29,33.5,33.02
EBIT,108.57,94.15,90.33,93.35,97.12,92.81,74.99,72.88,84.62,71.62,48.29,43.73,59.06,71.51,39.29,18.97,47.14,32.72
EBIT Margin,32.98%,32.13%,31.46%,31.42%,31.18%,33.52%,28.26%,27.94%,30.95%,30.73%,22.68%,20.62%,25.17%,36.24%,19.55%,9.96%,25.23%,18.32%
