Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
EPS (Diluted),-0.41,-1.50,-0.51,0.22,-0.44,-1.28,-1.01,2.05,0.80,0.81,-1.41,-0.56,-0.85,-2.90,-0.45,-0.70,-0.75,-1.25,-4.70,3.65,-0.05,-39.00,-71.25,-12.00,-6.00,-8.00,-14.00,-7.50,-6.50,-0.50,-,-,-,-,-
EPS Growth,-,-,-,-89.27%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.17,-0.43,-0.34,-0.46,-0.58,-2.49,-0.60,0.37,0.98,-0.45,-1.21,-0.15,-0.50,-0.40,-0.41,-0.62,-0.43,-1.50,-3.65,1.07,-1.09,-1.36,-4.61,-9.46,-12.03,-14.70,-19.84,-12.25,-8.07,7.26,4.42,11.24,10.51,5.62,-
Gross Margin,27.92%,11.28%,79.25%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-85.13%,-807.27%,-2802.96%,-2291.31%,-2633.57%,-1217.30%,-981.45%,-95.39%,-978.25%,-93.19%,-1090.79%,-126.19%,-164.31%,-359.25%,-65.15%,-71.16%,-48.37%,-97.07%,-26.80%,62.62%,-0.93%,-139.61%,-42.89%,-64.84%,-49.69%,-74.22%,-129.44%,-42.83%,-32.65%,19.06%,35.62%,56.44%,37.70%,47.75%,51.88%
Profit Margin,-232.82%,-1757.37%,-3548.22%,1212.77%,-2998.92%,-1580.17%,-2453.32%,3382.46%,2478.05%,-91.83%,-1089.87%,-127.86%,-161.52%,-356.17%,-50.60%,-68.40%,-68.84%,-43.28%,-75.09%,51.85%,-0.93%,-202.21%,-451.27%,-81.27%,-39.35%,-59.52%,-90.79%,-34.53%,-27.67%,-1.15%,-,-,-,-110.78%,37.66%
Free Cash Flow Margin,-98.54%,-503.08%,-2373.74%,-2583.45%,-4003.52%,-5128.95%,-1461.65%,609.79%,2814.68%,-221.70%,-934.69%,-34.34%,-94.11%,-49.54%,-46.61%,-59.10%,-40.65%,-38.94%,-58.46%,15.20%,-14.17%,-7.16%,-29.21%,-63.86%,-77.53%,-110.12%,-130.06%,-56.33%,-33.76%,27.40%,18.14%,36.80%,43.69%,22.27%,-
Effective Tax Rate,-,-,-,-,-,-,-,0.12%,0.08%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EBITDA,-4.56,-19.1,-5.29,2.87,-5.7,-4.93,-5.44,11.15,4.41,-0.27,-2.74,-0.4,-0.51,-1.76,-0.21,-0.38,-0.44,-0.33,-0.2,0.57,0.01,-2.46,-0.43,-1.11,-0.49,-0.65,-1.3,-0.61,-0.51,0.18,0.16,0.21,0.19,-1.62,-
EBITDA Margin,-197.16%,-1704.81%,-2816.27%,1223.76%,-2985.08%,-1485.67%,-2432.37%,3395.02%,2495.86%,-83.65%,-1083.71%,-116.83%,-150.44%,-343.95%,-38.86%,-57.62%,-65.80%,-42.51%,-25.40%,65.15%,1.37%,-182.14%,-41.08%,-113.45%,-48.18%,-74.22%,-129.44%,-42.83%,-32.65%,10.55%,10.16%,10.36%,12.21%,-97.31%,-
Depreciation & Amortization,0.83,0.46,0.06,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.04,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.02,0.03,0.02,0,0,0,0,0,0,0,0,0,-
EBIT,-5.39,-19.56,-5.35,2.84,-5.73,-4.94,-5.47,11.12,4.38,-0.3,-2.75,-0.43,-0.54,-1.79,-0.26,-0.4,-0.46,-0.34,-0.21,0.55,-0.01,-2.49,-0.45,-1.14,-0.51,-0.65,-1.3,-0.61,-0.51,0.18,0.16,0.21,0.19,-1.62,0.99
EBIT Margin,-232.82%,-1745.69%,-2849.71%,1212.77%,-2998.92%,-1490.79%,-2445.92%,3386.71%,2480.28%,-92.79%,-1090.79%,-126.19%,-159.50%,-351.09%,-46.41%,-60.39%,-68.68%,-44.22%,-26.80%,62.62%,-0.93%,-184.48%,-42.89%,-116.50%,-49.69%,-74.22%,-129.44%,-42.83%,-32.65%,10.55%,10.16%,10.36%,12.21%,-97.31%,49.81%
