No;Symbol;Company Name;Market Cap;% Change;Volume;Revenue;Industry Name
136;ASCB;A SPAC II Acquisition Corporation;264.89M;-;1,309;-;Shell Companies
137;DALS;DA32 Life Science Tech Acquisition Corp.;262.65M;0.69%;21,555;-;Shell Companies
138;ARTE;Artemis Strategic Investment Corporation;262.38M;0.10%;2,627;-;Shell Companies
139;PRLH;Pearl Holdings Acquisition Corp;262.25M;0.10%;5,941;-;Shell Companies
140;VHNA;Vahanna Tech Edge Acquisition I Corp.;261.06M;-;50,303;-;Shell Companies
141;GTAC;Global Technology Acquisition Corp. I;260.50M;-;1;-;Shell Companies
142;SEDA;SDCL EDGE Acquisition Corporation;258.69M;-;61,454;-;Shell Companies
143;FICV;Frontier Investment Corp;257.50M;0.10%;904;-;Shell Companies
144;ACAQ;Athena Consumer Acquisition Corp.;257.44M;-;1;-;Shell Companies
145;SCAQ;Stratim Cloud Acquisition Corp.;256.25M;-;9;-;Shell Companies
146;LOCC;Live Oak Crestview Climate Acquisition Corp.;254.00M;-;25,031;-;Shell Companies
147;BWC;Blue Whale Acquisition Corp I;252.86M;0.10%;7,394;-;Shell Companies
148;HMA;Heartland Media Acquisition Corp.;251.89M;-;100;-;Shell Companies
149;NVAC;NorthView Acquisition Corporation;251.23M;-;5;-;Shell Companies
150;BYNO;byNordic Acquisition Corporation;250.89M;-;13,671;-;Shell Companies
151;BOCN;Blue Ocean Acquisition Corp.;248.81M;-;14;-;Shell Companies
152;CSLM;Consilium Acquisition Corp I, Ltd.;247.39M;-;27,784;-;Shell Companies
153;IRRX;Integrated Rail and Resources Acquisition Corp.;244.49M;0.09%;28,884;-;Shell Companies
154;DSAQ;Direct Selling Acquisition Corp.;242.65M;-;31,133;-;Shell Companies
155;CFFS;CF Acquisition Corp. VII;241.35M;-;1,2;-;Shell Companies
156;MPRA;Mercato Partners Acquisition Corporation;240.12M;-;13;-;Shell Companies
157;APCA;AP Acquisition Corp.;231.15M;-;100;-;Shell Companies
158;FNVT;Finnovate Acquisition Corp.;229.07M;0.76%;102;-;Shell Companies
159;GBBK;Global Blockchain Acquisition Corp.;227.77M;-;10;-;Shell Companies
160;MNTN;Everest Consolidator Acquisition Corporation;227.05M;-;2,8;-;Shell Companies
161;BOAC;Bluescape Opportunities Acquisition Corp.;227.00M;0.10%;7,215;-;Shell Companies
162;TWCB;Bilander Acquisition Corp.;226.82M;-;14;-;Shell Companies
163;TCOA;Trajectory Alpha Acquisition Corp.;221.66M;-;4,415;-;Shell Companies
164;SEPA;SEP Acquisition Corp.;219.37M;-;179;-;Shell Companies
165;GFOR;Graf Acquisition Corp. IV;219.24M;-0.10%;3,371;-;Shell Companies
166;CLBR;Colombier Acquisition Corp.;219.07M;0.10%;471,277;-;Shell Companies
167;BSAQ;Black Spade Acquisition Co;217.16M;-;7,166;-;Shell Companies
168;SAMA;Schultze Special Purpose Acquisition Corp. II;213.26M;-;120;-;Shell Companies
169;HHLA;HH&L Acquisition Co.;212.89M;-0.10%;635;-;Shell Companies
170;RCAC;Revelstone Capital Acquisition Corp.;212.44M;-;1;-;Shell Companies
171;AACI;Armada Acquisition Corp. I;211.24M;-;404;-;Shell Companies
172;FACT;Freedom Acquisition I Corp.;207.23M;-;10,4;-;Shell Companies
173;ISRL;Israel Acquisitions Corp;205.50M;0.01%;7,68;-;Shell Companies
174;PRPC;CC Neuberger Principal Holdings III;204.82M;-;103;-;Shell Companies
175;JAQC;Jupiter Acquisition Corporation;204.80M;-;732;-;Shell Companies
176;EMCG;WisdomTree Emerging Markets Consumer Growth Fund;203.66M;-;1,302;-;Shell Companies
177;BYTS;BYTE Acquisition Corp.;202.63M;1.22%;15,063;-;Shell Companies
178;BNNR;Banner Acquisition Corp.;202.04M;0.14%;1,322,214;-;Shell Companies
179;ALPA;Alpha Healthcare Acquisition Corp. III;201.45M;-0.10%;103;-;Shell Companies
180;ARYE;ARYA Sciences Acquisition Corp V;196.85M;-;25;-;Shell Companies
181;MCAA;Mountain & Co. I Acquisition Corp.;194.38M;-;29,355;-;Shell Companies
182;MITA;Coliseum Acquisition Corp.;193.13M;-;2;-;Shell Companies
183;APMI;AxonPrime Infrastructure Acquisition Corporation;190.69M;-;34;-;Shell Companies
184;GLTA;Galata Acquisition Corp.;188.22M;-;446;-;Shell Companies
185;GSQB;G Squared Ascend II Inc.;186.88M;-;42,994;-;Shell Companies
186;TENK;TenX Keane Acquisition Ordinary Share;186.15M;-;4;-;Shell Companies
187;LFAC;LF Capital Acquisition Corp. II;185.18M;-;158,539;-;Shell Companies
188;SWAG;Stran & Company, Inc.;182.51M;-;36,048;58.95M;Shell Companies
189;ITAQ;Industrial Tech Acquisitions II, Inc.;179.23M;-1.05%;25,182;-;Shell Companies
190;LGST;Semper Paratus Acquisition Corporation;177.14M;-;123;-;Shell Companies
191;FSNB;Fusion Acquisition Corp. II;175.19M;-;4;-;Shell Companies
192;PUCK;Goal Acquisitions Corp.;172.70M;-;7,1;-;Shell Companies
193;LATG;LatAmGrowth SPAC;171.58M;-;5;-;Shell Companies
194;NBST;Newbury Street Acquisition Corporation;171.12M;-;20,243;-;Shell Companies
195;FRBN;Forbion European Acquisition Corp.;166.66M;-;11;-;Shell Companies
196;CCTS;Cactus Acquisition Corp. 1 Limited;165.71M;-0.10%;207;-;Shell Companies
197;BRKH;Burtech Acquisition Corp.;164.89M;-;190;-;Shell Companies
198;TOAC;Talon 1 Acquisition Corp.;164.82M;-;28;-;Shell Companies
199;IFIN;InFinT Acquisition Corporation;164.66M;0.09%;41,314;-;Shell Companies
200;NUBI;Nubia Brand International Corp.;163.70M;-;2;-;Shell Companies
201;VAQC;Vector Acquisition Corporation II;163.06M;-;171;-;Shell Companies
202;AGAC;African Gold Acquisition Corporation;162.47M;0.05%;3,189;-;Shell Companies
203;SAGA;Sagaliam Acquisition Corp.;162.30M;-;1,995;-;Shell Companies
204;ARYD;ARYA Sciences Acquisition Corp IV;162.06M;-;1;-;Shell Companies
205;FMIV;Forum Merger IV Corporation;161.42M;0.59%;49,824;-;Shell Companies
206;SMAP;SportsMap Tech Acquisition Corp.;160.43M;-;1;-;Shell Companies
207;EVGR;Evergreen Corporation;158.62M;0.19%;20,169;-;Shell Companies
208;FLME;Flame Acquisition Corp.;158.55M;-;100;-;Shell Companies
209;VCXB;10X Capital Venture Acquisition Corp. III;157.57M;0.10%;1,599;-;Shell Companies
210;KRNL;Kernel Group Holdings, Inc.;157.44M;-;1;-;Shell Companies
211;KYCH;Keyarch Acquisition Corporation;156.95M;-;42,672;-;Shell Companies
212;GLLI;Globalink Investment Inc.;156.62M;-;8,001;-;Shell Companies
213;ROSS;Ross Acquisition Corp II;155.31M;0.10%;109,356;-;Shell Companies
214;ALSA;Alpha Star Acquisition Corporation;155.11M;-0.09%;112;-;Shell Companies
215;BCSA;Blockchain Coinvestors Acquisition Corp. I;154.97M;-;36,722;-;Shell Companies
216;ROCL;Roth Ch Acquisition V Co.;154.15M;0.10%;4,712;-;Shell Companies
217;WINV;WinVest Acquisition Corp.;153.53M;-0.28%;100;-;Shell Companies
218;TGVC;TG Venture Acquisition Corp.;153.28M;-;4;-;Shell Companies
219;PTWO;Pono Capital Two, Inc.;153.08M;-0.88%;495;-;Shell Companies
220;AFAR;Aura FAT Projects Acquisition Corp;153.02M;-;100;-;Shell Companies
221;WEL;Integrated Wellness Acquisition Corp;152.88M;0.05%;528;-;Shell Companies
222;FTII;FutureTech II Acquisition Corp.;152.72M;0.29%;1,301;-;Shell Companies
223;YOTA;Yotta Acquisition Corporation;152.63M;-0.19%;1,877;-;Shell Companies
224;FEXD;Fintech Ecosystem Development Corp.;152.45M;0.41%;102;-;Shell Companies
225;CHEA;Chenghe Acquisition Co.;152.37M;0.09%;53,019;-;Shell Companies
226;ADRT;Ault Disruptive Technologies Corporation;151.51M;-;94;-;Shell Companies
227;ANZU;Anzu Special Acquisition Corp I;151.32M;-;6,167;-;Shell Companies
228;EFHT;EF Hutton Acquisition Corporation I Common Stock;150.28M;0.10%;1,215;-;Shell Companies
229;LVAC;LAVA Medtech Acquisition Corp.;150.08M;-;8,059;-;Shell Companies
230;INTE;Integral Acquisition Corporation 1;150.07M;-0.66%;36,219;-;Shell Companies
231;LHC;Leo Holdings Corp. II;146.76M;-0.38%;161;-;Shell Companies
232;MBAC;M3-Brigade Acquisition II Corp.;146.39M;-;23,31;-;Shell Companies
233;SBXC;SilverBox Corp III;145.87M;-;140,1;-;Shell Companies
234;SHUA;SHUAA Partners Acquisition Corp I;143.42M;-;9,312;-;Shell Companies
235;NSTD;Northern Star Investment Corp. IV;140.74M;-;124;-;Shell Companies
236;AOGO;Arogo Capital Acquisition Corp.;140.47M;0.19%;14,606;-;Shell Companies
237;LCA;Landcadia Holdings IV, Inc.;139.96M;-;1;-;Shell Companies
238;VSAC;Vision Sensing Acquisition Corp.;138.79M;-;8;-;Shell Companies
239;FRLA;Fortune Rise Acquisition Corporation;137.86M;-;1,363;-;Shell Companies
240;MOBV;Mobiv Acquisition Corp;137.81M;0.19%;670;-;Shell Companies
241;GSD;Global System Dynamics, Inc.;137.78M;-;438;-;Shell Companies
242;PLMI;Plum Acquisition Corp. I;137.37M;-0.19%;2,279;-;Shell Companies
243;TLGA;TLG Acquisition One Corp.;134.92M;-;7;-;Shell Companies
244;FSRX;FinServ Acquisition Corp. II;134.91M;-;13,859;-;Shell Companies
245;PIAI;Prime Impact Acquisition I;134.11M;-;577;-;Shell Companies
246;FRXB;Forest Road Acquisition Corp. II;133.44M;-0.30%;100;-;Shell Companies
247;FLFV;Feutune Light Acquisition Corporation;133.40M;0.10%;1,6;-;Shell Companies
248;TWLV;Twelve Seas Investment Company II;133.36M;-;300;-;Shell Companies
249;ALCY;Alchemy Investments Acquisition Corp 1;132.26M;-0.15%;1,726;-;Shell Companies
250;LIVB;LIV Capital Acquisition Corp. II;132.08M;-0.19%;51,213;-;Shell Companies
251;FZT;FAST Acquisition Corp. II;130.87M;0.49%;784;-;Shell Companies
252;IOAC;Innovative International Acquisition Corp.;130.46M;-;200;-;Shell Companies
253;SGHL;Signal Hill Acquisition Corp.;130.25M;0.10%;1,204;-;Shell Companies
254;GLST;Global Star Acquisition, Inc.;130.20M;0.10%;25,191;-;Shell Companies
255;GFX;Golden Falcon Acquisition Corp.;129.88M;-0.10%;43,198;-;Shell Companies
256;GMFI;Aetherium Acquisition Corp.;127.02M;0.57%;191;-;Shell Companies
257;BWAQ;Blue World Acquisition Corporation;126.82M;-;5;-;Shell Companies
258;CSTA;Constellation Acquisition Corp I;126.72M;-;7;-;Shell Companies
259;DHCA;DHC Acquisition Corp.;126.43M;-;10;-;Shell Companies
260;TBCP;Thunder Bridge Capital Partners III Inc.;126.25M;-;4,441;-;Shell Companies
261;ACAH;Atlantic Coastal Acquisition Corp.;124.62M;0.29%;1,034;-;Shell Companies
262;MACA;Moringa Acquisition Corp;123.75M;-0.10%;1,4;-;Shell Companies
263;HNRA;HNR Acquisition Corp;123.41M;0.47%;2,809;-;Shell Companies
264;VCXA;10X Capital Venture Acquisition Corp. II;122.51M;-0.19%;204;-;Shell Companies
265;MCAC;Monterey Capital Acquisition Corporation;121.04M;0.87%;78,304;-;Shell Companies
266;ARRW;Arrowroot Acquisition Corp.;120.06M;0.19%;7,404;-;Shell Companies
267;TRCA;Twin Ridge Capital Acquisition Corp.;120.00M;-;20,833;-;Shell Companies
268;OPA;Magnum Opus Acquisition Limited;119.89M;0.10%;27,072;-;Shell Companies
269;NSTB;Northern Star Investment Corp. II;119.00M;-0.10%;800;-;Shell Companies
270;ERES;East Resources Acquisition Company;118.48M;-;6,006;-;Shell Companies
271;MSAC;Medicus Sciences Acquisition Corp.;118.12M;-;1,522;-;Shell Companies
272;DUET;DUET Acquisition Corp.;117.58M;0.24%;1,277;-;Shell Companies
273;USCT;TKB Critical Technologies 1;117.39M;-;693;-;Shell Companies
274;MAQC;Maquia Capital Acquisition Corporation;117.21M;0.37%;412;-;Shell Companies
275;ACAX;Alset Capital Acquisition Corp.;116.26M;-;4;-;Shell Companies
276;BYN;Banyan Acquisition Corporation;115.92M;-;20,185;-;Shell Companies
277;SNRH;Senior Connect Acquisition Corp. I;115.90M;-;103;-;Shell Companies
278;AGBA;AGBA Acquisition Limited;115.58M;-5.37%;159,251;31.08M;Shell Companies
279;ATAK;Aurora Technology Acquisition Corp.;115.41M;-0.05%;24,069;-;Shell Companies
280;APXI;APx Acquisition Corp. I;114.78M;-;2;-;Shell Companies
281;VII;7GC & Co. Holdings Inc.;114.45M;0.68%;1,55;-;Shell Companies
282;DECA;Denali Capital Acquisition Corp.;114.39M;0.09%;6,495;-;Shell Companies
283;ONYX;Onyx Acquisition Co. I;114.29M;-;4,783;-;Shell Companies
284;ACAC;Acri Capital Acquisition Corporation;114.07M;-;14;-;Shell Companies
285;COOL;Corner Growth Acquisition Corp.;113.26M;-;100;-;Shell Companies
286;SZZL;Sizzle Acquisition Corp.;112.87M;0.09%;904;-;Shell Companies
287;ACAB;Atlantic Coastal Acquisition Corp. II;112.86M;-;3,833;-;Shell Companies
288;CPTK;Crown Proptech Acquisitions;112.85M;-;2,616;-;Shell Companies
289;VBOC;Viscogliosi Brothers Acquisition Corp.;112.12M;-;4;-;Shell Companies
290;BHAC;Crixus BH3 Acquisition Company;111.07M;-;11;-;Shell Companies
291;ADER;26 Capital Acquisition Corp.;110.01M;-1.16%;2,565;-;Shell Companies
292;KACL;Kairous Acquisition Corp. Limited;109.98M;-;101;-;Shell Companies
293;ENER;Accretion Acquisition Corp.;109.49M;-;19,122;-;Shell Companies
294;IXAQ;IX Acquisition Corp.;108.41M;0.29%;2,636;-;Shell Companies
295;QFTA;Quantum FinTech Acquisition Corporation;107.61M;-;101;-;Shell Companies
296;FGMC;FG Merger Corp.;106.45M;-;5,779;-;Shell Companies
297;CLRC;ClimateRock;105.40M;0.38%;31,325;-;Shell Companies
298;WTMA;Welsbach Technology Metals Acquisition Corp.;104.87M;0.14%;20,353;-;Shell Companies
299;ESAC;ESGEN Acquisition Corporation;104.82M;-;2,254;-;Shell Companies
300;SLAC;Social Leverage Acquisition Corp I;104.63M;-0.20%;212,949;-;Shell Companies
301;PRSR;Prospector Capital Corp.;103.81M;-0.10%;524;-;Shell Companies
302;DTOC;Digital Transformation Opportunities Corp.;103.67M;0.24%;40,969;-;Shell Companies
303;TMKR;Tastemaker Acquisition Corp.;102.69M;-;3;-;Shell Companies
304;SDAC;Sustainable Development Acquisition I Corp.;102.67M;-;8,02;-;Shell Companies
305;FLAG;First Light Acquisition Group, Inc.;101.95M;-;2,378;-;Shell Companies
306;GIA;GigCapital5, Inc.;101.47M;-0.65%;32,857;-;Shell Companies
307;CHAA;Catcha Investment Corp;100.65M;0.19%;25,204;-;Shell Companies
308;NCAC;Newcourt Acquisition Corp;98.20M;-;3;-;Shell Companies
309;ADEX;Adit EdTech Acquisition Corp.;96.95M;-;300;-;Shell Companies
310;IPVF;InterPrivate III Financial Partners Inc.;96.25M;-;20;-;Shell Companies
311;MARX;Mars Acquisition Corp.;96.08M;0.29%;7,157;-;Shell Companies
312;LBBB;Lakeshore Acquisition II Corp.;96.08M;-;5,166;-;Shell Companies
313;TMTC;TMT Acquisition Corp.;95.93M;-0.10%;123,286;-;Shell Companies
314;CNGL;Canna-Global Acquisition Corp;95.11M;-;8;-;Shell Companies
315;BRAC;Broad Capital Acquisition Corp.;94.94M;-;561;-;Shell Companies
316;HSPO;Horizon Space Acquisition I Corp.;94.87M;-;10;-;Shell Companies
317;ARBG;Aequi Acquisition Corp.;94.79M;-;23,84;-;Shell Companies
318;ARIZ;Arisz Acquisition Corp.;94.55M;-;8,9;-;Shell Companies
319;PCCT;Perception Capital Corp. II;93.63M;-;4;-;Shell Companies
320;HMAC;Hainan Manaslu Acquisition Corp.;93.43M;-;9,111;-;Shell Companies
321;MCAG;Mountain Crest Acquisition Corp. V;93.33M;-2.18%;56,529;-;Shell Companies
