Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31
Long-Term Debt,121.85,140.06,142.36,143.57,143.82,143.32,144.29,179.73,104.98,106.82,154.77,157.43,158.38,121.69,121.65,242.43,-,242.82,-,-,0
Other Long-Term Liabilities,163.78,162.68,173.94,174.36,175.39,171.84,176.67,167.49,166.74,165.8,166.35,165.84,165.2,166.83,156.77,157.13,-,156.21,-,-,163.34
Total Long-Term Liabilities,285.64,302.74,316.3,317.93,319.22,315.16,320.95,347.21,271.72,272.62,321.12,323.27,323.58,288.52,278.42,399.56,-,399.03,-,-,163.34
Total Liabilities,360.6,376.56,370.06,370.49,368.01,374.02,369.7,387.64,305.75,318.52,359.87,357.77,358.95,330.1,317.91,435.92,-,448.26,-,-,211.78
Total Debt,121.85,140.06,142.36,143.57,143.82,143.32,144.29,179.73,104.98,106.82,154.77,157.43,158.38,121.69,121.65,244.22,-,245.12,-,-,0
Debt Growth,-15.28%,-2.27%,-1.34%,-20.12%,37.01%,34.17%,-6.77%,14.16%,-33.72%,-12.22%,27.23%,-35.54%,-,-50.35%,-,-,-,-,-,-,-
Common Stock,946.84,943.02,939.24,935.32,932.29,929.14,923.59,890.61,883.93,850.5,836.71,823.6,809.67,796.48,782.51,646.66,-,635.16,-,-,784.53
Retained Earnings,200.73,183.5,157.91,127.8,102.46,80.24,67.89,55.64,45.66,54.57,64.44,55.84,65.12,62.38,65.12,68.85,-,63.85,-,-,101.42
Comprehensive Income,-0.16,-0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,0.01
Shareholders' Equity,"1,147.41","1,126.37","1,097.15","1,063.12","1,034.75","1,009.39",991.48,946.25,929.59,905.07,901.14,879.44,874.79,858.86,847.63,715.51,-,699.01,-,-,885.96
Total Liabilities and Equity,"1,508.01","1,502.93","1,467.21","1,433.61","1,402.76","1,383.41","1,361.18","1,333.89","1,235.34","1,223.59","1,261.01","1,237.21","1,233.73","1,188.96","1,165.54","1,151.43",-,"1,147.28",-,-,"1,097.74"
Net Cash / Debt,29.84,9.93,20.77,-0.81,-17.65,-39.11,-67.97,24.53,-5.88,-14.62,-27.28,-47.12,-62.83,-9.08,-29.32,-168.95,0,-132.44,0,0,57.19
Net Cash Per Share,0.40,0.13,0.28,-0.01,-0.24,-0.53,-0.92,0.34,-0.08,-0.24,-0.39,-0.70,-0.91,-0.16,-0.42,-2.55,-,-2.00,-,-,-
Working Capital,115.2,113.39,146.07,123.58,100.16,75.31,59.81,197.47,103.78,77.43,121.61,98.22,90.39,91.28,69.72,56.77,-,77.52,-,-,20.09
Book Value Per Share,15.53,15.25,14.86,14.44,14.06,13.78,13.60,13.16,13.20,13.35,13.39,13.09,13.03,14.97,12.24,10.82,-,10.57,-,-,13.39
