Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Accounts Payable,72.4,90.4,88.9,90.03,74.3,89.52,-,93.59,57.2,83.46,71.4,75.71,-,53.54,0.2,0.15,0.12,89.52,0.14,0.1,0.35,0.03,-,-,-,0
Deferred Revenue,412.5,390.2,358,380.4,339.7,342.45,-,324.42,275.5,288.31,268.8,271.71,-,215.12,0,0,0,342.45,0,0,0,0,-,-,-,0
Current Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0.25,0.2,-,-,-,0.17
Other Current Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-268.23,0,0,0.14,-431.78,0.25,0.12,0,0,-,-,-,0
Total Current Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,0.44,0.2,0.15,0.26,0.19,0.39,0.22,0.6,0.24,-,-,-,0.17
Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,2.23,1.88,1.73,1.73,1.73,1.73,1.73,1.73,0,-,-,-,0
Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,0,-,-,-,0
Total Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,9.58,9.23,9.08,9.08,9.08,9.08,9.08,9.08,0,-,-,-,0
Total Liabilities,"1,191.3","1,169.4","1,068.6","1,067.39","1,005.9","1,049.86",-,"1,001.27",869.6,898.2,829.6,800.9,-,696.93,9.42,9.23,9.34,"1,049.86",9.47,9.29,9.68,0.24,-,-,-,0.17
Total Debt,0,0,0,0,0,0,-,0,0,0,0,0,-,0,1.88,1.73,1.73,0,1.73,1.73,1.98,0.2,-,-,-,0.17
Debt Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.70%,-,-12.66%,-,-,-,-,22.45%,-,-,-,-
Common Stock,128,148.4,160.9,161.13,160.5,160.03,-,158.94,167.6,158.16,166.9,166.92,-,126.05,1.63,2.03,2.79,160.03,4.05,4.55,5.01,0.03,-,-,-,0.03
Retained Earnings,340.3,306.8,282.1,264.06,242.7,232.62,-,215.18,215.7,205.04,198.5,193.31,-,182.16,3.37,2.97,2.21,232.62,0.95,0.45,-0.01,-0.02,-,-,-,-0
Comprehensive Income,-38.1,-44.2,-42.7,-31.28,-12.3,9.21,-,16.12,12.7,17.81,14.2,6.05,-,3.94,0,0,0,9.21,0,0,0,0,-,-,-,0
Shareholders' Equity,430.2,411,400.3,393.91,390.9,401.87,-,390.23,396,381.01,379.6,366.27,-,312.14,5,5,5,401.87,5,5,5,0.01,-,-,-,0.02
Total Liabilities and Equity,"1,621.5","1,580.4","1,468.9","1,461.29","1,396.8","1,451.73",-,"1,391.5","1,265.6","1,279.21","1,209.2","1,167.18",-,"1,009.07",14.42,14.23,14.34,"1,451.73",14.47,14.29,14.68,0.24,-,-,-,0.19
Net Cash / Debt,156.6,122.2,246.7,213.91,175,242.15,0,180.13,107.7,133.44,312.1,318.71,0,192.46,-1.82,-1.68,-1.53,242.15,-1.28,-1.18,-0.72,-0.2,0,0,0,-0.14
Net Cash / Debt Growth,-10.51%,-49.53%,-,18.75%,62.49%,81.47%,-,-43.48%,-,-30.67%,-,-,-,-20.52%,-,-,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,33.82,-0.32,-0.30,-0.27,47.43,-0.23,-0.21,-0.16,-0.05,-,-,-,-
Working Capital,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.33,-0.05,0.01,0.07,0.28,0.21,0.52,0.85,-0.22,-,-,-,-0.14
Book Value Per Share,8.78,8.36,8.12,8.01,8.00,8.22,-,8.03,8.15,7.86,7.83,7.56,-,54.85,0.88,0.88,0.89,78.72,0.89,0.89,1.12,0.00,-,-,-,0.01
