Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31
Other Long-Term Liabilities,"4,661.96","4,029.93","3,821.61","5,037.09","4,145.2","3,273.6","2,350.75","2,279.54","1,521.71","3,173.9","3,681.04","3,107.84","3,473.68","2,194",778.03,356.08,15.76,-,-,-,0,0
Total Long-Term Liabilities,"4,661.96","4,029.93","3,821.61","5,037.09","4,145.2","3,273.6","2,350.75","2,279.54","1,521.71","3,173.9","3,681.04","3,107.84","3,473.68","2,194",778.03,356.08,15.76,-,-,-,0,0
Total Liabilities,"21,411.87","21,972.86","20,645.13","19,669.49","18,288.39","16,768.22","15,758.47","15,740.94","14,906.22","16,006.64","16,972.24","16,756.87","13,140.87","11,933.64","9,324.59","5,296","2,909.54",-,-,-,"2,365.21",111.35
Total Debt,150,639.76,611.16,586.46,397.58,335.89,336.27,231.9,186.8,184.87,188.31,435,200,"1,535","1,435",0,0,-,-,-,0,0
Debt Growth,-62.27%,90.47%,81.75%,152.90%,112.84%,81.69%,78.57%,-46.69%,-6.60%,-87.96%,-86.88%,-,-,-,-,-,-,-,-,-,-,-
Common Stock,"6,095.25","17,901.27","5,771.12","16,172.62","5,672.29","5,614.74","5,544.26","5,476.97","5,417.43","5,309.68","5,254.26","5,188.58","5,117.2","5,031.48","5,009.16","4,935.62","4,866.78",-,-,-,590,0
Retained Earnings,"12,803.68",-,"11,314.75",-,"9,642.51","8,596.71","7,032.63","5,484.98","4,137.54","2,932.73","1,700.86",824.34,"2,071.33","1,641.42",907.86,289.68,-430.26,-,-,-,144.15,-21.83
Comprehensive Income,-51.78,0,-67.61,0,-110.93,-94.62,-90.18,-68.17,-74.39,-12.54,52.31,55.87,24.91,69.63,1.15,-36.33,3.68,-,-,-,0,0
Shareholders' Equity,"18,847.16","17,901.27","17,018.26","16,172.62","15,203.86","14,116.83","12,486.7","10,893.79","9,480.58","8,229.87","7,007.42","6,068.79","7,213.44","6,742.52","5,918.17","5,188.97","4,440.2",-,-,-,734.15,-21.83
Total Liabilities and Equity,"40,259.03","39,874.14","37,663.39","35,842.11","33,492.25","30,885.04","28,245.18","26,634.72","24,386.79","24,236.5","23,979.66","22,825.66","20,354.31","18,676.17","15,242.76","10,484.97","7,349.74",-,-,-,"3,099.36",89.52
Net Cash / Debt,"28,749.1","23,622.07","24,588.08","19,438.29","22,013.1","16,226.28","15,784.13","15,330.45","17,653.58","15,200.95","15,816.05","14,129.58","14,787.97","9,708.29","6,381.31","4,273.85","4,018.65",0,0,0,"2,418.86",6.17
Net Cash / Debt Growth,30.60%,45.58%,55.78%,26.80%,24.69%,6.75%,-0.20%,8.50%,19.38%,56.58%,147.85%,230.61%,267.98%,-,-,-,66.14%,-,-,-,-,-
Net Cash Per Share,91.08,75.60,78.90,62.58,71.21,52.66,51.43,50.28,58.20,50.64,53.48,48.13,50.65,33.70,22.18,14.86,18.61,-,-,-,-,-
Working Capital,"17,347.55","15,334.89","13,984.33","14,784.6","13,614.04","12,098.11","11,253.94","10,175.58","8,491.53","9,308.57","8,881.98","7,408.22","9,836.3","8,724.25","6,679.85","5,537.99","4,448.24",-,-,-,652.36,-32.32
Book Value Per Share,119.42,114.58,109.22,104.14,98.36,91.64,81.38,71.46,62.51,54.83,47.39,41.34,49.42,46.81,41.15,36.08,41.12,-,-,-,7.40,-
