Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31
Other Current Liabilities,48.4,45.56,45.88,47.59,62.77,52.51,46.26,40.88,41.4,37.59,40.56,36.85,19.12,10.78,10.38,6.31,-0.37,-4.81,7.56,10.89,1.45,-4.05,-0.18,3.01,8.02,5.38,4.83,8.18,10.51,6.04,19.65,34.12,6.57,3.51,-,-,-,-0.02,-0.08
Total Current Liabilities,105.03,121.17,113.2,105.42,112.05,114.73,110.39,118.06,117.75,110.68,170.58,156.26,130.68,71.56,56.42,49.42,41.01,38.25,48.15,53.1,39.02,36.32,25.78,23.94,33.77,24.43,21.69,24.52,20.6,17.9,31.54,40.62,12.91,14.13,-,-,-,8.06,6.97
Long-Term Debt,134.23,111.72,151.92,153.66,116.14,119.63,121.43,103.18,104.02,127.37,75.09,76.07,74.59,103.03,44.47,41.47,45.44,15.18,16.57,11.32,11.53,9.96,0.02,0.08,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0
Other Long-Term Liabilities,43.68,41.32,41.69,43.43,44.83,44.14,49.85,52.22,49.58,48.2,57.22,63.5,68.95,87.69,47.9,51.86,57.92,55.3,57.05,25.91,32.27,32.47,23.95,20.99,17.51,13.74,13.96,13.09,11.4,12.22,13.91,18.44,24.99,19.78,-,-,-,0.02,0.08
Total Long-Term Liabilities,177.92,153.04,193.61,197.09,160.96,163.77,171.28,155.41,153.6,175.58,132.31,139.56,143.55,190.73,92.36,93.33,103.36,70.48,73.61,37.23,43.81,42.42,23.97,21.07,17.51,13.74,13.96,13.09,11.4,12.22,13.91,18.44,24.99,19.78,-,-,-,0.02,0.08
Total Liabilities,282.95,274.21,306.81,302.5,273.02,278.49,281.67,273.47,271.35,286.26,302.89,295.82,274.23,262.29,148.78,142.74,144.36,108.73,121.76,90.33,82.83,78.74,49.75,45,51.28,38.17,35.65,37.61,32,30.12,45.44,59.06,37.9,33.91,-,-,-,8.08,7.06
Total Debt,143.17,122.24,163.28,164.54,127.77,131.04,131.95,132.58,133.63,137.25,137.07,137.69,136.53,110.36,50.22,46.47,50.77,17.77,18.29,12.99,13.27,11.71,0.36,0.41,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0
Debt Growth,12.05%,-6.72%,23.75%,24.10%,-4.38%,-4.52%,-3.74%,-3.71%,-2.12%,24.36%,172.93%,196.30%,168.92%,520.99%,174.52%,257.71%,282.58%,51.81%,4981.67%,3045.52%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Common Stock,296.82,296.77,296.2,294.6,294.03,293.8,292.97,291.96,291.6,293.16,290.24,288.35,287.97,285.7,296.24,289.85,287.15,280.18,277.48,257.32,255.06,249.72,242.85,241.12,239.78,237.82,236.61,235.04,232.86,234.71,233.76,230.99,229.24,228.02,-,-,-,162.36,-6.42
Retained Earnings,-576.21,-568.48,-557.64,-547.6,-544.08,-535,-529.99,-520.79,-506.04,-491.48,-469.65,-447.65,-430.73,-244.08,-229.38,-219.97,-216.7,-214.24,-214.17,-215.44,-224.28,-219.4,-210.99,-209.03,-201.9,-200.44,-202.27,-202.67,-202.29,-202.55,-207.67,-210.23,-216.71,-213.04,-,-,-,-168.12,-
Comprehensive Income,-0.01,0.08,-0.47,-0.26,-0.8,-1.21,-1.03,-0.43,-0.99,-1.16,-1.36,-0.11,-0.31,-0.22,-0.39,-0.29,-0.48,-0.5,-0.25,-0.35,-0.23,-0.14,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0
Shareholders' Equity,-279.4,-271.63,-261.91,-253.26,-250.84,-242.4,-238.05,-229.26,-215.44,-199.48,-180.77,-159.41,-143.07,41.4,66.47,69.59,69.97,65.44,63.05,41.54,30.55,30.19,31.86,32.09,37.88,37.38,34.35,32.37,30.57,32.17,26.09,20.75,12.53,14.98,-,-,-,-5.76,-6.42
Total Liabilities and Equity,3.54,2.58,44.9,49.24,22.17,36.09,43.62,44.21,55.91,86.78,122.12,136.41,131.16,303.68,215.25,212.33,214.33,174.17,184.81,131.87,113.38,108.93,81.62,77.1,89.16,75.55,69.99,69.98,62.56,62.28,71.54,79.81,50.43,48.89,-,-,-,2.32,0.64
Net Cash / Debt,-70.82,-40.49,-81.75,-77.54,-63.72,-58.02,-56.55,-64.91,-63.55,-54.3,-31.71,-34.62,-60.61,-55.92,-1.84,6.85,1.79,41.67,57.37,40.27,36.69,33.85,55.31,50.56,53.29,93.93,96.85,100.93,136.71,137.03,148.04,166.38,33.84,32.93,0,0,0,0.6,0
Net Cash / Debt Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-83.00%,-95.12%,23.11%,3.72%,-20.36%,-31.16%,-63.97%,-42.89%,-49.91%,-61.02%,-31.45%,-34.58%,-39.34%,303.98%,316.07%,-,-,-,5389.00%,-,-,-,-,-
Net Cash Per Share,-23.73,-14.57,-27.62,-24.94,-22.68,-20.82,-18.96,-23.48,-23.66,-23.02,-13.75,-15.26,-27.56,-25.02,-0.66,2.52,0.73,20.06,24.55,16.19,17.35,16.03,26.93,22.32,26.04,41.34,42.81,49.28,61.64,61.78,67.23,75.73,17.07,16.62,-,-,-,-,-
Working Capital,16.29,3.86,9.7,14.43,-18.78,-16.27,-15.63,-33.9,-31.11,0.6,-49.34,-39.99,-28.99,5.73,10.9,25.3,35.83,38.56,42.3,24.12,33.65,33.43,44.38,42.3,36.03,86.82,83.98,85.1,131.03,130.97,126.61,136.07,34.17,30.91,-,-,-,-6.28,-6.73
Book Value Per Share,-93.63,-91.31,-88.48,-86.94,-89.30,-87.01,-85.48,-82.94,-80.21,-84.56,-78.39,-70.26,-65.06,18.84,25.76,28.27,28.92,27.50,29.90,19.83,14.59,14.60,15.76,15.89,18.80,18.55,17.05,16.10,15.22,16.03,13.10,10.46,6.32,7.56,-,-,-,-2.91,-3.24
