Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
Debt Growth,0.07%,-26.07%,-25.31%,-24.38%,-23.60%,-3.39%,-13.44%,-21.38%,-24.49%,-20.11%,-3.47%,6.62%,20.34%,54.99%,47.79%,54.25%,60.04%,-9.03%,-3.90%,0.25%,0.31%,9.29%,8.64%,715.00%,361.65%,341.44%,460.29%,-65.52%,-60.09%,-97.92%,-98.39%,-,-,-20.70%,-,-,-,-
Common Stock,1.8,1.5,0.9,0.5,0,0,485.1,493.5,492.9,492.5,586.9,580.6,590.8,618.3,642.4,88.9,33.6,806.6,191.3,116.8,180.1,141,167.6,153.2,216,195.8,243.9,210.4,189.8,168.7,129.7,101.2,58.1,93.1,45.2,-,-,-46.5
Retained Earnings,-0.8,-12.5,-42.4,-59.8,-88,-6.8,610.4,381.6,-150.3,-176.5,-373.7,-410.1,-428.3,-452.5,-511.7,-,-,-640.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Comprehensive Income,-9.3,-10.6,-13.6,-11.7,-9.9,-10.8,-11.5,-11.2,-11.9,-13.6,-16.2,-18.2,-19.1,-17.5,-20,-19.8,-19.8,-20.9,-21,-21.2,-20.2,-21.6,-22.4,-23.9,-25.3,-26.3,-25,-23.6,-13.6,-2.8,-5.5,4.9,5,5.3,6.1,-,-,3
Shareholders' Equity,-8.3,-21.6,-55.1,-71,-97.9,-17.6,"1,084",863.9,330.7,302.4,197,152.3,143.4,148.3,110.7,69.1,13.8,145.2,170.3,95.6,159.9,119.4,145.2,129.3,190.7,169.5,218.9,186.8,176.2,165.9,124.2,106.1,63.1,98.4,51.3,-,-,-43.5
Total Liabilities and Equity,546,518.7,474.7,478.3,494.1,714.8,"1,847.5","1,748.5","1,337.6","1,297.2","1,342.8","1,342.6","1,373.1","1,369.6","1,390.3","1,390.6","1,318.1","1,522.8","1,572.2","1,436.7","1,386.1","1,439.8","1,438.5","1,278.1","1,275.6","1,293.3","1,337.1",937.3,939.8,"1,014.1",911.9,979.3,934.3,"5,313.9","5,263.5",-,-,"5,972.4"
Net Cash / Debt,-270.9,-228.1,-276.3,-307.2,-348.5,-220.4,918.4,648.8,-120.3,-116.2,-453.3,-546.5,-626.8,-491.2,-480.5,-526.8,-544.8,-49.5,-88,-126.9,-203.9,-233.8,-291.4,-324.2,-274.3,-295,-240.9,15.1,-14.6,45.9,56.8,33.3,-88.5,"-4,057.7","-4,073.7",0,0,"-5,173.4"
Net Cash / Debt Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-54.65%,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,-6.34,-5.35,-6.52,-7.23,-7.69,-2.99,11.04,7.83,-1.46,-1.42,-5.60,-6.80,-7.37,-5.72,-5.34,-5.76,-5.57,-0.47,-0.83,-1.17,-1.86,-2.13,-2.66,-2.90,-2.40,-2.49,-2.01,0.13,-0.12,0.38,0.47,0.28,-0.74,-33.81,-33.95,-,-,-
Book Value Per Share,-0.20,-0.52,-1.33,-1.72,-2.23,-0.25,13.62,10.88,4.17,3.79,2.46,1.89,1.69,1.73,1.23,0.76,0.14,1.38,1.60,0.88,1.46,1.10,1.33,1.16,1.68,1.44,1.83,1.56,1.47,1.38,1.03,0.88,0.53,0.82,0.43,-,-,-0.36
