Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-06-30
Accounts Payable,3.53,0.3,0.03,0.01,3.4,0,0.04,0.04,3.04,0.03,5.22,0,2.53,0.79,0.74,1.02,4.35,1.08,0.99,20.89,3.29,0.79,0.85,0.99,5.53,9.94,1.88,1.02,26.35,0.77,10.72,17.82,0.5
Total Current Liabilities,3.53,0.3,0.03,0.01,3.4,0,0.04,0.04,3.04,0.03,5.22,0,2.53,0.79,0.74,1.02,4.35,1.08,0.99,20.89,3.29,0.79,0.85,0.99,5.53,9.94,1.88,1.02,26.35,0.77,10.72,17.82,0.5
Long-Term Debt,55.6,62.3,51.5,57,60,55,53.5,39,43,10,33,9,17.7,25.2,24,38,51,45,45.5,20,25.75,36.5,49.5,52.75,61.5,35.25,60.75,50.5,25,58,38.5,22.5,25
Other Long-Term Liabilities,-52.07,-62,-51.47,0,0,0,0,0,0,0,0,0,0,-24.41,-23.26,-36.98,-46.65,-43.92,-44.51,0.89,-22.46,-35.71,-48.65,-51.76,-55.97,-25.31,-58.87,-49.48,1.35,-57.23,-27.78,-,-
Total Long-Term Liabilities,3.53,0.3,0.03,57,60,55,53.5,39,43,10,33,9,17.7,0.79,0.74,1.02,4.35,1.08,0.99,20.89,3.29,0.79,0.85,0.99,5.53,9.94,1.88,1.02,26.35,0.77,10.72,17.82,0.5
Total Liabilities,60.84,64.93,52.97,58.75,65.24,56.32,106.75,40.46,47.57,12.76,40.93,10.25,21.5,26.52,25.22,39.53,55.83,46.43,46.82,41.3,29.38,37.63,50.6,54.04,67.38,45.46,62.92,51.84,51.76,59.31,49.52,40.89,25.88
Total Debt,55.6,62.3,51.5,57,60,55,53.5,39,43,10,33,9,17.7,25.2,24,38,51,45,45.5,20,25.75,36.5,49.5,52.75,61.5,35.25,60.75,50.5,25,58,38.5,22.5,25
Debt Growth,-7.33%,13.27%,-3.74%,46.15%,39.53%,450.00%,62.12%,333.33%,142.94%,-60.32%,37.50%,-76.32%,-65.29%,-44.00%,-47.25%,90.00%,98.06%,23.29%,-8.08%,-62.09%,-58.13%,3.55%,-18.52%,4.46%,146.00%,-39.22%,57.79%,124.44%,-,-,-,-,-
Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
Retained Earnings,-8.83,-9.4,-8.04,-4.43,-2.65,-1.48,-1.85,-3.06,-4.21,-7.87,-11.91,-19.24,-1.68,-1.19,-0.9,0.07,-3.31,-0.62,-0.73,-0.86,-1.08,-1.25,-1.37,-1.47,-1.63,-1.73,-1.83,-1.97,-2.28,-4.2,-4.44,-3.25,-4.63
Shareholders' Equity,147.66,147.33,148.66,152.25,153.5,154.55,143.35,142.07,140.79,137.1,133.06,124.68,143.2,142.68,142.94,141.79,140.38,144.4,144.1,141.29,141.05,141.08,140.42,139.35,138.56,138.87,138.38,137.44,140.77,143.81,143.51,142.13,104.84
Total Liabilities and Equity,208.5,212.26,201.64,211,218.74,210.86,250.1,182.53,188.36,149.86,173.98,134.92,164.7,169.2,168.15,181.32,196.21,190.82,190.92,182.6,170.43,178.7,191.02,193.39,205.94,184.34,201.3,189.28,192.53,203.12,193.03,183.03,130.71
Net Cash / Debt,-55.23,-57,-51.37,-50.93,-59.92,-54.78,-53.3,-38.94,-40.72,-9.25,-27.69,-8.94,-17.66,-25.08,-23.84,-32.43,-48.17,-44.75,-45.25,-18.95,-25.72,-36.25,-48.98,-49.14,-57.73,-31.73,-56.73,-46.51,-20.99,-53.98,-34.5,-,-
Net Cash Per Share,-7.46,-7.42,-6.74,-7.32,-8.65,-8.25,-8.20,-5.89,-6.23,-1.41,-4.22,-1.36,-2.65,-3.83,-3.63,-4.79,-7.20,-6.69,-6.86,-2.93,-3.92,-5.51,-7.51,-7.28,-8.95,-4.85,-9.12,-7.35,-3.21,-8.24,-,-,-
Working Capital,0.09,17.23,2.99,10.22,-0.82,2.94,2.7,2.36,6.21,2.22,2.43,1.35,-0.71,0.87,1.65,6.48,1.96,2.03,2.07,-18.05,-0.82,2.06,3.01,5.44,2.13,-2.96,6.28,5.96,-19.39,3.93,-4.93,-5.75,9.07
Book Value Per Share,19.94,19.17,19.49,21.88,22.15,23.28,22.05,21.48,21.54,20.88,20.28,19.00,21.50,21.76,21.79,20.94,20.99,21.59,21.84,21.85,21.49,21.43,21.53,20.64,21.47,21.24,22.25,21.73,21.50,21.96,-,-,-
